=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,9
1,3,2,0,9
1,4,0,1,9
2,3,3,0,9
2,4,1,1,9
3,4,1,1,9

Summary
Total Comparisons,66
Duplicates (≥85%),8
Similar (70-85%),4

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.996,duplicate
q1,What does an expression in programming always produce?,1,1,q1,What does an expression in programming always produce?,3,1,0.933,duplicate
q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,q3,"In programming, the multiplication symbol is written as _____ instead of ×.",3,3,0.933,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.932,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.931,duplicate
q3,"In programming, the symbol for multiplication is _____.",1,3,q3,"In programming, the multiplication symbol is written as _____ instead of ×.",3,3,0.922,duplicate
q1,What does an expression in programming always produce?,1,1,q1,What does an expression in programming always produce?,2,1,0.889,duplicate
q1,What does an expression in programming always produce?,2,1,q1,What does an expression in programming always produce?,3,1,0.889,duplicate
q3,"In programming, the symbol for multiplication is _____.",1,3,q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,0.845,similar
q3,"In programming, the symbol for multiplication is _____.",1,3,q3,The programming operator for multiplication is _____.,4,3,0.829,similar
q3,"In programming, the multiplication symbol is written as _____ instead of ×.",3,3,q3,The programming operator for multiplication is _____.,4,3,0.781,similar
q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,q3,The programming operator for multiplication is _____.,4,3,0.752,similar
q1,What does an expression in programming always produce?,1,1,q1,An _expression_ in programming always evaluates to a/an _____.,4,1,0.673,low
q1,What does an expression in programming always produce?,2,1,q1,An _expression_ in programming always evaluates to a/an _____.,4,1,0.658,low
q1,What does an expression in programming always produce?,3,1,q1,An _expression_ in programming always evaluates to a/an _____.,4,1,0.655,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q3,The programming operator for multiplication is _____.,4,3,0.625,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q3,The programming operator for multiplication is _____.,4,3,0.622,low
q2,"In the expression y = 3 + 2 * x, which operation is performed first?",1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.614,low
q2,"In the expression y = 3 + 2 * x, which operation is performed first?",1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.613,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,q3,The programming operator for multiplication is _____.,4,3,0.6,low
q2,"In the expression y = 3 + 2 * x, which operation is performed first?",1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.576,low
q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.562,low
q3,"In programming, the symbol for multiplication is _____.",1,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.557,low
q3,"In programming, the symbol for multiplication is _____.",1,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.557,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,0.556,low
q3,"In programming, the multiplication symbol is written as _____ instead of ×.",2,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.556,low
