=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,1
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,9
1,3,0,1,9
1,4,2,2,9
2,3,1,0,9
2,4,1,0,9
3,4,0,2,9

Summary
Total Comparisons,66
Duplicates (≥85%),5
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.964,duplicate
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,0.962,duplicate
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.941,duplicate
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.924,duplicate
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.881,duplicate
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.81,similar
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.788,similar
q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.769,similar
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,0.742,similar
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.737,similar
q1,What is the primary role of a data engineer in data science projects?,3,1,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.713,similar
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q3,Which data science professional specializes in implementing machine learning models in software?,1,3,0.711,similar
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q1,What is the primary role of a data engineer in data science projects?,3,1,0.698,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q1,What is the primary role of a data engineer in data science projects?,3,1,0.695,low
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q1,What is the primary role of a data engineer in data science projects?,3,1,0.682,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q3,Why hire a machine learning engineer instead of a data scientist?,2,3,0.661,low
q1,What is the primary role of a data engineer in data science projects?,3,1,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.661,low
q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.661,low
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.647,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.638,low
q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.637,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.634,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q2,Data scientists differ from data analysts because they also _____.,2,2,0.628,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.628,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.626,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.624,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q1,What is the primary role of a data engineer in data science projects?,3,1,0.624,low
q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.622,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q2,Data scientists differ from data analysts because they also _____.,2,2,0.62,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.617,low
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.614,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q2,Data scientists differ from data analysts because they also _____.,2,2,0.61,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q1,What is the primary role of a data engineer in data science projects?,3,1,0.599,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q3,Why hire a machine learning engineer instead of a data scientist?,2,3,0.591,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q3,Why hire a machine learning engineer instead of a data scientist?,2,3,0.59,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.586,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q3,Why hire a machine learning engineer instead of a data scientist?,2,3,0.585,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.582,low
q1,What is the primary role of a data engineer in data science projects?,3,1,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.522,low
q1,What is the primary role of a data engineer in data science projects?,3,1,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.403,low
q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.397,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.396,low
q2,Data scientists differ from data analysts because they also _____.,2,2,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.386,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.379,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.372,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.371,low
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.357,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q2,Data scientists differ from data analysts because they also _____.,2,2,0.356,low
q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,0.343,low
q1,What is the primary role of a data engineer in data science projects?,3,1,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.337,low
q3,"By 2030, the demand for data scientists across industries is expected to:",3,3,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.328,low
q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.313,low
q3,Which data science professional specializes in implementing machine learning models in software?,1,3,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.312,low
q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.312,low
q3,Why hire a machine learning engineer instead of a data scientist?,2,3,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.311,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q1,What is the primary role of a data engineer in data science projects?,3,1,0.31,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q3,A company wanting to implement a machine learning model on their website should hire a/an _____.,4,3,0.303,low
q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.297,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q1,"Which role specializes in extracting, transforming, and loading data for analysis?",4,1,0.294,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q3,Why hire a machine learning engineer instead of a data scientist?,2,3,0.288,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.284,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q3,Which data science professional specializes in implementing machine learning models in software?,1,3,0.28,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q1,"Which role focuses on extracting, transforming, and loading data for analysis?",2,1,0.278,low
q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,q2,"By 2030, data science jobs are projected to _____ across most industries.",4,2,0.278,low
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,1,q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,0.271,low
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,2,q2,Why would a company hire a machine learning engineer instead of a data analyst?,3,2,0.26,low


=== LEARNING OBJECTIVE ALIGNMENT ===

Inferred Learning Objectives:
"Interpret demand and employment trends in the data science field across various industries.  
Compare and differentiate between common job roles in data science, including data engineers, data scientists, data analysts, business intelligence analysts, and machine learning engineers.  
Understand the typical responsibilities and tasks associated with each data science job title.  
Recognize the projected growth and employment opportunities in data science through 2030.  
Identify appropriate data science roles for specific organizational needs and projects."

Question Alignment Analysis
Question ID,Question Text,Run Number,Aligned (Yes/No),Explanation
q1,"Which role focuses on extracting, transforming, and loading data for later analysis?",1,yes,"This question assesses understanding of the typical responsibilities of a data engineer, aligning with learning objectives 2 and 3."
q2,"By 2030, data science job demand is expected to _____ in most industries.",1,yes,"This question evaluates recognition of projected growth and employment opportunities in data science through 2030, matching learning objective 4."
q3,Which data science professional specializes in implementing machine learning models in software?,1,yes,"This question tests knowledge of the specific role of a machine learning engineer, addressing learning objectives 2 and 3."
