text,answer,a,b,c,d,e,f,g,h,hint,feedback
A computer program executes instructions _____ to perform tasks.,one at a time,simultaneously,randomly,one at a time,in reverse order,,,,,,
Which instruction type gets data from the user or a file?,Input,Output,Process,Input,Compute,,,,,,
"In programming, a variable is used to _____.",refer to data that can change,store a fixed value,refer to data that can change,display output on screen,execute instructions,,,,,,
What is the purpose of an algorithm in computational thinking?,To create a sequence of instructions to solve a problem,To store data,To create a sequence of instructions to solve a problem,To output results to a screen,To randomly process data,,,,,,
Which instruction completes this triangle area formula? base * height * _____,1/2,2,1/2,3,0,,,,,,
What is the main reason a computer program uses variables?,To refer to data that can change values,To store instructions for output,To refer to data that can change values,To control the order of instructions,To perform arithmetic calculations automatically,,,,,,
Which instruction type takes data from the keyboard or a file?,Input,Output,Process,Input,Variable,,,,,,
A program that assigns z = x + y and inputs x = 3 and y = 4 will output _____.,7,7,12,1,0,,,,,,
Why is computational thinking important in the information age?,It enables writing a sequence of instructions to solve problems,It helps run hardware devices,It enables writing a sequence of instructions to solve problems,It stores data efficiently,It manages network connections,,,,,,
"In turtle graphics, what does the instruction ""Turn left 90"" do?",Rotates turtle 90 degrees to the left,Moves turtle forward 90 units,Rotates turtle 90 degrees to the left,Lifts the pen off the paper,Draws a 90-degree angle line,,,,,,
What type of instruction receives data from a keyboard or file?,Input,Output,Process,Input,Variable,,,,,,
A sequence of instructions that solves a problem is called a/an _____.,algorithm,function,variable,algorithm,program,,,,,,
In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,Processing instruction,Input instruction,Output instruction,Processing instruction,Variable declaration,,,,,,
How does a computer program differ from a cooking recipe?,Programs execute instructions one at a time,Programs do not have instructions,Programs execute instructions one at a time,Recipes do not have steps,Recipes execute instructions simultaneously,,,,,,
Computational thinking is important because it helps people _____.,create sequences of instructions to solve problems,cook meals faster,create sequences of instructions to solve problems,memorize algorithms without understanding,avoid using computers,,,,,,
A computer program executes instructions _____ at a time.,one,simultaneously,randomly,one,in parallel,,,,,,
Which instruction type receives data from a keyboard or file?,Input,Process,Output,Input,Variable,,,,,,
Variables in a program are named because their _____ change during execution.,values,types,values,memory addresses,sizes,,,,,,
Why do programs use sequences of instructions called algorithms?,To solve problems step-by-step,To randomly access data,To solve problems step-by-step,To store large amounts of data,To encrypt information,,,,,,
Which completes this program to compute a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,Multiply x by 1/2,Multiply x by 2,Multiply x by 1/2,Add 2 to x,Add height to x,,,,,,
