text,answer,a,b,c,d,e,f,g,h,hint,feedback
Why is data anonymization used in data science?,To protect individual privacy,To increase dataset size,To improve data accuracy,To protect individual privacy,To speed up data processing,,,,,,
Algorithmic bias occurs when a model _____.,unfairly favors one group over another,has low accuracy,unfairly favors one group over another,uses outdated data,requires too much computation,,,,,,
Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,location,voter registration,location,social security numbers,party affiliation,,,,,,
What major environmental impact is caused by data centers?,Large electricity use,Increase in air pollution,High water consumption,Large electricity use,Deforestation near urban areas,,,,,,
What is the main purpose of data anonymization in datasets?,To protect individual privacy by removing identifying information,To improve data analysis accuracy,To protect individual privacy by removing identifying information,To increase dataset size and complexity,To comply with financial regulations,,,,,,
Which factor most commonly causes algorithmic bias in data science models?,Underrepresentation or bias in the original dataset,Overfitting the training data,Underrepresentation or bias in the original dataset,Using too many features in the model,High computational resource limits,,,,,,
Why is ethical conduct critical when handling electronic health records (EHRs)?,EHRs contain sensitive information that can be misused,EHRs only contain non-sensitive data,EHRs are publicly available for research,EHRs contain sensitive information that can be misused,EHRs are easy to anonymize automatically,,,,,,
What is a major environmental concern related to data centers?,They consume a large amount of energy for operation and cooling,They cause water pollution,They consume a large amount of energy for operation and cooling,They emit greenhouse gases directly,They produce excessive physical waste,,,,,,
Data anonymization protects privacy by _____ in datasets.,replacing names with ID numbers,removing all numerical data,deleting whole records,replacing names with ID numbers,publishing data publicly,,,,,,
Algorithmic bias occurs when models produce _____ outcomes.,unfair,faster,unfair,random,identical,,,,,,
Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,location,weather,location,food preferences,employment history,,,,,,
Data centers require large energy amounts mainly for servers and _____.,cooling systems,lighting,cooling systems,office equipment,transport vehicles,,,,,,
What is the main reason data anonymization is used in data science?,To protect individual privacy,To improve data accuracy,To reduce dataset size,To protect individual privacy,To increase data processing speed,,,,,,
Algorithmic bias occurs when a model _____.,favors one group unfairly,produces slower results,favors one group unfairly,uses outdated data,has low accuracy overall,,,,,,
Cambridge Analytica used psychological profiles combined with _____ to target political ads.,location data,income data,location data,education data,employment data,,,,,,
What percentage of global energy is approximately used by data centers?,1%,10%,5%,1%,25%,,,,,,
