=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,16
1,3,2,1,16
1,4,2,1,16
2,3,1,1,16
2,4,1,1,16
3,4,3,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),10
Similar (70-85%),6

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which is a valid assignment statement?,1,2,q4,Which is a valid assignment statement?,3,4,0.973,duplicate
q1,What does an assignment statement do in a program?,1,1,q1,What does an assignment statement do in programming?,4,1,0.926,duplicate
q1,What does an assignment statement do in a program?,1,1,q1,What does an assignment statement do in programming?,3,1,0.916,duplicate
q3,Which is a valid assignment statement in programming?,2,3,q4,Which is a valid assignment statement?,3,4,0.914,duplicate
q3,Which is a valid assignment statement in programming?,2,3,q4,Which of the following is a valid assignment statement?,4,4,0.91,duplicate
q1,What does an assignment statement do in programming?,3,1,q1,What does an assignment statement do in programming?,4,1,0.9,duplicate
q2,Which is a valid assignment statement?,1,2,q3,Which is a valid assignment statement in programming?,2,3,0.897,duplicate
q2,Which is a valid assignment statement?,1,2,q4,Which of the following is a valid assignment statement?,4,4,0.897,duplicate
q4,Which is a valid assignment statement?,3,4,q4,Which of the following is a valid assignment statement?,4,4,0.897,duplicate
q3,"In x = x + 1, what happens to x?",3,3,q3,"In the statement x = x + 1, what happens to x?",4,3,0.864,duplicate
q2,"After executing y = x + 2 with x = 4, what is y's value?",2,2,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.833,similar
q3,"After executing x = 4 and then x = x + 3, what is the value of x?",1,3,q2,"Given x = 4 and y = x + 3, what is the value of y?",3,2,0.758,similar
q2,"After executing y = x + 2 with x = 4, what is y's value?",2,2,q2,"Given x = 4 and y = x + 3, what is the value of y?",3,2,0.728,similar
q3,"After executing x = 4 and then x = x + 3, what is the value of x?",1,3,q2,"After executing y = x + 2 with x = 4, what is y's value?",2,2,0.724,similar
q2,"Given x = 4 and y = x + 3, what is the value of y?",3,2,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.721,similar
q3,"After executing x = 4 and then x = x + 3, what is the value of x?",1,3,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.712,similar
q4,"If y = 10 and x = y, what happens to x if y later changes to 5?",1,4,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.671,low
q4,"If x = 5 and then x = x + 3, what is x's final value?",2,4,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.671,low
q1,"In programming, what does the statement x = 5 do?",2,1,q3,Which is a valid assignment statement in programming?,2,3,0.666,low
q1,"In programming, what does the statement x = 5 do?",2,1,q4,Which of the following is a valid assignment statement?,4,4,0.665,low
q3,"After executing x = 4 and then x = x + 3, what is the value of x?",1,3,q4,"If x = 5 and then x = x + 3, what is x's final value?",2,4,0.664,low
q4,"If y = 10 and x = y, what happens to x if y later changes to 5?",1,4,q3,"In x = x + 1, what happens to x?",3,3,0.661,low
q2,Which is a valid assignment statement?,1,2,q1,"In programming, what does the statement x = 5 do?",2,1,0.64,low
q3,Which is a valid assignment statement in programming?,2,3,q1,What does an assignment statement do in programming?,4,1,0.634,low
q1,"In programming, what does the statement x = 5 do?",2,1,q4,Which is a valid assignment statement?,3,4,0.631,low
q3,Which is a valid assignment statement in programming?,2,3,q2,"After executing x = 5 and then y = x + 3, what is y's value?",4,2,0.619,low
q4,"If y = 10 and x = y, what happens to x if y later changes to 5?",1,4,q2,"After executing y = x + 2 with x = 4, what is y's value?",2,2,0.615,low
q4,"If x = 5 and then x = x + 3, what is x's final value?",2,4,q2,"Given x = 4 and y = x + 3, what is the value of y?",3,2,0.613,low
q1,What does an assignment statement do in a program?,1,1,q1,"In programming, what does the statement x = 5 do?",2,1,0.612,low
