text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the statement int wage; do in a Java program?,It creates a variable named wage to hold an integer value.,It outputs the value of wage.,It assigns 20 to wage.,It creates a variable named wage to hold an integer value.,It gets input from the user and stores in wage.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which symbol ends a Java statement?,Semicolon (;),Period (.),Semicolon (;),Colon (:),"Comma (,)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does System.out.println differ from System.out.print in Java output?,println outputs a newline after printing; print does not.,"println outputs without quotes, print outputs with quotes.",println outputs a newline after printing; print does not.,println prints variables only; print prints text only.,println needs parentheses; print does not.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A Java program starts executing statements inside the _____ method.,main,print,main,input,start,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which symbol ends each Java statement?,Semicolon ;,Colon :,Period .,Semicolon ;,"Comma ,",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Java, which statement correctly gets an integer input into variable x using Scanner scnr?",x = scnr.nextInt();,x = scnr.nextInt();,scnr.nextInt(x);,x = scnr.nextInt;,scnr.nextInt();,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What symbol marks the end of each statement in Java?,Semicolon ;,Period .,"Comma ,",Semicolon ;,Colon :,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which method reads an integer input from the keyboard using a Scanner object named scnr?,scnr.nextInt(),scnr.getInt(),scnr.nextInt(),scnr.inputInt(),scnr.readInt(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Java, what is the difference between System.out.print() and System.out.println()?",print() outputs on the same line; println() outputs then moves to next line,print() outputs variables only; println() outputs text only,print() ends with a newline; println() does not,print() outputs on the same line; println() outputs then moves to next line,print() is for input; println() is for output,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the statement int wage; do in a Java program?,Creates a variable named wage to hold a value,Outputs the value of wage,Assigns 20 to wage,Creates a variable named wage to hold a value,Gets input from the user for wage,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which statement correctly reads an integer input into variable numCars using Scanner scnr?,numCars = scnr.nextInt();,scnr.nextInt(numCars);,numCars = scnr.nextInt();,numCars = scnr.nextInt;,numCars = nextInt();,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the difference between System.out.print() and System.out.println()?,println() outputs and then moves to a new line; print() does not,print() starts a new output line; println() does not,println() outputs text only; print() outputs variables only,println() outputs and then moves to a new line; print() does not,print() requires parentheses; println() does not,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
