=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,2
2,8,0,1
3,8,0,2
4,8,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,64
1,3,1,8,64
1,4,1,7,64
2,3,4,6,64
2,4,2,4,64
3,4,2,4,64

Summary
Total Comparisons,496
Duplicates (≥85%),11
Similar (70-85%),39

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,A sequence is called _____ if its domain is a set of consecutive integers.,3,1,q1,A sequence is called _____ if its domain is a set of consecutive integers.,4,1,0.97,duplicate
q8,"What is the common ratio of the geometric sequence \(3, 6, 12, \ldots\)?",2,8,q3,"What is the common ratio in the geometric sequence \(3, 9, 27, \ldots\)?",3,3,0.936,duplicate
q2,Which condition makes a geometric sequence increasing when the initial term \(a > 0\)?,1,2,q8,"For a geometric sequence with positive initial term \(a\), which condition on the common ratio \(r\) makes the sequence increasing?",4,8,0.919,duplicate
q2,Which term describes a sequence where each term is strictly less than the next?,3,2,q3,Which property describes a sequence where each term is strictly less than the next?,4,3,0.912,duplicate
q1,A sequence is called _____ if each term is less than the next term.,1,1,q3,A sequence where each term is greater than or equal to the previous term is called _____.,2,3,0.91,duplicate
q1,A sequence is called _____ if its domain is a set of consecutive integers.,2,1,q1,A sequence is called _____ if its domain is a set of consecutive integers.,4,1,0.889,duplicate
q1,A sequence is called _____ if each term is less than the next term.,1,1,q2,Which term describes a sequence where each term is strictly less than the next?,3,2,0.886,duplicate
q6,Which condition makes a geometric sequence \(\{a \cdot r^k\}\) increasing when \(a > 0\)?,2,6,q8,"For a geometric sequence with positive initial term \(a\), which condition on the common ratio \(r\) makes the sequence increasing?",4,8,0.878,duplicate
q6,Which condition makes a geometric sequence \(\{a \cdot r^k\}\) increasing when \(a > 0\)?,2,6,q6,"For a geometric sequence \(s_k = a \cdot r^k\) with \(a > 0\), when is the sequence decreasing?",3,6,0.866,duplicate
q3,A sequence where each term is greater than or equal to the previous term is called _____.,2,3,q2,Which term describes a sequence where each term is strictly less than the next?,3,2,0.86,duplicate
q1,A sequence is called _____ if its domain is a set of consecutive integers.,2,1,q1,A sequence is called _____ if its domain is a set of consecutive integers.,3,1,0.859,duplicate
q2,Which condition makes a geometric sequence increasing when the initial term \(a > 0\)?,1,2,q6,Which condition makes a geometric sequence \(\{a \cdot r^k\}\) increasing when \(a > 0\)?,2,6,0.849,similar
q5,"A sequence is nonincreasing if for every consecutive terms \(a_k\) and \(a_{k+1}\), the relationship is:",1,5,q7,"A sequence is _____ if for every consecutive index \(k\), \(a_k \ge a_{k+1}\).",3,7,0.846,similar
q1,A sequence is called _____ if each term is less than the next term.,1,1,q3,Which property describes a sequence where each term is strictly less than the next?,4,3,0.845,similar
q7,Which of the following sequences is both nondecreasing and nonincreasing?,1,7,q8,"The sequence \(2, 4, 4, 6\) is _____.",3,8,0.845,similar
q3,A sequence where each term is greater than or equal to the previous term is called _____.,2,3,q3,Which property describes a sequence where each term is strictly less than the next?,4,3,0.823,similar
q1,A sequence is called _____ if each term is less than the next term.,1,1,q7,"A sequence is _____ if for every consecutive index \(k\), \(a_k \ge a_{k+1}\).",3,7,0.817,similar
q3,How is the next term in an arithmetic sequence calculated from the previous term?,1,3,q5,"In an arithmetic sequence, what operation produces each term after the first?",4,5,0.816,similar
q8,"The sequence \(2, 4, 4, 6\) is _____.",3,8,q7,"Which of the following is *not* a possible property of the sequence \(2, 4, 4, 6\)?",4,7,0.814,similar
q3,A sequence where each term is greater than or equal to the previous term is called _____.,2,3,q7,"A sequence is _____ if for every consecutive index \(k\), \(a_k \ge a_{k+1}\).",3,7,0.811,similar
q1,A sequence is called _____ if each term is less than the next term.,1,1,q5,"A sequence is nonincreasing if for every consecutive terms \(a_k\) and \(a_{k+1}\), the relationship is:",1,5,0.809,similar
