text,answer,a,b,c,d,e,f,g,h,hint,feedback
The conditional proposition \(p \rightarrow q\) is false only when _____.,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is false,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is true,\(p\) is true and \(q\) is false,,,,,,
Which statement correctly represents the contrapositive of \(p \rightarrow q\)?,\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),,,,,,
"How is the statement ""You will mow Mr. Smith's lawn only if he pays you"" represented logically?",\(p \rightarrow q\),\(p \rightarrow q\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(p \rightarrow q\),,,,,,
What is true about the biconditional statement \(p \leftrightarrow q\)?,It is true when \(p\) and \(q\) have the same truth value,It is true if \(p\) is true and \(q\) is false,It is false when \(p\) and \(q\) have the same truth value,It is true when \(p\) and \(q\) have the same truth value,It is false if both \(p\) and \(q\) are true,,,,,,
Which English expression is equivalent to \(p \rightarrow q\)?,\(p\) only if \(q\),\(q\) only if \(p\),\(p\) only if \(q\),\(p\) if and only if \(q\),\(p\) if \(q\),,,,,,
Fill in the blank: The converse of \(p \rightarrow q\) is _____.,\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(q \rightarrow p\),\(\neg q \rightarrow \neg p\),\(p \leftrightarrow q\),,,,,,
"Why is the conditional statement ""If it rains, then I have an umbrella"" true when it is not raining?",Because the hypothesis is false,Because the conclusion is true,Because the hypothesis is false,Because both hypothesis and conclusion are false,Because the hypothesis is true,,,,,,
"The statement ""Me sharing my cookie with you is sufficient for you to share your soda with me"" corresponds to which logical expression?",\(p \rightarrow q\),\(q \rightarrow p\),\(p \rightarrow q\),\(\neg p \rightarrow \neg q\),\(q \leftrightarrow p\),,,,,,
"Given \(p\) is true, \(q\) is false, what is the truth value of \(p \rightarrow q\)?",False,True,False,Unknown,Cannot be determined,,,,,,
Fill in the blank: The inverse of \(p \rightarrow q\) is _____.,\(\neg p \rightarrow \neg q\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(p \leftrightarrow q\),,,,,,
What does the biconditional \(p \leftrightarrow q\) express in English?,\(p\) if and only if \(q\),\(p\) if \(q\),\(p\) only if \(q\),\(p\) if and only if \(q\),\(p\) implies \(q\),,,,,,
A conditional proposition is like a contract; which situation breaks the contract?,"Hypothesis true, conclusion false","Hypothesis is false, conclusion true","Hypothesis true, conclusion false",Both hypothesis and conclusion false,Both hypothesis and conclusion true,,,,,,
The only way for \(p \rightarrow q\) to be false is when _____.,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is false,\(p\) and \(q\) are both false,\(p\) and \(q\) are both true,,,,,,
Which expression is the contrapositive of \(p \rightarrow q\)?,\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),,,,,,
The biconditional proposition \(p \leftrightarrow q\) is true when _____.,\(p\) and \(q\) have the same truth value,\(p\) and \(q\) differ in truth value,\(p\) is true and \(q\) is false,\(p\) and \(q\) have the same truth value,\(p\) is false and \(q\) is true,,,,,,
"The converse of the statement “If it rains, then the game is cancelled” is _____.","If the game is cancelled, then it rains","If it is sunny, then the game is held","If the game is cancelled, then it rains","If the game is not cancelled, then it does not rain","If it does not rain, then the game is not cancelled",,,,,,
"In the conditional statement \(p \rightarrow q\), what is the role of \(p\)?",Hypothesis,Conclusion,Contrapositive,Hypothesis,Converse,,,,,,
"If a conditional statement is ""You will mow the lawn only if he pays you,"" its symbolic form is _____.",\(p \rightarrow q\),\(q \rightarrow p\),\(p \rightarrow q\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),,,,,,
Which English expression means the same as \(p \rightarrow q\)?,\(q\) if \(p\),\(p\) is necessary for \(q\),\(q\) if \(p\),\(p\) if \(q\),\(p\) and \(q\),,,,,,
What is the inverse of \(p \rightarrow q\)?,\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(p \rightarrow q\),,,,,,
The conditional \(p \rightarrow q\) is true if the hypothesis is _____.,false regardless of conclusion,true and conclusion is false,false regardless of conclusion,true and conclusion is true,false and conclusion is false,,,,,,
Which statement correctly expresses \(p \leftrightarrow q\) in English?,\(p\) if and only if \(q\),\(p\) only if \(q\),\(p\) implies \(q\),\(p\) if and only if \(q\),\(q\) whenever \(p\),,,,,,
"If \(p\) is true and \(q\) is false, what is the truth value of \(p \rightarrow q\)?",False,True,False,Unknown,Cannot be determined,,,,,,
What does the compound proposition \((p \rightarrow q) \land r\) imply about the order of operations?,\(p \rightarrow (q \land r)\),\(p \rightarrow (q \land r)\),\((p \rightarrow q) \land r\),\((p \land q) \rightarrow r\),\(p \land (q \rightarrow r)\),,,,,,
The only way for a conditional statement \(p \rightarrow q\) to be false is when _____,\(p\) is true and \(q\) is false,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is false,\(p\) and \(q\) are both true,\(p\) and \(q\) are both false,,,,,,
"In the conditional proposition \(p \rightarrow q\), \(p\) is the _____ and \(q\) is the conclusion.",hypothesis,conclusion,hypothesis,converse,inverse,,,,,,
Which statement is logically equivalent to the conditional \(p \rightarrow q\)?,\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(\neg p \land \neg q\),,,,,,
"What is the converse of the statement ""If it rains, then the game is cancelled""?","If the game is cancelled, then it rains.","If the game is cancelled, then it rains.","If it does not rain, then the game is not cancelled.","If the game is not cancelled, then it does not rain.","If it does not rain, then the game is cancelled.",,,,,,
The biconditional statement \(p \leftrightarrow q\) is true when,\(p\) and \(q\) have the same truth value,\(p\) is true and \(q\) is false,\(p\) and \(q\) have different truth values,\(p\) and \(q\) have the same truth value,\(p\) is false and \(q\) is true,,,,,,
