text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
\nSelect the converse of\n$p \to q$\n.,$q \to p$,$p \to q$,$q \to p$,$\neg p \to \neg q$,$\neg q \to \neg p$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"\nWhich statement is the contrapositive of:\n""If\n$x = 4$\n, then\n$3x = 12$\n.""","If\n$3x \neq 12$\n, then\n$x \neq 4$\n.","If\n$x = 4$\n, then\n$3x = 12$\n.","If\n$3x = 12$\n, then\n$x = 4$\n.","If\n$n \neq 12$\n, then\n$3x \neq 12$\n.","If\n$3x \neq 12$\n, then\n$x \neq 4$\n.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass
\nSelect the\n<i>false</i>\nstatement.,"If\n$3$\nis a prime number, then\n$6$\nis a prime number.","If\n$3$\nis a prime number, then\n$5$\nis a prime number.","If\n$4$\nis a prime number, then\n$6$\nis a prime number.","If\n$4$\nis a prime number, then\n$5$\nis a prime number.","If\n$3$\nis a prime number, then\n$6$\nis a prime number.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"\nThe propositional variables\n$b$\n,\n$v$\n, and\n$s$\nrepresent the propositions:\n$b{:}$\nAlice rode her bike today.\n$v{:}$\nAlice overslept today.\n$s{:}$\nIt is sunny today.\nSelect the logical expression that represents the statement: ""Alice rode her bike today only if it was sunny today and she did not oversleep.""",$b \to ( s \wedge \neg v)$,$b \to s \to \neg v$,$b \to ( s \wedge \neg v)$,$s \wedge (\neg v \to b )$,$(s \wedge \neg v ) \to b$,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{T}$\n.\nSelect the expression that evaluates to\n<i>false</i>\n.",$(p \wedge r) \to q$,$\neg ( q \wedge r ) \to p$,$(p \wedge r) \to q$,$( q \wedge r ) \to p$,$(q \wedge r) \to \neg p$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"$p = \text{F}$\n,\n$q = \text{T}$\n, and\n$r = \text{T}$\n.\nSelect the expression that evaluates to\n<i>true</i>\n.",$(\neg p \wedge r) \to q$,$\neg (q \vee p) \leftrightarrow r$,$(\neg p \wedge r) \to q$,$(q \vee \neg r) \to p$,$q \leftrightarrow (p \wedge r)$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Select the inverse of the following statement:\nIf it rained this morning, then the train will be late.","If it didn't rain this morning, then the train will not be late.","If it didn't rain this morning, then the train will not be late.",The train is not late despite the fact that it rained this morning.,"If the train is not late, then it didn't rain this morning.","If the train is late, then it rained this morning.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"Select the converse of the following statement:\nIf it rained this morning, then the train will be late.","If the train is late, then it rained this morning.","If it didn't rain this morning, then the train will not be late.",The train is not late despite the fact that it rained this morning.,"If the train is not late, then it didn't rain this morning.","If the train is late, then it rained this morning.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{T}$\n.\nSelect the correct truth values for the two propositions:\n$r \leftrightarrow (p \wedge \neg q)$\n$p \rightarrow \neg(q \vee r)$","$r \leftrightarrow (p \wedge \neg q) = \text{T}$\n,  and\n$p \rightarrow \neg(q \vee r) = \text{F}$","$r \leftrightarrow (p \wedge \neg q) = \text{T}$\n, and\n$p \rightarrow \neg(q \vee r) = \text{T}$","$r \leftrightarrow (p \wedge \neg q) = \text{T}$\n,  and\n$p \rightarrow \neg(q \vee r) = \text{F}$","$r \leftrightarrow (p \wedge \neg q) = \text{F}$\n,  and\n$p \rightarrow \neg(q \vee r) = \text{T}$","$r \leftrightarrow (p \wedge \neg q) = \text{F}$\n, and\n$p \rightarrow \neg(q \vee r) = \text{F}$",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{T}$\n, and\n$r = \text{F}$\n.\nSelect the correct truth values for the two propositions:\n$(q \vee r) \rightarrow \neg p$\n$\neg r \leftrightarrow (p \wedge q)$","$(q \vee r) \rightarrow \neg p = \text{F}$\n,  and\n$\neg r \leftrightarrow (p \wedge q) = \text{T}$","$(q \vee r) \rightarrow \neg p = \text{T}$\n,  and\n$\neg r \leftrightarrow (p \wedge q) = \text{T}$","$(q \vee r) \rightarrow \neg p = \text{T}$\n,  and\n$\neg r \leftrightarrow (p \wedge q) = \text{F}$","$(q \vee r) \rightarrow \neg p = \text{F}$\n,  and\n$\neg r \leftrightarrow (p \wedge q) = \text{T}$","$(q \vee r) \rightarrow \neg p = \text{F}$\n,  and\n$\neg r \leftrightarrow (p \wedge q) = \text{F}$",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"The propositional variables\n$m$\nand\n$e$\nrepresent the propositions:\n$m{:}$\nThe patient is allergic to the medicine.\n$e{:}$\nThe patient is eligible to participate in the study.\nSelect the logical expression that represents the statement: ""It is necessary for the patient not to be allergic to the medicine in order for the patient to be eligible for the study.""",$e \rightarrow \neg m$,$e \rightarrow \neg m$,$\neg m \rightarrow e$,$\neg  e \rightarrow m$,$e \rightarrow m$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
$p = \text{T}$\nand\n$q = \text{F}$\n.\nSelect the correct statement about the proposition:\n$(p \wedge q) \rightarrow r$,"The proposition is true, regardless of the truth value for\n$r.$","The proposition is true, regardless of the truth value for\n$r.$","The proposition  is false, regardless of the truth value for\n$r.$","If\n$r = \text{T}$\n, then the propositions is true, and if\n$r = \text{F}$\n, then the proposition is false.","If\n$r = \text{F}$\n, then the propositions is true, and if\n$r = \text{T}$\n, then the proposition is false.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass
