=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,0,16
1,3,0,1,16
1,4,0,1,16
2,3,0,1,16
2,4,0,1,16
3,4,0,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),0
Similar (70-85%),6

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Why are strings considered immutable in Python?,2,2,q3,Why are strings in Python considered immutable?,3,3,0.845,similar
q1,What does the len() function return when used on a string variable?,3,1,q1,What does the len() function return when called on a string?,4,1,0.823,similar
q2,How does Python access the last character of a string s?,1,2,q2,Which of the following indexing expressions accesses the last character in a string s?,3,2,0.782,similar
q1,What is the index of the first character in a string?,2,1,q2,Which index refers to the last character in a Python string?,4,2,0.773,similar
q3,"Why is the statement s[2] = ""a"" invalid for a string s?",1,3,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.745,similar
q4,"What happens when two strings, a and b, are concatenated with a + operator?",3,4,q4,What is the result of concatenating two strings with the + operator?,4,4,0.719,similar
q2,Why are strings considered immutable in Python?,2,2,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.687,low
q3,Why are strings in Python considered immutable?,3,3,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.648,low
q2,Which of the following indexing expressions accesses the last character in a string s?,3,2,q2,Which index refers to the last character in a Python string?,4,2,0.615,low
q1,What function returns the number of characters in a string?,1,1,q1,What does the len() function return when used on a string variable?,3,1,0.6,low
q1,What function returns the number of characters in a string?,1,1,q1,What does the len() function return when called on a string?,4,1,0.599,low
q2,How does Python access the last character of a string s?,1,2,q2,Which index refers to the last character in a Python string?,4,2,0.583,low
q3,Which expression concatenates two strings first and last with a space in between?,2,3,q4,What is the result of concatenating two strings with the + operator?,4,4,0.563,low
q3,"Why is the statement s[2] = ""a"" invalid for a string s?",1,3,q2,Why are strings considered immutable in Python?,2,2,0.54,low
q1,What is the index of the first character in a string?,2,1,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.529,low
q4,"What does len(""Python"") return?",2,4,q1,What does the len() function return when called on a string?,4,1,0.527,low
q2,Which index refers to the last character in a Python string?,4,2,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.514,low
q1,What is the index of the first character in a string?,2,1,q2,Which of the following indexing expressions accesses the last character in a string s?,3,2,0.507,low
q3,"Why is the statement s[2] = ""a"" invalid for a string s?",1,3,q3,Why are strings in Python considered immutable?,3,3,0.504,low
q2,Which of the following indexing expressions accesses the last character in a string s?,3,2,q1,What does the len() function return when called on a string?,4,1,0.503,low
q4,"What does len(""Python"") return?",2,4,q1,What does the len() function return when used on a string variable?,3,1,0.5,low
q1,What does the len() function return when called on a string?,4,1,q2,Which index refers to the last character in a Python string?,4,2,0.496,low
q2,How does Python access the last character of a string s?,1,2,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.47,low
q3,Which expression concatenates two strings first and last with a space in between?,2,3,q4,"What happens when two strings, a and b, are concatenated with a + operator?",3,4,0.468,low
q2,Which of the following indexing expressions accesses the last character in a string s?,3,2,q3,"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",4,3,0.467,low
q4,"What is the result of concatenating ""Data"" + ""Science"" in Python?",1,4,q4,What is the result of concatenating two strings with the + operator?,4,4,0.457,low
q4,"What does len(""Python"") return?",2,4,q2,Which index refers to the last character in a Python string?,4,2,0.45,low
q2,How does Python access the last character of a string s?,1,2,q1,What does the len() function return when called on a string?,4,1,0.445,low
q3,Which expression concatenates two strings first and last with a space in between?,2,3,q1,What does the len() function return when called on a string?,4,1,0.445,low
q1,What is the index of the first character in a string?,2,1,q1,What does the len() function return when called on a string?,4,1,0.438,low
q1,What does the len() function return when used on a string variable?,3,1,q2,Which index refers to the last character in a Python string?,4,2,0.438,low
q3,Why are strings in Python considered immutable?,3,3,q2,Which index refers to the last character in a Python string?,4,2,0.438,low
q1,What function returns the number of characters in a string?,1,1,q2,Which index refers to the last character in a Python string?,4,2,0.421,low
