text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A set is defined by listing its elements in _____ notation.,roster,list,bracket,roster,parenthesis,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"Which symbol means ""element of"" a set?",\(\in\),\(\notin\),\(\subseteq\),\(\in\),\(\subset\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The empty set is denoted by \(\emptyset\) or _____.,\(\{\}\),\(\{0\}\),\(\{\}\),\(\{ \emptyset \}\),\(\{1\}\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If every element of set \(A\) is in set \(B\), then \(A\) is a _____ of \(B\).",subset,proper subset,element,subset,union,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass
Which of the following is a proper subset of \(\mathbb{Z}\)?,\(\mathbb{N}\),\(\mathbb{N}\),\(\mathbb{R}\),\(\mathbb{Q}\),\(\mathbb{Z}^{+} \cup \mathbb{Z}^{-}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass
"The cardinality of set \(A = \{2, 4, 6, 10\}\) is _____.",4,3,4,5,6,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The set \(C = \{x \in \mathbb{Z} : 0 < x < 100 \text{ and } x \text{ is prime}\}\) is best described by:,set builder notation,roster notation listing all primes,set builder notation,empty set,an infinite set,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The statement \(A = B\) means:,\(A\) and \(B\) have exactly the same elements,\(A\) is a subset of \(B\),\(B\) is a proper subset of \(A\),\(A\) and \(B\) have exactly the same elements,\(A\) and \(B\) have no common elements,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a Venn diagram, if circle \(A\) is completely inside circle \(B\), then:",\(A \subseteq B\),\(A \subseteq B\),\(B \subseteq A\),\(A = B\),\(A \not\subseteq B\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which set is infinite?,"\(\{3, 6, 9, \ldots\}\)","\(\{2, 4, 6, \ldots, 20\}\)",\(\emptyset\),"\(\{1, 2, 3, 4\}\)","\(\{3, 6, 9, \ldots\}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A set is defined as a/an _____ of objects.,collection,sequence,collection,function,equation,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In roster notation, repeating an element _____ the set.",does not change,changes,removes,does not change,doubles,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The symbol \(\in\) means an element _____ a set.,is in,is not in,is in,is equal to,is a subset of,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The cardinality \(|A|\) of a finite set \(A\) is the _____ of distinct elements in \(A\).,number,sum,number,product,average,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The empty set \(\emptyset\) contains _____ elements.,zero,one,infinite,zero,two,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
Which statement is true about the sets \(\mathbb{N}\) and \(\mathbb{Z}\)?,\(\mathbb{N} \subseteq \mathbb{Z}\),\(\mathbb{N} \subseteq \mathbb{Z}\),\(\mathbb{Z} \subseteq \mathbb{N}\),\(\mathbb{N} = \mathbb{Z}\),\(\mathbb{N} \not\subseteq \mathbb{Z}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The notation \(\{ x \in \mathbb{Z} : x \text{ is even} \}\) defines a set by:,describing elements in a larger set satisfying a condition,listing elements explicitly,describing elements in a larger set satisfying a condition,counting elements,excluding elements,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
