=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,1,1
2,8,0,1
3,8,0,0
4,8,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,6,64
1,3,3,5,64
1,4,3,4,64
2,3,0,10,64
2,4,1,6,64
3,4,4,3,64

Summary
Total Comparisons,496
Duplicates (≥85%),14
Similar (70-85%),37

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q8,Why are intermediate columns used when filling out truth tables for complex propositions?,3,8,q6,Why are intermediate columns used when filling out truth tables for compound propositions?,4,6,0.952,duplicate
q2,"In a truth table with three variables, how many rows should it have?",1,2,q4,"In a truth table for three variables, how many rows are there?",2,4,0.948,duplicate
q6,What is the order of operations for compound propositions without parentheses?,3,6,q1,What is the correct order of operations in a compound proposition without parentheses?,4,1,0.942,duplicate
q3,"When filling a truth table column for the rightmost variable, what is the pattern of truth values?",1,3,q5,"When filling in the variable columns of a truth table, the pattern for the rightmost variable column is:",3,5,0.919,duplicate
q1,What is the order of operations without parentheses in logical expressions?,1,1,q6,What is the order of operations for compound propositions without parentheses?,3,6,0.894,duplicate
q6,"In a truth table, how are the values filled in the second-rightmost variable column for three variables?",1,6,q5,"When filling in the variable columns of a truth table, the pattern for the rightmost variable column is:",3,5,0.893,duplicate
q4,Which operation is evaluated first in the compound proposition \(p \lor \neg q \land r\) without parentheses?,1,4,q2,"When evaluating \(p \lor \neg q \land r\), which operation is applied first?",4,2,0.892,duplicate
q3,"When filling a truth table column for the rightmost variable, what is the pattern of truth values?",1,3,q6,"In a truth table, how are the values filled in the second-rightmost variable column for three variables?",1,6,0.886,duplicate
q1,What is the order of operations without parentheses in logical expressions?,1,1,q1,What is the correct order of operations in a compound proposition without parentheses?,4,1,0.882,duplicate
q7,What is the number of rows in a truth table for a proposition with four propositional variables?,1,7,q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,0.874,duplicate
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q2,"When evaluating \(p \lor \neg q \land r\), which operation is applied first?",4,2,0.867,duplicate
q4,Which operation is evaluated first in the compound proposition \(p \lor \neg q \land r\) without parentheses?,1,4,q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,0.856,duplicate
q2,Which logical operator is applied first when evaluating \(p \lor \neg q \land r\) without parentheses?,3,2,q2,"When evaluating \(p \lor \neg q \land r\), which operation is applied first?",4,2,0.853,duplicate
q1,"How many rows are in a truth table for a compound proposition with variables \(p\), \(q\), and \(r\)?",3,1,q5,How many rows are in a truth table for the proposition \((p \land q) \lor (\neg r \land \neg w)\)?,4,5,0.85,duplicate
q3,"When filling a truth table column for the rightmost variable, what is the pattern of truth values?",1,3,q4,"In a truth table, the rightmost variable column alternates truth values in what pattern?",4,4,0.824,similar
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q2,Which logical operator is applied first when evaluating \(p \lor \neg q \land r\) without parentheses?,3,2,0.822,similar
q8,"Which of the following is the correct symbolic translation of ""It is not true that it is windy or cold""?",2,8,q7,"Which is a correct English translation of the proposition \(p \land \neg q\) given \(p\): It is windy, \(q\): It is cold?",3,7,0.822,similar
q3,"When filling a truth table column for the rightmost variable, what is the pattern of truth values?",1,3,q5,"In filling a truth table, how are the truth values arranged in the column for the rightmost variable?",2,5,0.811,similar
q4,Which operation is evaluated first in the compound proposition \(p \lor \neg q \land r\) without parentheses?,1,4,q2,Which logical operator is applied first when evaluating \(p \lor \neg q \land r\) without parentheses?,3,2,0.805,similar
q2,Which logical operator is applied first in a compound proposition without parentheses?,2,2,q2,Which logical operator is applied first when evaluating \(p \lor \neg q \land r\) without parentheses?,3,2,0.801,similar
q5,"When filling in the variable columns of a truth table, the pattern for the rightmost variable column is:",3,5,q4,"In a truth table, the rightmost variable column alternates truth values in what pattern?",4,4,0.798,similar
q5,"The compound proposition \(p \land \neg (q \lor r)\) evaluates to false when \(p\) is true, \(q\) is false, and \(r\) is true because:",1,5,q3,The compound proposition \(p \lor q \land r\) should be read as:,3,3,0.797,similar
q3,The expression \(p \lor q \land r\) is equivalent to:,2,3,q3,The compound proposition \(p \lor q \land r\) should be read as:,3,3,0.797,similar
q7,What is the number of rows in a truth table for a proposition with four propositional variables?,1,7,q5,How many rows are in a truth table for the proposition \((p \land q) \lor (\neg r \land \neg w)\)?,4,5,0.788,similar
q2,"In a truth table with three variables, how many rows should it have?",1,2,q7,What is the number of rows in a truth table for a proposition with four propositional variables?,1,7,0.787,similar
q2,"In a truth table with three variables, how many rows should it have?",1,2,q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,0.787,similar
q7,What is the number of rows in a truth table for a proposition with four propositional variables?,1,7,q1,"How many rows are in a truth table for a compound proposition with variables \(p\), \(q\), and \(r\)?",3,1,0.777,similar
q6,"In a truth table, how are the values filled in the second-rightmost variable column for three variables?",1,6,q4,"In a truth table, the rightmost variable column alternates truth values in what pattern?",4,4,0.775,similar
q7,Fill in the blank: A truth table for a compound proposition with \(n\) variables has _____ rows.,2,7,q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,0.773,similar
q4,"In a truth table for three variables, how many rows are there?",2,4,q1,"How many rows are in a truth table for a compound proposition with variables \(p\), \(q\), and \(r\)?",3,1,0.768,similar
q6,How is the truth value of a compound proposition determined using intermediate columns?,2,6,q6,Why are intermediate columns used when filling out truth tables for compound propositions?,4,6,0.767,similar
q6,"In a truth table, how are the values filled in the second-rightmost variable column for three variables?",1,6,q5,"In filling a truth table, how are the truth values arranged in the column for the rightmost variable?",2,5,0.765,similar
q4,"In a truth table for three variables, how many rows are there?",2,4,q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,0.765,similar
q1,"How many rows are in a truth table for a compound proposition with variables \(p\), \(q\), and \(r\)?",3,1,q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,0.765,similar
q4,What is the truth value of \(\neg (p \land \neg r)\) when \(p\) is true and \(r\) is false?,3,4,q8,"When filling a truth table for \(p \land \neg q\), if \(p = \text{T}\) and \(q = \text{F}\), the value is:",4,8,0.764,similar
q1,What is the order of operations without parentheses in logical expressions?,1,1,q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,0.763,similar
q7,What is the number of rows in a truth table for a proposition with four propositional variables?,1,7,q4,"In a truth table for three variables, how many rows are there?",2,4,0.762,similar
q1,What is the order of operations without parentheses in logical expressions?,1,1,q2,Which logical operator is applied first in a compound proposition without parentheses?,2,2,0.757,similar
q2,Which logical operator is applied first in a compound proposition without parentheses?,2,2,q1,What is the correct order of operations in a compound proposition without parentheses?,4,1,0.755,similar
q5,"In filling a truth table, how are the truth values arranged in the column for the rightmost variable?",2,5,q5,"When filling in the variable columns of a truth table, the pattern for the rightmost variable column is:",3,5,0.754,similar
q2,Which logical operator is applied first in a compound proposition without parentheses?,2,2,q6,What is the order of operations for compound propositions without parentheses?,3,6,0.752,similar
q2,"In a truth table with three variables, how many rows should it have?",1,2,q1,"How many rows are in a truth table for a compound proposition with variables \(p\), \(q\), and \(r\)?",3,1,0.747,similar
q5,"The compound proposition \(p \land \neg (q \lor r)\) evaluates to false when \(p\) is true, \(q\) is false, and \(r\) is true because:",1,5,q4,What is the truth value of \(\neg (p \land \neg r)\) when \(p\) is true and \(r\) is false?,3,4,0.742,similar
q5,"In filling a truth table, how are the truth values arranged in the column for the rightmost variable?",2,5,q4,"In a truth table, the rightmost variable column alternates truth values in what pattern?",4,4,0.736,similar
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q6,What is the order of operations for compound propositions without parentheses?,3,6,0.735,similar
q3,A truth table for a compound proposition with 4 variables has _____ rows.,4,3,q5,How many rows are in a truth table for the proposition \((p \land q) \lor (\neg r \land \neg w)\)?,4,5,0.728,similar
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q1,What is the correct order of operations in a compound proposition without parentheses?,4,1,0.725,similar
q6,How is the truth value of a compound proposition determined using intermediate columns?,2,6,q8,Why are intermediate columns used when filling out truth tables for complex propositions?,3,8,0.72,similar
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q3,The expression \(p \lor q \land r\) is equivalent to:,2,3,0.717,similar
q5,"The compound proposition \(p \land \neg (q \lor r)\) evaluates to false when \(p\) is true, \(q\) is false, and \(r\) is true because:",1,5,q3,The expression \(p \lor q \land r\) is equivalent to:,2,3,0.716,similar
q1,What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,2,1,q3,The compound proposition \(p \lor q \land r\) should be read as:,3,3,0.7,similar
q3,The expression \(p \lor q \land r\) is equivalent to:,2,3,q2,Which logical operator is applied first when evaluating \(p \lor \neg q \land r\) without parentheses?,3,2,0.699,low
