text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
The data science lifecycle exists to _____.,provide a step-by-step process for completing data projects,provide a step-by-step process for completing data projects,limit data scientists to only gathering data,replace the need for communication with stakeholders,focus only on model creation in projects,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which describes unstructured data?,"Data with no predefined format, like images or audio",Data stored in tables with rows and columns,"Data with no predefined format, like images or audio",Data stored as XML or JSON files,Data organized in a database system,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Supervised models differ from unsupervised models because they _____.,predict a known feature from the dataset,predict a known feature from the dataset,find hidden groups without predictions,do not require labeled data,are only used for clustering data,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main purpose of exploratory data analysis?,To identify patterns and relationships in data,To create final models for prediction,To clean the dataset by removing errors,To identify patterns and relationships in data,To prepare reports for stakeholders,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main purpose of the data science lifecycle?,To complete a research project using data,To collect data without analysis,To complete a research project using data,To design databases only,To avoid using models in analysis,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which type of data is stored in a predefined table format with rows and columns?,Structured data,Unstructured data,Semi-structured data,Structured data,Audio data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which step involves using graphs and summary statistics to find patterns in data?,Exploring data,Gathering data,Cleaning data,Exploring data,Interpreting data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A model that predicts whether an email is spam or not is a type of _____ model.,Classification,Unsupervised,Regression,Classification,Clustering,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main reason for cleaning data in a data science project?,To format data for modeling and visualization,To collect more data points,To format data for modeling and visualization,To create complex models automatically,To remove all numerical values,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which type of data is stored in tables with rows and columns?,Structured data,Unstructured data,Semi-structured data,Structured data,Raw audio data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Supervised models in data science are used to _____.,predict features with known values,find hidden patterns without known labels,predict features with known values,cluster data into groups automatically,clean and format raw datasets,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"After completing data modeling, what is the next key step in the data science lifecycle?",Interpreting and communicating findings,Gathering new data,Cleaning data again,Interpreting and communicating findings,Building additional models,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which step of the data science lifecycle involves identifying relevant data and collecting new data if needed?,Gathering data,Cleaning data,Modeling data,Gathering data,Interpreting data,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A dataset of customer reviews is mostly text and images. This dataset is considered _____.,unstructured,structured,semi-structured,unstructured,numerical,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why must datasets be cleaned before modeling in a data science project?,To format data for software and handle missing values,To ensure data is free from all outliers,To format data for software and handle missing values,To predict new outcomes using the data,To present results to stakeholders,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which model type predicts a known categorical feature, like whether an email is spam or not?",Classification model,Unsupervised model,Regression model,Classification model,Clustering model,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
