=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,0,9
1,3,1,2,9
1,4,2,1,9
2,3,1,1,9
2,4,1,1,9
3,4,0,3,9

Summary
Total Comparisons,66
Duplicates (≥85%),6
Similar (70-85%),8

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,0.946,duplicate
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q1,Why should a single space be included around operators in Python expressions?,4,1,0.931,duplicate
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.916,duplicate
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q1,Why should a single space be included around operators in Python expressions?,4,1,0.886,duplicate
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.873,duplicate
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.862,duplicate
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,0.828,similar
q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.823,similar
q3,Why is it good style to put a single space around operators in expressions?,3,3,q1,Why should a single space be included around operators in Python expressions?,4,1,0.822,similar
q2,What does the compound operator += do in Python?,2,2,q2,What does the compound operator += do to a variable x?,3,2,0.79,similar
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q2,What does the compound operator += do to a variable x?,3,2,0.788,similar
q2,What does the compound operator += do to a variable x?,3,2,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.766,similar
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.763,similar
q2,What does the compound operator += do in Python?,2,2,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.718,similar
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q2,What does the compound operator += do in Python?,2,2,0.633,low
q3,Which of the following integer assignments is correct in Python?,2,3,q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,0.553,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q3,Which of the following integer assignments is correct in Python?,2,3,0.545,low
q3,Which of the following integer assignments is correct in Python?,2,3,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.514,low
q2,What does the compound operator += do in Python?,2,2,q1,Why should a single space be included around operators in Python expressions?,4,1,0.5,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q2,What does the compound operator += do in Python?,2,2,0.475,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q2,What does the compound operator += do in Python?,2,2,0.467,low
q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,q1,Why should a single space be included around operators in Python expressions?,4,1,0.445,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,0.419,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q2,What does the compound operator += do to a variable x?,3,2,0.406,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,0.405,low
q2,What does the compound operator += do to a variable x?,3,2,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.401,low
q2,What does the compound operator += do to a variable x?,3,2,q1,Why should a single space be included around operators in Python expressions?,4,1,0.398,low
q3,Why is it good style to put a single space around operators in expressions?,3,3,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.398,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.385,low
q1,Why should a single space be included around operators in Python expressions?,4,1,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.381,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q2,What does the compound operator += do to a variable x?,3,2,0.377,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,0.367,low
q2,What does the compound operator += do in Python?,2,2,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.361,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.358,low
q1,Why should a single space be included around operators in Python expressions?,4,1,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.356,low
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.353,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q1,Why should a single space be included around operators in Python expressions?,4,1,0.353,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.353,low
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q1,Why should a single space be included around operators in Python expressions?,4,1,0.352,low
q2,Which compound operator updates the variable x by adding 5 to its current value?,1,2,q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,0.346,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,0.335,low
q2,What does the compound operator += do in Python?,2,2,q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,0.331,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,0.329,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.327,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q2,What does the compound operator += do in Python?,2,2,0.327,low
q2,What does the compound operator += do in Python?,2,2,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.322,low
q2,What does the compound operator += do in Python?,2,2,q3,Which of the following integer assignments is correct in Python?,2,3,0.315,low
q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,q3,Why is it good style to put a single space around operators in expressions?,3,3,0.312,low
q3,Which of the following integer assignments is correct in Python?,2,3,q1,Why should a single space be included around operators in Python expressions?,4,1,0.304,low
q1,Why is it good practice to include a single space around operators in Python expressions?,2,1,q3,Which of the following integer assignments is correct in Python?,2,3,0.294,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.289,low
q3,Which of the following integer assignments is correct in Python?,2,3,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.283,low
q3,"What happens if an integer literal includes commas, like 1,000,000 in Python?",1,3,q2,What does the compound operator += do to a variable x?,3,2,0.281,low
q1,"Why does Python not allow commas in integer literals like 1,000,000?",3,1,q2,Which compound operator updates a variable by multiplying it by a number?,4,2,0.277,low
q1,Why is it good practice to include a single space around operators in Python expressions?,1,1,q3,Which of the following integer assignments is correct in Python?,2,3,0.276,low
q2,What does the compound operator += do to a variable x?,3,2,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.267,low
q2,Which compound operator updates a variable by multiplying it by a number?,4,2,q3,"What happens if commas are used in an integer literal like 1,000,000 in Python?",4,3,0.259,low
