=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,25
1,3,0,4,25
1,4,2,2,25
2,3,1,3,25
2,4,2,2,25
3,4,0,4,25

Summary
Total Comparisons,190
Duplicates (≥85%),6
Similar (70-85%),18

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,How do pandas dataframes differ from NumPy arrays regarding data types?,1,2,q2,How do pandas dataframes differ from NumPy arrays regarding data types?,2,2,0.962,duplicate
q1,What does the index of a pandas dataframe represent?,2,1,q1,What does the index of a pandas dataframe represent?,4,1,0.937,duplicate
q2,How do pandas dataframes differ from NumPy arrays regarding data types?,1,2,q2,How do pandas dataframes differ from NumPy arrays in data types?,4,2,0.911,duplicate
q2,How do pandas dataframes differ from NumPy arrays regarding data types?,2,2,q2,How do pandas dataframes differ from NumPy arrays in data types?,4,2,0.896,duplicate
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.866,duplicate
q2,How do pandas dataframes differ from NumPy arrays regarding data types?,2,2,q2,What is a key difference between pandas dataframes and NumPy arrays?,3,2,0.865,duplicate
q2,How do pandas dataframes differ from NumPy arrays regarding data types?,1,2,q2,What is a key difference between pandas dataframes and NumPy arrays?,3,2,0.848,similar
q3,Which constructor argument specifies column names when creating a pandas dataframe?,3,3,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.846,similar
q4,The iloc() method in pandas selects data using _____.,3,4,q4,What is the purpose of the iloc() method in pandas dataframes?,4,4,0.844,similar
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,0.84,similar
q2,What is a key difference between pandas dataframes and NumPy arrays?,3,2,q2,How do pandas dataframes differ from NumPy arrays in data types?,4,2,0.824,similar
q4,What does the iloc() method use to select an element from a dataframe?,1,4,q4,What is the purpose of the iloc() method in pandas dataframes?,4,4,0.82,similar
q4,What does the iloc() method use to select an element from a dataframe?,1,4,q4,The iloc() method in pandas selects data using _____.,3,4,0.816,similar
q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,q3,Which constructor argument specifies column names when creating a pandas dataframe?,3,3,0.8,similar
q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,q1,A pandas dataframe's row labels are called the _____.,3,1,0.785,similar
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q3,Which constructor argument specifies column names when creating a pandas dataframe?,3,3,0.781,similar
q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.764,similar
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q1,A pandas dataframe's row labels are called the _____.,3,1,0.729,similar
q1,What does the index of a pandas dataframe represent?,2,1,q1,A pandas dataframe's row labels are called the _____.,3,1,0.728,similar
q1,A pandas dataframe's row labels are called the _____.,3,1,q1,What does the index of a pandas dataframe represent?,4,1,0.723,similar
q1,What does the index of a pandas dataframe represent?,2,1,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.715,similar
q1,What does the index of a pandas dataframe represent?,4,1,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.708,similar
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q1,What does the index of a pandas dataframe represent?,4,1,0.707,similar
q3,Which parameter specifies the row labels when creating a pandas DataFrame?,1,3,q1,What does the index of a pandas dataframe represent?,2,1,0.705,similar
q1,A pandas dataframe's row labels are called the _____.,3,1,q3,Which parameter names the columns when creating a pandas dataframe?,4,3,0.69,low
q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,q1,What does the index of a pandas dataframe represent?,4,1,0.686,low
q1,What does the index of a pandas dataframe represent?,2,1,q3,Which pandas constructor parameter specifies the row labels when creating a dataframe?,2,3,0.684,low
