=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,7,0,0
2,7,0,1
3,7,0,1
4,7,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,5,49
1,3,1,4,49
1,4,3,3,49
2,3,0,5,49
2,4,2,3,49
3,4,2,5,49

Summary
Total Comparisons,378
Duplicates (≥85%),8
Similar (70-85%),27

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q4,Which recurrence relation models a geometric sequence?,3,4,q3,Which recurrence relation models a geometric sequence?,4,3,1,duplicate
q2,How many initial values must be given to define a sequence where \(a_n = a_{n-1} + a_{n-3}\)?,1,2,q2,How many initial values are needed to define a sequence with \(a_n = a_{n-1} + a_{n-2}\)?,4,2,0.94,duplicate
q1,A recurrence relation defines each term based on _____ in the sequence.,1,1,q1,A recurrence relation defines a term as a function of _____ in the sequence.,4,1,0.922,duplicate
q1,A recurrence relation defines each term based on _____ in the sequence.,1,1,q1,A recurrence relation defines each term based on _____.,3,1,0.918,duplicate
q7,A discrete time dynamical system is defined by _____.,1,7,q7,A discrete time dynamical system is characterized by:,4,7,0.915,duplicate
q1,A recurrence relation defines each term based on _____.,3,1,q1,A recurrence relation defines a term as a function of _____ in the sequence.,4,1,0.908,duplicate
q2,How many initial values are needed for a recurrence relation \(a_n = a_{n-1} + a_{n-2}\)?,2,2,q2,How many initial values are needed to define a sequence with \(a_n = a_{n-1} + a_{n-2}\)?,4,2,0.885,duplicate
q6,"What recurrence relation models a loan with monthly interest rate of 0.25% and monthly payment of $500, starting at $20,000?",2,6,q6,Which recurrence relation describes a loan balance with monthly interest and fixed payment?,4,6,0.868,duplicate
q2,How many initial values must be given to define a sequence where \(a_n = a_{n-1} + a_{n-3}\)?,1,2,q2,How many initial values are needed for a recurrence relation \(a_n = a_{n-1} + a_{n-2}\)?,2,2,0.846,similar
q5,"In the recurrence relation \(c_n = 3c_{n-1} + 2c_{n-2}\), how many initial values must be given?",2,5,q2,How many initial values are needed for \(c_n = 3c_{n-1} + 2c_{n-2}\) to be well defined?,3,2,0.843,similar
q6,Which recurrence relation correctly models a monthly loan balance with monthly interest rate 0.25% and fixed monthly payment \(p\)?,1,6,q6,"What recurrence relation models a loan with monthly interest rate of 0.25% and monthly payment of $500, starting at $20,000?",2,6,0.829,similar
