=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,0,9
1,3,1,1,9
1,4,2,0,9
2,3,1,1,9
2,4,0,1,9
3,4,1,0,9

Summary
Total Comparisons,66
Duplicates (≥85%),6
Similar (70-85%),3

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the statement int wage; do in a Java program?,1,1,q1,What does the statement int wage; do in a Java program?,4,1,0.964,duplicate
q2,Which symbol ends each Java statement?,2,2,q1,What symbol marks the end of each statement in Java?,3,1,0.953,duplicate
q2,Which symbol ends a Java statement?,1,2,q2,Which symbol ends each Java statement?,2,2,0.941,duplicate
q2,Which symbol ends a Java statement?,1,2,q1,What symbol marks the end of each statement in Java?,3,1,0.932,duplicate
q3,"In Java, what is the difference between System.out.print() and System.out.println()?",3,3,q3,What is the difference between System.out.print() and System.out.println()?,4,3,0.891,duplicate
q3,How does System.out.println differ from System.out.print in Java output?,1,3,q3,What is the difference between System.out.print() and System.out.println()?,4,3,0.871,duplicate
q3,How does System.out.println differ from System.out.print in Java output?,1,3,q3,"In Java, what is the difference between System.out.print() and System.out.println()?",3,3,0.85,similar
q3,"In Java, which statement correctly gets an integer input into variable x using Scanner scnr?",2,3,q2,Which method reads an integer input from the keyboard using a Scanner object named scnr?,3,2,0.748,similar
q3,"In Java, which statement correctly gets an integer input into variable x using Scanner scnr?",2,3,q2,Which statement correctly reads an integer input into variable numCars using Scanner scnr?,4,2,0.702,similar
q2,Which method reads an integer input from the keyboard using a Scanner object named scnr?,3,2,q2,Which statement correctly reads an integer input into variable numCars using Scanner scnr?,4,2,0.653,low
q1,A Java program starts executing statements inside the _____ method.,2,1,q3,"In Java, what is the difference between System.out.print() and System.out.println()?",3,3,0.482,low
