=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,1
2,8,0,4
3,8,0,7
4,8,1,4

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,10,64
1,3,5,7,64
1,4,3,6,64
2,3,0,15,64
2,4,1,13,64
3,4,2,15,64

Summary
Total Comparisons,496
Duplicates (≥85%),12
Similar (70-85%),82

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q6,The statement \(\exists x P(x)\) is true if:,1,6,q6,The statement \(\exists x P(x)\) means:,3,6,0.981,duplicate
q2,Which symbol represents the universal quantifier?,1,2,q2,Which symbol denotes a universal quantifier?,3,2,0.978,duplicate
q1,What is a predicate in logic?,1,1,q1,What is a predicate in logic?,3,1,0.949,duplicate
q6,The statement \(\exists x P(x)\) means:,3,6,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.941,duplicate
q6,The statement \(\exists x P(x)\) is true if:,1,6,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.93,duplicate
q7,"If the domain is empty, the statement \(\forall x P(x)\) is:",1,7,q5,"If the domain is empty, what is the truth value of \(\forall x P(x)\)?",3,5,0.919,duplicate
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,0.912,duplicate
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.897,duplicate
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.875,duplicate
q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.852,duplicate
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.851,duplicate
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.851,duplicate
q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.848,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,0.842,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.839,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.828,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.817,similar
q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.817,similar
q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.812,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.811,similar
q5,Fill in the blank: The domain of a variable in a predicate is the set of all possible _____ for the variable.,2,5,q7,The domain of a variable in a predicate is _____.,4,7,0.796,similar
q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.796,similar
q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.796,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q6,The statement \(\exists x P(x)\) means:,3,6,0.791,similar
q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.791,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,0.79,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,0.789,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.789,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.789,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.783,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,0.782,similar
q6,Why is the statement \(P(5)\) called a proposition if \(P(x)\) is a predicate?,2,6,q8,Is \(P(5)\) (where \(P(x): x\) is odd) a proposition or predicate?,3,8,0.781,similar
q5,What shows that a universally quantified statement is false?,1,5,q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,0.78,similar
q1,What is a predicate in logic?,1,1,q1,What distinguishes a predicate from a proposition?,2,1,0.778,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.778,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.777,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.776,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.774,similar
q6,The statement \(\exists x P(x)\) means:,3,6,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.774,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q2,The universal quantifier \(\forall x P(x)\) means:,2,2,0.773,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q2,The universal quantifier \(\forall x P(x)\) means:,2,2,0.771,similar
q1,What distinguishes a predicate from a proposition?,2,1,q1,What is a predicate in logic?,3,1,0.771,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.771,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.771,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,0.769,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q6,The statement \(\exists x P(x)\) is true if:,1,6,0.768,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,0.767,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q6,The statement \(\exists x P(x)\) means:,3,6,0.765,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.765,similar
q6,The statement \(\exists x P(x)\) means:,3,6,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.765,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,0.763,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q6,The statement \(\exists x P(x)\) means:,3,6,0.763,similar
q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.762,similar
q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.761,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,0.756,similar
q2,The universal quantifier \(\forall x P(x)\) means:,2,2,q2,The symbol \(\forall\) in \(\forall x P(x)\) represents a/an _____ quantifier.,4,2,0.754,similar
q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.754,similar
q7,"If the domain is empty, the statement \(\forall x P(x)\) is:",1,7,q4,A counterexample for \(\forall x P(x)\) is _____.,4,4,0.753,similar
q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,q4,A counterexample for \(\forall x P(x)\) is _____.,4,4,0.753,similar
q3,What is required to prove the statement \(\exists x P(x)\) is true?,2,3,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.751,similar
q5,The statement \(\exists x P(x)\) means _____.,4,5,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.751,similar
q7,"If the domain is empty, the statement \(\forall x P(x)\) is:",1,7,q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,0.75,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.749,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.749,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.749,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q4,A counterexample for \(\forall x P(x)\) is _____.,4,4,0.747,similar
q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,q3,"To show \(\forall x P(x)\) is true, one must prove _____.",4,3,0.743,similar
q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,q6,The statement \(\exists x P(x)\) means:,3,6,0.743,similar
q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,q7,"To show \(\exists x P(x)\) is false, what must be done?",3,7,0.742,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.741,similar
q4,How can a universally quantified statement \(\forall x P(x)\) be shown false?,2,4,q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,0.741,similar
q6,The statement \(\exists x P(x)\) is true if:,1,6,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.74,similar
q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,q5,The statement \(\exists x P(x)\) means _____.,4,5,0.74,similar
q5,"If the domain is empty, what is the truth value of \(\forall x P(x)\)?",3,5,q4,A counterexample for \(\forall x P(x)\) is _____.,4,4,0.74,similar
q6,The statement \(\exists x P(x)\) means:,3,6,q6,"To prove \(\exists x P(x)\) is true, it suffices to _____.",4,6,0.736,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q4,A single counterexample to \(\forall x P(x)\) does what?,3,4,0.735,similar
q3,"To prove \(\forall x P(x)\) is true, what must be shown?",3,3,q6,The statement \(\exists x P(x)\) means:,3,6,0.733,similar
q8,Is \(P(5)\) (where \(P(x): x\) is odd) a proposition or predicate?,3,8,q8,"The statement ""\(x\) is an odd number"" is a predicate because _____.",4,8,0.733,similar
q3,"To prove \(\forall x P(x)\) is true, one must show:",1,3,q7,"Fill in the blank: To show \(\forall x P(x)\) is true, one can prove \(P(x)\) holds for an _____ element \(x\).",2,7,0.73,similar
