=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,3,25
1,3,1,2,25
1,4,1,1,25
2,3,1,2,25
2,4,1,2,25
3,4,0,1,25

Summary
Total Comparisons,190
Duplicates (≥85%),5
Similar (70-85%),11

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,What happens when a mutable object is passed as an argument to a function?,1,3,q4,What happens when a mutable object is passed as an argument to a function?,4,4,0.911,duplicate
q3,What happens when a mutable object is passed as an argument to a function?,2,3,q4,What happens when a mutable object is passed as an argument to a function in Python?,3,4,0.902,duplicate
q3,What happens when a mutable object is passed as an argument to a function?,1,3,q3,What happens when a mutable object is passed as an argument to a function?,2,3,0.884,duplicate
q3,What happens when a mutable object is passed as an argument to a function?,2,3,q4,What happens when a mutable object is passed as an argument to a function?,4,4,0.87,duplicate
q3,What happens when a mutable object is passed as an argument to a function?,1,3,q4,What happens when a mutable object is passed as an argument to a function in Python?,3,4,0.862,duplicate
q4,What happens when a mutable object is passed as an argument to a function in Python?,3,4,q4,What happens when a mutable object is passed as an argument to a function?,4,4,0.85,similar
q2,What is the scope of a local variable in Python?,1,2,q2,"In Python, where does the scope of a local variable begin?",3,2,0.84,similar
q1,What does the function header in Python always include?,1,1,q1,What does a function header in Python always include?,3,1,0.839,similar
q2,What is the scope of a local variable in Python?,1,2,q5,What is the scope of a global variable in a Python program?,2,5,0.818,similar
q4,How are keyword arguments matched to function parameters in Python?,2,4,q2,How are arguments matched to parameters when using keyword arguments?,4,2,0.817,similar
q2,What is the scope of a local variable in Python?,1,2,q3,What is the scope of a local variable defined inside a function?,4,3,0.781,similar
q4,How are keyword arguments matched to function parameters in Python?,2,4,q5,How can keyword arguments improve function calls in Python?,3,5,0.761,similar
q5,What is the scope of a global variable in a Python program?,2,5,q3,What is the scope of a local variable defined inside a function?,4,3,0.748,similar
q5,What is the scope of a global variable in a Python program?,2,5,q2,"In Python, where does the scope of a local variable begin?",3,2,0.722,similar
q4,"In Python, what is a keyword argument?",1,4,q4,How are keyword arguments matched to function parameters in Python?,2,4,0.719,similar
q1,What does the function header in Python always include?,1,1,q1,What part of a function contains the parameters and ends with a colon?,2,1,0.715,similar
q4,"In Python, what is a keyword argument?",1,4,q5,How can keyword arguments improve function calls in Python?,3,5,0.683,low
q5,How can keyword arguments improve function calls in Python?,3,5,q2,How are arguments matched to parameters when using keyword arguments?,4,2,0.67,low
q4,"In Python, what is a keyword argument?",1,4,q2,How are arguments matched to parameters when using keyword arguments?,4,2,0.652,low
q1,What part of a function contains the parameters and ends with a colon?,2,1,q1,What does a function header in Python always include?,3,1,0.64,low
q2,"In Python, where does the scope of a local variable begin?",3,2,q3,What is the scope of a local variable defined inside a function?,4,3,0.637,low
q3,Which statement correctly declares a global variable inside a function?,3,3,q5,What is the effect of the global statement inside a function?,4,5,0.63,low
q2,"In Python, a variable defined inside a function is called a/an _____ variable.",2,2,q5,What is the scope of a global variable in a Python program?,2,5,0.606,low
q5,What is the scope of a global variable in a Python program?,2,5,q5,What is the effect of the global statement inside a function?,4,5,0.579,low
q3,What is the scope of a local variable defined inside a function?,4,3,q5,What is the effect of the global statement inside a function?,4,5,0.566,low
q1,What does the function header in Python always include?,1,1,q2,"In Python, where does the scope of a local variable begin?",3,2,0.54,low
q5,What is the scope of a global variable in a Python program?,2,5,q3,Which statement correctly declares a global variable inside a function?,3,3,0.54,low
q1,What does a function header in Python always include?,3,1,q2,"In Python, where does the scope of a local variable begin?",3,2,0.538,low
q2,"In Python, a variable defined inside a function is called a/an _____ variable.",2,2,q3,Which statement correctly declares a global variable inside a function?,3,3,0.535,low
q2,"In Python, a variable defined inside a function is called a/an _____ variable.",2,2,q5,What is the effect of the global statement inside a function?,4,5,0.532,low
q5,What type of object is a Python function considered?,1,5,q2,"In Python, a variable defined inside a function is called a/an _____ variable.",2,2,0.513,low
