text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Select the statement that is\n<i>not</i>\na proposition.,Take out the trash.,$5 + 4 = 88$,It will be sunny tomorrow.,Take out the trash.,Chocolate is the best flavor.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"\n$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>true</i>\n.",$p \vee r$,$p \wedge q$,$\neg p$,$q\vee r$,$p \vee r$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{F}$\n,\n$q = \text{T}$\n, and\n$r = \text{T}$\n.\nSelect the expression that evaluates to\n<i>false</i>\n.",$\neg q$,$\neg q$,$q \vee r$,$q \wedge r$,$p\vee r$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"\nThe propositional variables\n$s$\nand\n$m$\nrepresent the two propositions:\n$s{:}$\nIt is sunny today.\n$m{:}$\nI will bring my umbrella.\nSelect the logical expression that represents the statement: ""Despite the fact that it is sunny today, I will bring my umbrella.""",$s \wedge m$,$s$,$s \wedge m$,$s \vee m$,$\neg m$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Select the statement that is\n<i>not</i>\na proposition.,Is it your birthday today?,The stock market will crash next month.,January has\n$30$\ndays.,$5 \times 4 = 25$,Is it your birthday today?,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{T}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>false</i>\n.",$q \wedge r$,$\neg r$,$p \vee r$,$q \wedge r$,$p\vee q$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{F}$\n, and\n$r = \text{F}$\n.\nSelect the expression that evaluates to\n<i>true</i>\n.",$\neg q$,$\neg q$,$r \vee q$,$q \wedge p$,$p \wedge r$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"$p = \text{T}$\n,\n$q = \text{T}$\n.\nSelect the correct truth value for the propositions\n$p \vee q$\nand\n$p \oplus q$\n.","$p \vee q{:}$\ntrue and,\n$p \oplus q{:}$\nfalse","$p \vee q{:}$\ntrue, and\n$p \oplus q{:}$\ntrue","$p \vee q{:}$\ntrue and,\n$p \oplus q{:}$\nfalse","$p \vee q{:}$\nfalse, and\n$p \oplus q{:}$\ntrue","$p \vee q{:}$\nfalse, and\n$p \oplus q{:}$\nfalse",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass
\nUnder what conditions do the expressions\n$p \wedge q$\nand\n$\neg p$\nhave the same truth value?,"$p = \text{T}$\n, and\n$q = \text{F}$",$p = q = \text{F}$,"$p = \text{F}$\n, and\n$q = \text{T}$","$p = \text{T}$\n, and\n$q = \text{F}$",$p = q = \text{T}$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nPropositions\n$1$\nand\n$2$\nare defined as follows:\nProposition\n$1{:}~\neg(12 - 3 = 9)$\nProposition\n$2{:}~(12 - 3 = 9) \wedge (5 + 2 = 7)$\nSelect the correct truth value for the two propositions.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\ntrue.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\nfalse.,Proposition\n$1{:}$\ntrue. Proposition\n$2{:}$\nfalse.,Proposition\n$1{:}$\nfalse. Proposition\n$2{:}$\ntrue.,Proposition\n$1{:}$\ntrue. Proposition\n$2{:}$\ntrue.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
