=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,3,16
1,3,1,2,16
1,4,1,3,16
2,3,0,2,16
2,4,0,2,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),3
Similar (70-85%),13

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,"In Python, a variable is used to _____.",1,3,q3,"In Python, a variable is used to _____.",3,3,0.985,duplicate
q4,What is the role of the print() function in Python?,1,4,q4,What is the role of the print() function in Python?,4,4,0.965,duplicate
q1,What does the Python interpreter do?,3,1,q1,What does the Python interpreter do?,4,1,0.903,duplicate
q1,What does the Python interpreter do?,1,1,q1,What does the Python interpreter do?,3,1,0.847,similar
q1,What does the Python interpreter do?,1,1,q1,What does the Python interpreter do?,4,1,0.836,similar
q3,"In Python, a variable is used to _____.",1,3,q2,"In Python, what does a variable do?",2,2,0.823,similar
q2,"In Python, what does a variable do?",2,2,q3,"In Python, a variable is used to _____.",3,3,0.819,similar
q2,The interactive interpreter is best described as a tool that _____.,1,2,q2,The interactive interpreter allows the user to _____.,3,2,0.805,similar
q3,"In Python, a variable is used to _____.",3,3,q3,"In Python, a variable stores _____.",4,3,0.786,similar
q3,"In Python, a variable is used to _____.",1,3,q3,"In Python, a variable stores _____.",4,3,0.776,similar
q2,"In Python, what does a variable do?",2,2,q3,"In Python, a variable stores _____.",4,3,0.737,similar
q1,What does the Python interpreter do?,1,1,q1,What is the primary role of the Python interpreter?,2,1,0.716,similar
q1,What is the primary role of the Python interpreter?,2,1,q1,What does the Python interpreter do?,3,1,0.713,similar
q2,The interactive interpreter is best described as a tool that _____.,1,2,q1,What does the Python interpreter do?,4,1,0.703,similar
q4,What is the role of the print() function in Python?,1,4,q2,"In Python, what does a variable do?",2,2,0.703,similar
q1,What is the primary role of the Python interpreter?,2,1,q1,What does the Python interpreter do?,4,1,0.703,similar
q2,"In Python, what does a variable do?",2,2,q4,What is the role of the print() function in Python?,4,4,0.684,low
q3,"In Python, a variable is used to _____.",1,3,q4,What is the role of the print() function in Python?,4,4,0.683,low
q3,"In Python, a variable is used to _____.",1,3,q4,What is the role of the print() function in Python?,1,4,0.676,low
q2,The interactive interpreter is best described as a tool that _____.,1,2,q1,What does the Python interpreter do?,3,1,0.67,low
q3,"In Python, a variable is used to _____.",3,3,q4,What is the role of the print() function in Python?,4,4,0.663,low
q4,What is the role of the print() function in Python?,1,4,q3,"In Python, a variable is used to _____.",3,3,0.662,low
q2,The interactive interpreter allows the user to _____.,3,2,q4,What is the main advantage of writing Python code in a file instead of the interactive interpreter?,3,4,0.658,low
q1,What does the Python interpreter do?,1,1,q2,The interactive interpreter is best described as a tool that _____.,1,2,0.642,low
q1,What does the Python interpreter do?,1,1,q4,What is the main advantage of writing Python code in a file instead of the interactive interpreter?,3,4,0.637,low
