=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,2,25
1,3,0,1,25
1,4,1,3,25
2,3,1,1,25
2,4,1,0,25
3,4,1,0,25

Summary
Total Comparisons,190
Duplicates (≥85%),4
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which instruction type takes data from the keyboard or a file?,2,2,q2,Which instruction type receives data from a keyboard or file?,4,2,0.975,duplicate
q1,What type of instruction receives data from a keyboard or file?,3,1,q2,Which instruction type receives data from a keyboard or file?,4,2,0.942,duplicate
q2,Which instruction type takes data from the keyboard or a file?,2,2,q1,What type of instruction receives data from a keyboard or file?,3,1,0.941,duplicate
q1,A computer program executes instructions _____ to perform tasks.,1,1,q1,A computer program executes instructions _____ at a time.,4,1,0.887,duplicate
q2,Which instruction type gets data from the user or a file?,1,2,q2,Which instruction type takes data from the keyboard or a file?,2,2,0.815,similar
q2,Which instruction type gets data from the user or a file?,1,2,q2,Which instruction type receives data from a keyboard or file?,4,2,0.793,similar
q2,Which instruction type gets data from the user or a file?,1,2,q1,What type of instruction receives data from a keyboard or file?,3,1,0.792,similar
q4,What is the purpose of an algorithm in computational thinking?,1,4,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.754,similar
q3,"In programming, a variable is used to _____.",1,3,q1,What is the main reason a computer program uses variables?,2,1,0.748,similar
q5,Which instruction completes this triangle area formula? base * height * _____,1,5,q5,Which completes this program to compute a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,4,5,0.739,similar
q4,Why is computational thinking important in the information age?,2,4,q5,Computational thinking is important because it helps people _____.,3,5,0.707,similar
q3,"In programming, a variable is used to _____.",1,3,q3,Variables in a program are named because their _____ change during execution.,4,3,0.683,low
q4,What is the purpose of an algorithm in computational thinking?,1,4,q4,Why is computational thinking important in the information age?,2,4,0.656,low
q1,What is the main reason a computer program uses variables?,2,1,q3,Variables in a program are named because their _____ change during execution.,4,3,0.64,low
q4,What is the purpose of an algorithm in computational thinking?,1,4,q5,Computational thinking is important because it helps people _____.,3,5,0.639,low
q1,What is the main reason a computer program uses variables?,2,1,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.602,low
q3,"In programming, a variable is used to _____.",1,3,q2,Which instruction type takes data from the keyboard or a file?,2,2,0.583,low
q3,A program that assigns z = x + y and inputs x = 3 and y = 4 will output _____.,2,3,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.583,low
q3,"In programming, a variable is used to _____.",1,3,q2,Which instruction type receives data from a keyboard or file?,4,2,0.579,low
q3,"In programming, a variable is used to _____.",1,3,q1,What type of instruction receives data from a keyboard or file?,3,1,0.578,low
q4,What is the purpose of an algorithm in computational thinking?,1,4,q1,What is the main reason a computer program uses variables?,2,1,0.572,low
q1,What is the main reason a computer program uses variables?,2,1,q1,What type of instruction receives data from a keyboard or file?,3,1,0.57,low
q1,What is the main reason a computer program uses variables?,2,1,q2,Which instruction type takes data from the keyboard or a file?,2,2,0.559,low
q2,Which instruction type takes data from the keyboard or a file?,2,2,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.559,low
q2,A sequence of instructions that solves a problem is called a/an _____.,3,2,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.559,low
q1,A computer program executes instructions _____ to perform tasks.,1,1,q4,How does a computer program differ from a cooking recipe?,3,4,0.555,low
q1,What is the main reason a computer program uses variables?,2,1,q2,Which instruction type receives data from a keyboard or file?,4,2,0.553,low
q1,What is the main reason a computer program uses variables?,2,1,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.551,low
q1,What type of instruction receives data from a keyboard or file?,3,1,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.551,low
q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,q2,Which instruction type receives data from a keyboard or file?,4,2,0.549,low
q2,Which instruction type gets data from the user or a file?,1,2,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.542,low
q3,"In programming, a variable is used to _____.",1,3,q2,A sequence of instructions that solves a problem is called a/an _____.,3,2,0.536,low
q4,What is the purpose of an algorithm in computational thinking?,1,4,q2,A sequence of instructions that solves a problem is called a/an _____.,3,2,0.533,low
q5,Computational thinking is important because it helps people _____.,3,5,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.517,low
q4,How does a computer program differ from a cooking recipe?,3,4,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.515,low
q4,How does a computer program differ from a cooking recipe?,3,4,q1,A computer program executes instructions _____ at a time.,4,1,0.514,low
q1,A computer program executes instructions _____ to perform tasks.,1,1,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.513,low
q3,"In programming, a variable is used to _____.",1,3,q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,0.511,low
q4,Why is computational thinking important in the information age?,2,4,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.508,low
q4,How does a computer program differ from a cooking recipe?,3,4,q5,Computational thinking is important because it helps people _____.,3,5,0.5,low
q2,Which instruction type receives data from a keyboard or file?,4,2,q3,Variables in a program are named because their _____ change during execution.,4,3,0.5,low
q2,Which instruction type gets data from the user or a file?,1,2,q1,What is the main reason a computer program uses variables?,2,1,0.496,low
q1,What is the main reason a computer program uses variables?,2,1,q4,Why is computational thinking important in the information age?,2,4,0.494,low
q2,Which instruction type takes data from the keyboard or a file?,2,2,q3,Variables in a program are named because their _____ change during execution.,4,3,0.494,low
q1,What is the main reason a computer program uses variables?,2,1,q4,How does a computer program differ from a cooking recipe?,3,4,0.492,low
q3,In the program: x = Get next input; y = Get next input; z = x + y; Put z to output; what is the role of z = x + y?,3,3,q5,Which completes this program to compute a triangle's area? base = Get next input height = Get next input x = base * height _____ Put x to output,4,5,0.489,low
q1,What is the main reason a computer program uses variables?,2,1,q2,A sequence of instructions that solves a problem is called a/an _____.,3,2,0.486,low
q2,Which instruction type gets data from the user or a file?,1,2,q4,What is the purpose of an algorithm in computational thinking?,1,4,0.483,low
q1,A computer program executes instructions _____ at a time.,4,1,q4,Why do programs use sequences of instructions called algorithms?,4,4,0.482,low
q1,What is the main reason a computer program uses variables?,2,1,q5,Computational thinking is important because it helps people _____.,3,5,0.478,low
q1,What type of instruction receives data from a keyboard or file?,3,1,q3,Variables in a program are named because their _____ change during execution.,4,3,0.465,low
q2,Which instruction type gets data from the user or a file?,1,2,q3,"In programming, a variable is used to _____.",1,3,0.463,low
q2,Which instruction type gets data from the user or a file?,1,2,q4,Why is computational thinking important in the information age?,2,4,0.461,low
q1,A computer program executes instructions _____ to perform tasks.,1,1,q2,A sequence of instructions that solves a problem is called a/an _____.,3,2,0.456,low
q4,What is the purpose of an algorithm in computational thinking?,1,4,q4,How does a computer program differ from a cooking recipe?,3,4,0.453,low
