=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,0
3,10,0,0
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,100
1,3,0,4,100
1,4,1,3,100
2,3,1,1,100
2,4,0,5,100
3,4,0,6,100

Summary
Total Comparisons,780
Duplicates (≥85%),3
Similar (70-85%),23

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,0.92,duplicate
q7,Which code correctly reads a string from user input into variable name?,1,7,q6,Which statement correctly reads a user input string into variable name?,4,6,0.909,duplicate
q4,Which print statement keeps the output on the same line?,2,4,q3,Which print statement correctly keeps output on the same line?,3,3,0.909,duplicate
q1,Which Python function outputs text or variable values to the screen?,1,1,q1,The Python function _____ outputs text to the console.,2,1,0.847,similar
q9,"What is the output of the code: print(""A"", ""B"", ""C"")?",1,9,q8,"What is the result of print(""A"", ""B"", ""C"") in Python?",4,8,0.837,similar
q8,How does the print function separate multiple values inside the parentheses?,3,8,q4,How does the print() function handle multiple values separated by commas?,4,4,0.829,similar
q1,What does the print() function automatically add at the end of its output?,3,1,q1,The print() function outputs a/an _____ by default at the end of its output.,4,1,0.81,similar
q5,The input() function in Python:,2,5,q3,What does the input() function do in a Python program?,4,3,0.8,similar
q6,"To convert a string input ""123"" to an integer, use _____ in Python.",2,6,q5,"To convert the string ""123"" to the integer 123, which function is used?",4,5,0.797,similar
q10,Which escape sequence inserts a tab character in a string?,3,10,q2,Which escape sequence moves output to the next line in a string?,4,2,0.797,similar
q4,"How does print(""Hello"", ""World"") format the output?",1,4,q4,Which print statement keeps the output on the same line?,2,4,0.776,similar
q6,What type does input() return when reading user input?,1,6,q7,What type of value does input() return by default?,3,7,0.761,similar
q8,Why use int(input()) instead of input() alone for numeric input?,1,8,q5,Why is int() used on the result of input() when reading a number?,3,5,0.757,similar
q3,"In Python, when multiple values are printed separated by commas, what separates them in the output?",2,3,q4,How does the print() function handle multiple values separated by commas?,4,4,0.749,similar
q4,How can a program read a user-entered string into a variable named user_input?,3,4,q6,Which statement correctly reads a user input string into variable name?,4,6,0.74,similar
q5,How can multiple print() statements output on the same line?,1,5,q4,Which print statement keeps the output on the same line?,2,4,0.733,similar
q7,Which code correctly reads a string from user input into variable name?,1,7,q4,How can a program read a user-entered string into a variable named user_input?,3,4,0.728,similar
q9,"What is the output of the code: print(""A"", ""B"", ""C"")?",1,9,q9,"How does print(""A"", 1, ""B"") output?",2,9,0.725,similar
q3,"In Python, when multiple values are printed separated by commas, what separates them in the output?",2,3,q8,How does the print function separate multiple values inside the parentheses?,3,8,0.725,similar
q7,What type of value does input() return by default?,3,7,q9,"If a user types ""42"" when input() runs, what type is the value assigned by default?",4,9,0.721,similar
q4,Which print statement keeps the output on the same line?,2,4,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.718,similar
q5,How can multiple print() statements output on the same line?,1,5,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.716,similar
q6,What type does input() return when reading user input?,1,6,q9,"If a user types ""42"" when input() runs, what type is the value assigned by default?",4,9,0.714,similar
q5,How can multiple print() statements output on the same line?,1,5,q3,Which print statement correctly keeps output on the same line?,3,3,0.706,similar
q3,Which print statement correctly keeps output on the same line?,3,3,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.705,similar
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q1,The print() function outputs a/an _____ by default at the end of its output.,4,1,0.702,similar
q4,"How does print(""Hello"", ""World"") format the output?",1,4,q3,Which print statement correctly keeps output on the same line?,3,3,0.696,low
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q1,What does the print() function automatically add at the end of its output?,3,1,0.695,low
q9,"How does print(""A"", 1, ""B"") output?",2,9,q8,"What is the result of print(""A"", ""B"", ""C"") in Python?",4,8,0.694,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q1,What does the print() function automatically add at the end of its output?,3,1,0.679,low
q1,Which Python function outputs text or variable values to the screen?,1,1,q3,What does the input() function do in a Python program?,4,3,0.673,low
q8,"Why use end="" "" in a print statement?",2,8,q1,What does the print() function automatically add at the end of its output?,3,1,0.67,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q8,"Why use end="" "" in a print statement?",2,8,0.669,low
q4,How does the print() function handle multiple values separated by commas?,4,4,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.664,low
q1,The Python function _____ outputs text to the console.,2,1,q3,What does the input() function do in a Python program?,4,3,0.66,low
q5,How can multiple print() statements output on the same line?,1,5,q8,"Why use end="" "" in a print statement?",2,8,0.657,low
q1,The Python function _____ outputs text to the console.,2,1,q5,The input() function in Python:,2,5,0.654,low
q4,Which print statement keeps the output on the same line?,2,4,q8,"Why use end="" "" in a print statement?",2,8,0.649,low
q7,What is the value of variable x after this code runs? x = input() (user types 45),2,7,q9,"If a user types ""42"" when input() runs, what type is the value assigned by default?",4,9,0.649,low
q8,"Why use end="" "" in a print statement?",2,8,q9,Why must strings in print() be enclosed in quotes?,3,9,0.649,low
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q8,"Why use end="" "" in a print statement?",2,8,0.635,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q1,The print() function outputs a/an _____ by default at the end of its output.,4,1,0.634,low
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q2,Which escape sequence moves output to the next line in a string?,4,2,0.631,low
q3,"In Python, when multiple values are printed separated by commas, what separates them in the output?",2,3,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.631,low
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q10,Which escape sequence inserts a tab character in a string?,3,10,0.63,low
q2,The newline character in Python output is written as _____.,3,2,q2,Which escape sequence moves output to the next line in a string?,4,2,0.628,low
q8,How does the print function separate multiple values inside the parentheses?,3,8,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.627,low
q5,How can multiple print() statements output on the same line?,1,5,q4,How does the print() function handle multiple values separated by commas?,4,4,0.625,low
q8,"Why use end="" "" in a print statement?",2,8,q1,The print() function outputs a/an _____ by default at the end of its output.,4,1,0.621,low
q6,What type does input() return when reading user input?,1,6,q5,The input() function in Python:,2,5,0.619,low
q2,"What does the newline character ""\n"" do in a string printed by print()?",2,2,q2,The newline character in Python output is written as _____.,3,2,0.619,low
q4,How can a program read a user-entered string into a variable named user_input?,3,4,q3,What does the input() function do in a Python program?,4,3,0.619,low
q4,Which print statement keeps the output on the same line?,2,4,q1,What does the print() function automatically add at the end of its output?,3,1,0.618,low
q8,"Why use end="" "" in a print statement?",2,8,q7,How to keep output from multiple print() calls on the same line separated by a space?,4,7,0.613,low
q6,What type does input() return when reading user input?,1,6,q5,Why is int() used on the result of input() when reading a number?,3,5,0.611,low
q5,The input() function in Python:,2,5,q4,How can a program read a user-entered string into a variable named user_input?,3,4,0.611,low
q8,"Why use end="" "" in a print statement?",2,8,q3,Which print statement correctly keeps output on the same line?,3,3,0.61,low
q1,What does the print() function automatically add at the end of its output?,3,1,q8,How does the print function separate multiple values inside the parentheses?,3,8,0.6,low
q2,The newline character in Python output is written as _____.,3,2,q1,The print() function outputs a/an _____ by default at the end of its output.,4,1,0.598,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q2,The newline character in Python output is written as _____.,3,2,0.595,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q2,Which escape sequence moves output to the next line in a string?,4,2,0.593,low
q4,Which print statement keeps the output on the same line?,2,4,q4,How does the print() function handle multiple values separated by commas?,4,4,0.593,low
q3,"What does the newline character ""\n"" do in a string printed by print()?",1,3,q4,Which print statement keeps the output on the same line?,2,4,0.59,low
