text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
"A Python _____ is a collection of related functions, classes, and objects.",package,variable,package,module,script,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
Which command imports the function read_csv from pandas?,from pandas import read_csv,import pandas.read_csv,from pandas import read_csv,import read_csv from pandas,pandas import read_csv,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
The role of a package manager is to _____.,"install, update, and remove packages",write Python code,create packages,"install, update, and remove packages",compile Python programs,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which package is best for creating data visualizations in Python?,seaborn,pandas,seaborn,numpy,sklearn,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why use an alias when importing a package?,To shorten a package’s name for easier access,To change the package functionality,To shorten a package’s name for easier access,To upgrade the package automatically,To avoid installing dependencies,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the purpose of aliasing a Python package during import?,To use a shorter name for the package,To rename functions inside the package,To avoid importing the entire package,To use a shorter name for the package,To install the package automatically,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A package manager is used to _____.,"install, update, and remove packages while managing dependencies",write Python code faster,"install, update, and remove packages while managing dependencies",compile Python scripts into executable files,visualize data science results,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which command imports only the function StandardScaler from sklearn.preprocessing?,from sklearn.preprocessing import StandardScaler,import sklearn.preprocessing.StandardScaler,from sklearn.preprocessing import StandardScaler,import StandardScaler from sklearn.preprocessing,from StandardScaler import sklearn.preprocessing,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
Why must some packages be installed separately from the Python interpreter?,Too many packages exist to include all with the interpreter,They require manual coding of dependencies,Python interpreter does not support importing packages,Too many packages exist to include all with the interpreter,Packages are only available for certain operating systems,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which package is best for creating customized data visualizations using pandas DataFrames?,seaborn,NumPy,seaborn,scikit-learn,statsmodels,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a Python package primarily provide?,"A collection of related functions, classes, and objects",A single function for data analysis,"A collection of related functions, classes, and objects",An operating system for Python,A text editor for writing code,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does the Python interpreter find a package during import?,It searches the filesystem paths listed in Python's path,It looks only in the current working directory,It searches the filesystem paths listed in Python's path,It downloads the package from the internet automatically,It runs a search engine query for the package,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main purpose of a package manager like pip or conda?,"Managing installation, updates, and dependencies of packages",Writing Python code faster,"Managing installation, updates, and dependencies of packages",Debugging Python programs,Running Python programs in a browser,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which command imports the function read_csv from the pandas package?,from pandas import read_csv,import pandas.read_csv,from pandas import read_csv,import read_csv from pandas,pandas.read_csv(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which Python package is best suited to create and customize data visualizations?,seaborn,NumPy,SciPy,seaborn,scikit-learn,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A Python _____ is a collection of related functions and classes extending Python's capabilities.,package,module,package,script,interpreter,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
