=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,0
3,10,0,1
4,10,0,2

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,5,100
1,3,2,8,100
1,4,1,6,100
2,3,2,6,100
2,4,1,4,100
3,4,2,6,100

Summary
Total Comparisons,780
Duplicates (≥85%),10
Similar (70-85%),39

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q8,Why do some programmers configure compilers to show more warnings?,1,8,q8,Why should programmers configure compilers to show more warnings?,3,8,0.932,duplicate
q8,Why do some programmers configure compilers to show more warnings?,1,8,q8,Why do many programmers configure compilers to be more picky with warnings?,4,8,0.907,duplicate
q10,A missing semicolon error message might actually be caused by a missing _____.,1,10,q9,A missing semicolon error message may actually indicate a missing _____.,2,9,0.898,duplicate
q3,Why should a programmer fix the first compiler error before others?,2,3,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.898,duplicate
q10,"After fixing the first error, the programmer should _____.",2,10,q3,"After fixing the first compiler error, the programmer should _____.",3,3,0.886,duplicate
q8,Why should programmers configure compilers to show more warnings?,3,8,q8,Why do many programmers configure compilers to be more picky with warnings?,4,8,0.886,duplicate
q2,"When a compiler reports an error on line 10, the actual error is often on _____.",3,2,q3,"When a compiler reports an error on line 10, where might the actual error be?",4,3,0.883,duplicate
q2,"When a compiler reports an error on line 10, the actual syntax error is often on line _____.",2,2,q2,"When a compiler reports an error on line 10, the actual error is often on _____.",3,2,0.873,duplicate
q2,"A compiler error message refers to line 10, but the actual error is usually found on line _____.",1,2,q2,"When a compiler reports an error on line 10, the actual syntax error is often on line _____.",2,2,0.86,duplicate
q6,The best practice for new programmers is to compile and run their code after writing _____.,1,6,q6,Good practice for new programmers is to compile _____.,3,6,0.851,duplicate
q5,A logic error is different from a syntax error because it _____.,1,5,q5,A logic error differs from a syntax error because it _____.,2,5,0.847,similar
q2,"A compiler error message refers to line 10, but the actual error is usually found on line _____.",1,2,q2,"When a compiler reports an error on line 10, the actual error is often on _____.",3,2,0.843,similar
q7,Compiler warnings _____.,1,7,q6,Compiler warnings indicate _____.,2,6,0.84,similar
q1,A syntax error occurs when a program _____.,1,1,q1,A syntax error occurs because a program _____ the programming language rules.,2,1,0.824,similar
q1,A syntax error occurs when a program violates _____ rules.,3,1,q1,What type of error occurs when a program violates language syntax rules?,4,1,0.807,similar
q4,Which is best practice for compiling code?,2,4,q6,What is the best practice for how often new programmers should compile their code?,4,6,0.804,similar
