text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does an assignment statement do in programming?,Assigns a variable with a value,Compares two values for equality,Declares a variable type,Assigns a variable with a value,Outputs a value to the screen,,,,,,
What must always be on the left side of an assignment?,A variable,A variable,A constant number,An expression with multiple variables,An arithmetic operation,,,,,,
"After these statements, x = 4, y = x + 3, x = 7, what is the value of y?",10,10,7,4,3,,,,,,
The statement x = x + 1 is called _____.,incrementing a variable,decrementing a variable,comparing a variable,incrementing a variable,declaring a variable,,,,,,
"In programming, what does the statement x = 5 do?",Assigns x with the value 5,Tests if x equals 5,Compares x to 5,Assigns x with the value 5,Adds 5 to x,,,,,,
"After these assignments, what is y? x = 4 y = x + 3",7,4,7,3,Undefined,,,,,,
Which assignment statement is valid in programming?,x = y + 2,x + 1 = 3,x = y + 2,x = y = 2,5 = x,,,,,,
What does the assignment x = x + 1 do?,Assigns x with its current value plus 1,Causes an error,Assigns x with its current value plus 1,Assigns x with 1,Assigns x with the old value of x only,,,,,,
Why must the left side of an assignment be a variable in programming?,Because only variables can store values,Because only variables can store values,Because expressions always return false,Because variables can store multiple values simultaneously,Because expressions are only used on the right side,,,,,,
What happens when executing x = x + 1 if x is 5?,x becomes 6,x becomes 6,x becomes 5,x becomes 1,The operation is invalid,,,,,,
How is assignment in programming different from equality in algebra?,Assignment updates a variable's value; equality states two expressions are equal,Assignment updates a variable's value; equality states two expressions are equal,Assignment checks if two variables hold the same value,Assignment and equality mean the same in programming,Equality updates variable values; assignment compares expressions,,,,,,
"After the assignments x = 4; y = x + 3; x = 2, what is y's value?",7,7,2,5,3,,,,,,
What does the assignment statement x = 5 do in programming?,Assigns 5 to x,Checks if x equals 5,Assigns 5 to x,Adds 5 to x's current value,Compares x and 5 for equality,,,,,,
Which is a valid assignment statement in programming?,x = y + 2,x + 1 = 3,x = y + 2,x + y = y + x,5 = x,,,,,,
"After x = 7 and y = x + 2, what is y's value?",9,5,7,9,14,,,,,,
"Fill in the blank: To increase variable y by 1, write y = _____.",y + 1,y - 1,y + 1,1 + y,y = 1,,,,,,
