text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
The cardinality of a set containing elements that are sets is _____.,The number of elements and sets as single elements,The sum of elements inside each set,The number of elements and sets as single elements,The total number of elements inside all sets combined,Always infinite,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which statement is true about the empty set \(\emptyset\) and \(\{\emptyset\}\)?,\(\emptyset\) is an element of \(\{\emptyset\}\),Both have cardinality zero,\(\emptyset\) is an element of \(\{\emptyset\}\),\(\{\emptyset\}\) has no elements,\(\emptyset\) equals \(\{\emptyset\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"If \(A = \{1, 2, 3\}\), what is the cardinality of the power set \(P(A)\)?",8,3,6,8,9,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which is a subset of \(A = \{2,3,5\}\) but not an element of \(A\)?","\(\{2,3\}\)",2,\(\{2\}\),"\(\{2,3\}\)",5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass
"Given \(A = \{1, \{1\}, 2\}\), which is true?",\(\{1\} \in A\),\(1 \in A\),\(\{1\} \subseteq A\),\(\{1\} \in A\),\(1 \subseteq A\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass
The power set \(P(A)\) contains _____.,All subsets of \(A\),All elements of \(A\),All subsets of \(A\),Only singleton subsets of \(A\),Only subsets with cardinality greater than 1,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(|A| = n\), then \(|P(A)| = _____\).",\(2^n\),\(n^2\),\(2^n\),\(n!\),\(n + 1\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For \(A = \{2, 3, 5, 7, 14\}\), which is correct?",\(\{2\} \in P(A)\),\(2 \in P(A)\),\(\{2\} \in P(A)\),"\(\{2, 3\} \in A\)",\(|P(A)| = 5\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A set containing the empty set \(\emptyset\) has cardinality _____.,1,0,1,2,Cannot determine,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which is an element of the set \(A = \{ \{1, 2\}, \emptyset, \{1\} \}\)?",\(\{1\}\),1,\(\{1\}\),2,\(\{2\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"If \(B = \{2, \emptyset, \{1, 2\}\}\), which is a subset of \(B\)?","\(\{2, \emptyset\}\)",\(\{1\}\),"\(\{2, \emptyset\}\)","\(\{1, 2\}\)",\(\{3\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The power set \(P(A)\) contains _____.,all subsets of \(A\),only elements of \(A\),all subsets of \(A\),only sets with one element from \(A\),only subsets of size two,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For a set \(A\) with 3 elements, \(|P(A)| = \) _____.",8,6,8,9,3,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which statement is true about the set \(A = \{3, 4, \{3, 4\}\}\)?",\(3 \in A\),\(3 \in A\),\(\{3\} \in A\),\(\{4\} \subseteq A\),\(4 \subseteq A\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass
"Given \(A = \{1, 2, 3\}\), which is NOT an element of \(P(A)\)?",\(2\),\(\emptyset\),"\(\{1, 2\}\)",\(2\),\(\{3\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The cardinality of the power set of a set with \(n\) elements is _____.,\(2^n\),\(n^2\),\(2n\),\(2^n\),\(n!\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What is the cardinality of the set \(A = \{ \{1, 2\}, 1, 2, \{1, 2, 3\} \}\)?",4,3,2,4,5,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which statement is true about set \(A = \{ 3, 4, \{3, 4\}, \{1, 2, 3\}, 5 \}\)?",\(\{3\} \subseteq A\),\(3 \in A\),\(\{3\} \subseteq A\),\(\{1\} \subseteq A\),"\(\{1, 2, 3\} \subseteq A\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass
"The power set \(P(A)\) of \(A = \{1, 2, 3\}\) contains which of the following elements?","\(\{1, 2\}\)",\(1\),"\(\{1, 2, 4\}\)","\(\{1, 2\}\)",\(\{4\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
How many elements does the power set of a set with 4 elements have?,16,8,16,4,12,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which of the following is a subset of \(A = \{2, 3, 5, 7, 14\}\) but not an element of \(A\)?","\(\{3, 5\}\)",2,"\(\{3, 5\}\)",7,14,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"If \(|A| = n\), what is the formula for the cardinality of the power set \(P(A)\)?",\(2^n\),\(n^2\),\(2n\),\(2^n\),\(n!\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is true about the empty set \(\emptyset\) and the set \(\{\emptyset\}\)?,\(\emptyset \in \{\emptyset\}\),\(\emptyset \in \{\emptyset\}\),\(\emptyset = \{\emptyset\}\),\(\emptyset \subseteq \emptyset\),\(\emptyset \in \emptyset\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass
"For \(A = \{a, b, c, d\}\), which of the following sets belongs to the power set \(P(A)\)?","\(\{a, b\}\)","\(\{a, e\}\)","\(\{a, b\}\)","\(\{a, b, e\}\)",\(\{e\}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The set \(A = \{ \{1, 2\}, 1, 2, \{1, 2, 3\} \}\) has cardinality _____.",4,2,3,4,5,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(A = \{1, 2, 3\}\), which condition means \( \{1, 2\} \in P(A) \)?","\(\{1, 2\} \subseteq A\)",\(1 \in P(A)\),"\(\{1, 2\} \subseteq A\)",\(1 \subseteq A\),"\(\{1, 2\} \notin A\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
The power set \(P(A)\) contains _____.,all subsets of \(A\),all elements of \(A\),all subsets of \(A\),only sets with one element of \(A\),only elements not in \(A\),,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which of the following is an element of the set \(A = \{3, 4, \{3,4\}, 5\}\)?",3,3,\(\{3\}\),"\(\{4, 5\}\)","\(\{3, 4, 5\}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
