text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What type of error occurs when code violates language syntax rules?,Syntax error,Runtime error,Logic error,Syntax error,Name error,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A runtime error occurs when the program _____.,executes an impossible operation,has incorrect indentation,executes an impossible operation,has a typo in code syntax,produces unexpected output,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Logic errors differ from syntax errors because logic errors _____.,produce incorrect results without crashing,cause the program to crash immediately,are detected before running the program,produce incorrect results without crashing,result from missing punctuation,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is a good coding practice to reduce syntax errors?,Run code frequently after writing a few lines,Write the entire program then run it once,Run code frequently after writing a few lines,Avoid using comments in code,Only test the program after all code is written,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
What type of error stops a program due to invalid code structure before running?,Syntax error,Runtime error,Logic error,Syntax error,Type error,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A program crashes when converting text to int because of a _____ error.,Runtime,Syntax,Runtime,Logic,Indentation,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
A logic error occurs when a program _____.,runs but produces incorrect results,contains invalid syntax,crashes during execution,runs but produces incorrect results,uses undeclared variables,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is a recommended coding practice to reduce many syntax errors?,Run code frequently after a few lines,Write the entire program before running,Run code frequently after a few lines,Ignore error messages until the end,Use only one line of code per program,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
What type of error occurs when code violates programming language syntax rules?,Syntax error,Runtime error,Logic error,Syntax error,Type error,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A program crashes during execution due to dividing by zero. This is an example of a _____ error.,Runtime,Logic,Syntax,Runtime,Indentation,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which error type indicates a program uses a variable that was never defined?,NameError,ValueError,NameError,SyntaxError,TypeError,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is a recommended coding practice to reduce frustration from many syntax errors?,Run and test code frequently after a few lines,Write all code before running,Run and test code frequently after a few lines,Avoid comments in code,Use only one data type throughout the program,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
What type of error occurs when code violates programming language rules?,Syntax error,Runtime error,Logic error,Syntax error,NameError,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"A program crashes because int(""Hello"") was called. What error type is this?",ValueError,SyntaxError,ValueError,TypeError,IndentationError,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should programmers run and test code frequently during development?,To identify and fix errors early,To skip debugging,To write more lines before fixing errors,To identify and fix errors early,To avoid runtime errors only,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A program runs without crashing but gives wrong output. This is a/an _____ error.,Logic,Syntax,Runtime,Logic,Value,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
