text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Data science primarily focuses on _____ to discover patterns and relationships.,analyzing data,designing websites,coding software,analyzing data,protecting systems from hackers,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The term ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which method discipline includes clustering and decision trees?,machine learning,statistics,computer science,artificial intelligence,machine learning,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main focus of data science as a field?,Discovering patterns and relationships using data,Designing software and websites,Discovering patterns and relationships using data,Creating new computer hardware,Developing encryption protocols,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The phrase ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which method is primarily associated with artificial intelligence in data science?,Neural networks,Hypothesis testing,Clustering,Neural networks,Confidence intervals,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data science is best described as a/an _____ field that uses data to discover patterns.,interdisciplinary,isolated,interdisciplinary,theoretical,hardware-focused,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The phrase ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which discipline focuses on designing experiments and deriving new models to analyze data?,Statistics,Computer science,Statistics,Data science,Artificial intelligence,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data science is an interdisciplinary field focused on _____.,discovering patterns and relationships using data,designing software applications,discovering patterns and relationships using data,protecting computer systems from hackers,conducting physical experiments in labs,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The phrase ""data science"" was first introduced in the _____.",1970s,1950s,1960s,1970s,1990s,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which discipline primarily designs experiments and derives new models for data analysis?,Statistics,Computer science,Data science,Statistics,Artificial intelligence,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
