=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,1
3,4,0,1
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,16
1,3,1,3,16
1,4,1,1,16
2,3,2,2,16
2,4,1,2,16
3,4,0,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),6
Similar (70-85%),14

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,Which is a reason to avoid names starting and ending with double underscores?,1,3,q3,Which is a reason to avoid names starting and ending with double underscores?,3,3,0.929,duplicate
q1,Why must a Python identifier start with a letter or underscore?,2,1,q1,Why must Python identifiers start with a letter or underscore?,3,1,0.928,duplicate
q4,A good variable name for storing temperature in Celsius is _____.,2,4,q4,Which of the following is a good variable name for storing temperature in Celsius?,4,4,0.921,duplicate
q3,Which is a key reason to avoid names starting and ending with double underscores?,2,3,q3,Which is a reason to avoid names starting and ending with double underscores?,3,3,0.899,duplicate
q3,Which is a reason to avoid names starting and ending with double underscores?,1,3,q3,Which is a key reason to avoid names starting and ending with double underscores?,2,3,0.893,duplicate
q1,What must an identifier start with in Python?,1,1,q1,What is the first character allowed in a Python identifier?,4,1,0.877,duplicate
q3,Which is a reason to avoid names starting and ending with double underscores?,1,3,q2,Why should variable names avoid starting and ending with double underscores?,4,2,0.818,similar
q4,A good variable name should be _____ and use _____ between words.,1,4,q4,A good variable name should be _____.,3,4,0.812,similar
q3,Which is a reason to avoid names starting and ending with double underscores?,3,3,q2,Why should variable names avoid starting and ending with double underscores?,4,2,0.809,similar
q3,Which is a key reason to avoid names starting and ending with double underscores?,2,3,q2,Why should variable names avoid starting and ending with double underscores?,4,2,0.793,similar
q2,Which describes Python’s treatment of uppercase and lowercase letters in identifiers?,1,2,q2,What does it mean that Python identifiers are case sensitive?,3,2,0.791,similar
q1,What must an identifier start with in Python?,1,1,q1,Why must a Python identifier start with a letter or underscore?,2,1,0.774,similar
q1,What must an identifier start with in Python?,1,1,q1,Why must Python identifiers start with a letter or underscore?,3,1,0.762,similar
q3,Which is a key reason to avoid names starting and ending with double underscores?,2,3,q1,Why must Python identifiers start with a letter or underscore?,3,1,0.756,similar
q1,Why must Python identifiers start with a letter or underscore?,3,1,q3,Which is a reason to avoid names starting and ending with double underscores?,3,3,0.74,similar
q1,Why must a Python identifier start with a letter or underscore?,2,1,q3,Which is a reason to avoid names starting and ending with double underscores?,3,3,0.739,similar
q1,Why must a Python identifier start with a letter or underscore?,2,1,q3,Which is a key reason to avoid names starting and ending with double underscores?,2,3,0.734,similar
q1,Why must a Python identifier start with a letter or underscore?,2,1,q1,What is the first character allowed in a Python identifier?,4,1,0.719,similar
q1,Why must Python identifiers start with a letter or underscore?,3,1,q1,What is the first character allowed in a Python identifier?,4,1,0.707,similar
q3,Which is a reason to avoid names starting and ending with double underscores?,1,3,q1,Why must a Python identifier start with a letter or underscore?,2,1,0.7,similar
q3,Which is a reason to avoid names starting and ending with double underscores?,1,3,q1,Why must Python identifiers start with a letter or underscore?,3,1,0.697,low
q1,Why must a Python identifier start with a letter or underscore?,2,1,q2,What does it mean that Python identifiers are case sensitive?,3,2,0.692,low
q2,Which describes Python’s treatment of uppercase and lowercase letters in identifiers?,1,2,q1,Why must a Python identifier start with a letter or underscore?,2,1,0.667,low
q1,Why must Python identifiers start with a letter or underscore?,3,1,q2,What does it mean that Python identifiers are case sensitive?,3,2,0.661,low
q2,"How does Python treat the identifiers ""Cat"" and ""cat""?",2,2,q2,What does it mean that Python identifiers are case sensitive?,3,2,0.646,low
