text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
The intersection \(A \cap B\) contains elements that are _____.,in both \(A\) and \(B\),in \(A\) or \(B\),only in \(A\),in both \(A\) and \(B\),only in \(B\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(A = \{2,4,6\}\) and \(B = \{3,6,9\}\), then \(A \cap B = \{ \; \; \; \; \; \}\).",6,"2, 3",6,"4, 9","2, 9",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The union \(A \cup B\) includes elements that are _____.,in \(A\) or \(B\) or both,in \(A\) and \(B\),in \(A\) or \(B\) or both,only in \(A\),only in \(B\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For sets \(A\) and \(B\), what does \(A \cup B\) represent?",Elements in \(A\) or \(B\) or both,Elements in both \(A\) and \(B\),Elements in \(A\) or \(B\) or both,Elements only in \(A\),Elements only in \(B\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The set \( \bigcap_{i=1}^n A_i \) denotes the intersection of _____.,all sets \(A_i\) for \(i=1\) to \(n\),some of the sets \(A_i\),all sets \(A_i\) for \(i=1\) to \(n\),none of the sets \(A_i\),only the first and last set,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which is true about \(A \cup (B \cap C)\) compared to \((A \cup B) \cap C\)?,They can be different sets,Both sets are always equal,They can be different sets,Both equal \(A \cap B \cap C\),Both equal \(A \cup B \cup C\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(A = \{1,2,3\}\), \(B = \{3,4,5\}\), and \(C = \{2,3,6\}\), what is \(A \cup (B \cap C)\)?","\(\{1,2,3,4,5\}\)","\(\{1,2,3,4,5,6\}\)","\(\{1,2,3,6\}\)","\(\{1,2,3,4,5\}\)","\(\{2,3\}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The associative law for union states that \(A \cup B \cup C\) means:,Order of union operations does not matter,Union evaluated left to right only,Union evaluated right to left only,Order of union operations does not matter,Only unions of two sets are allowed,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a Venn diagram, the shaded area for \(A \cap B\) is the region where:",Circles \(A\) and \(B\) overlap,Only \(A\) is shaded,Only \(B\) is shaded,Circles \(A\) and \(B\) overlap,Circles \(A\) and \(C\) overlap,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The set \(A \cap B\) contains elements that are in _____.,both \(A\) and \(B\),either \(A\) or \(B\),"only \(A\), not \(B\)",both \(A\) and \(B\),neither \(A\) nor \(B\),,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The union \(A \cup B\) includes _____.,elements in \(A\) or \(B\) or both,elements in both \(A\) and \(B\) only,elements in \(A\) or \(B\) or both,elements only in \(A\),elements only in \(B\),,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"If \(A\) is all multiples of 2, and \(B\) all multiples of 3, \(A \cap B\) is the set of multiples of _____.",6,5,6,1,3,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The associative law for union means \(A \cup (B \cup C)\) equals _____.,\((A \cup B) \cup C\),\((A \cup B) \cup C\),\(A \cap (B \cup C)\),\((A \cap B) \cup C\),\(A \cap (B \cap C)\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The expression \(\bigcap_{i=1}^n A_i\) means the set of elements that are in _____.,every \(A_i\),at least one \(A_i\),none of the \(A_i\),every \(A_i\),some but not all \(A_i\),,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____.,some or all of the \(A_i\),all \(A_i\),none of the \(A_i\),some or all of the \(A_i\),exactly one \(A_i\),,,,,,,Pass,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"Consider sets \(A = \{1,2,4\}\), \(B = \{2,4,7\}\), and \(C = \{2,3,5\}\). The set \(A \cup (B \cap C)\) contains which element(s)?","\(\{1,2,4,3\}\)","\(\{1,2,3,4,5,7\}\)","\(\{1,2,4,5\}\)","\(\{1,2,4,3\}\)","\(\{2,4,5\}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
The union \(A \cup B\) of finite sets is always _____.,finite,finite,infinite,empty,equal to the intersection \(A \cap B\),,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which statement best describes the difference between union and intersection?,Union includes elements in either set; intersection includes elements common to both sets.,Union requires elements to be in both sets; intersection requires elements in one set.,Union includes elements in either set; intersection includes elements common to both sets.,Union and intersection always produce the same set.,Union excludes elements common to both sets; intersection includes all elements.,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The intersection \(A \cap B\) consists of elements that are in _____.,both \(A\) and \(B\),\(A\) or \(B\),neither \(A\) nor \(B\),both \(A\) and \(B\),\(A\) but not \(B\),,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The union \(A \cup B\) contains all elements that are in _____.,\(A\) or \(B\) or both,\(A\) and \(B\),\(A\) or \(B\) or both,neither \(A\) nor \(B\),\(A\) only,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
"If \(A\) = multiples of 2 and \(B\) = multiples of 3, then \(A \cap B\) is multiples of _____.",6,5,6,1,2,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,the order of operations changes the result,union and intersection are associative,the order of operations changes the result,both are always equal,parentheses do not affect set operations,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
