=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,1,11
2,10,0,12
3,10,0,13
4,10,0,18

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,6,29,100
1,3,4,30,100
1,4,4,34,100
2,3,3,31,100
2,4,7,35,100
3,4,3,34,100

Summary
Total Comparisons,780
Duplicates (≥85%),28
Similar (70-85%),247

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q6,"Using the laws of logic, \(\neg (p \rightarrow q)\) is equivalent to _____.",1,6,q9,"Using the laws of propositional logic, \(\neg (p \rightarrow q)\) is equivalent to _____.",4,9,0.961,duplicate
q1,Which law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,1,1,q1,What law allows replacing \(p \rightarrow q\) with \(\neg p \lor q\)?,3,1,0.955,duplicate
q10,What law justifies that \(p \lor \text{F} \equiv p\)?,1,10,q10,Which law justifies that \(p \land \text{F} \equiv \text{F}\)?,3,10,0.95,duplicate
q10,What law justifies that \(p \lor \text{F} \equiv p\)?,1,10,q6,The law that states \(p \lor \text{F} \equiv p\) is the _____.,2,6,0.935,duplicate
q7,What is the contrapositive of \(p \rightarrow q\)?,1,7,q5,What is the logical equivalence of the contrapositive of \(p \rightarrow q\)?,2,5,0.922,duplicate
q3,Which law states \(p \lor p \equiv p\)?,1,3,q10,What law justifies that \(p \lor \text{F} \equiv p\)?,1,10,0.917,duplicate
q4,Which law justifies rewriting \((p \lor q) \land (p \lor r)\) as \(p \lor (q \land r)\)?,2,4,q3,Which law justifies rewriting \((p \land q) \land r\) as \(p \land (q \land r)\)?,4,3,0.914,duplicate
q2,Which law allows substitution of \(\neg (p \lor q)\) with \(\neg p \land \neg q\)?,2,2,q1,What law allows replacing \(p \rightarrow q\) with \(\neg p \lor q\)?,3,1,0.913,duplicate
q1,Which law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,1,1,q2,Which law allows substitution of \(\neg (p \lor q)\) with \(\neg p \land \neg q\)?,2,2,0.91,duplicate
q6,The law that states \(p \lor \text{F} \equiv p\) is the _____.,2,6,q10,Which law justifies that \(p \land \text{F} \equiv \text{F}\)?,3,10,0.906,duplicate
