=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,0
2,8,0,4
3,8,0,1
4,8,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,6,64
1,3,1,9,64
1,4,2,4,64
2,3,1,6,64
2,4,2,11,64
3,4,2,9,64

Summary
Total Comparisons,496
Duplicates (≥85%),9
Similar (70-85%),51

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q6,"Which statement is true about the set \(A = \{3, 4, \{3, 4\}\}\)?",2,6,q2,"Which statement is true about set \(A = \{ 3, 4, \{3, 4\}, \{1, 2, 3\}, 5 \}\)?",3,2,0.94,duplicate
q6,The power set \(P(A)\) contains _____.,1,6,q3,The power set \(P(A)\) contains _____.,4,3,0.936,duplicate
q4,The power set \(P(A)\) contains _____.,2,4,q3,The power set \(P(A)\) contains _____.,4,3,0.936,duplicate
q6,The power set \(P(A)\) contains _____.,1,6,q4,The power set \(P(A)\) contains _____.,2,4,0.912,duplicate
q6,"If \(|A| = n\), what is the formula for the cardinality of the power set \(P(A)\)?",3,6,q5,"For any finite set \(A\) with \(|A|=n\), the cardinality of its power set \(P(A)\) is _____.",4,5,0.886,duplicate
q1,"What is the cardinality of the set \(A = \{ \{1, 2\}, 1, 2, \{1, 2, 3\} \}\)?",3,1,q1,"The set \(A = \{ \{1, 2\}, 1, 2, \{1, 2, 3\} \}\) has cardinality _____.",4,1,0.877,duplicate
q5,"Given \(A = \{1, \{1\}, 2\}\), which is true?",1,5,q6,"Given \(X = \{1, \{1\}, 2\}\), which is true?",4,6,0.87,duplicate
q8,The cardinality of the power set of a set with \(n\) elements is _____.,2,8,q5,"For any finite set \(A\) with \(|A|=n\), the cardinality of its power set \(P(A)\) is _____.",4,5,0.86,duplicate
q7,"If \(|A| = n\), then \(|P(A)| = _____\).",1,7,q6,"If \(|A| = n\), what is the formula for the cardinality of the power set \(P(A)\)?",3,6,0.852,duplicate
q4,"Which is a subset of \(A = \{2,3,5\}\) but not an element of \(A\)?",1,4,q5,"Which of the following is a subset of \(A = \{2, 3, 5, 7, 14\}\) but not an element of \(A\)?",3,5,0.845,similar
q7,"Given \(A = \{1, 2, 3\}\), which is NOT an element of \(P(A)\)?",2,7,q8,"If \(A = \{a, b\}\), which is NOT in \(P(A)\)?",4,8,0.837,similar
q2,"Which is an element of the set \(A = \{ \{1, 2\}, \emptyset, \{1\} \}\)?",2,2,q4,"Which of the following is an element of the set \(A = \{3, 4, \{3,4\}, 5\}\)?",4,4,0.836,similar
q8,The cardinality of the power set of a set with \(n\) elements is _____.,2,8,q6,"If \(|A| = n\), what is the formula for the cardinality of the power set \(P(A)\)?",3,6,0.819,similar
q5,"Given \(A = \{1, \{1\}, 2\}\), which is true?",1,5,q2,"Which statement is true about set \(A = \{ 3, 4, \{3, 4\}, \{1, 2, 3\}, 5 \}\)?",3,2,0.815,similar
q2,"Which is an element of the set \(A = \{ \{1, 2\}, \emptyset, \{1\} \}\)?",2,2,q7,"Given \(A = \{1, 2, 3\}\), which is NOT an element of \(P(A)\)?",2,7,0.815,similar
q2,"Which statement is true about set \(A = \{ 3, 4, \{3, 4\}, \{1, 2, 3\}, 5 \}\)?",3,2,q4,"Which of the following is an element of the set \(A = \{3, 4, \{3,4\}, 5\}\)?",4,4,0.812,similar
