text,answer,a,b,c,d,e,f,g,h,hint,feedback
What type of dirty data is a numeric value far from the mean called?,Outlier data,Missing data,Duplicate data,Outlier data,Inapplicable data,,,,,,
Which technique removes entire rows with missing values?,Discarding instances,Pairwise discarding,Discarding instances,Discarding features,Imputing data,,,,,,
Which pandas method replaces missing values with specified values?,df.fillna(),df.drop_duplicates(),df.fillna(),df.dropna(),df.replace(),,,,,,
What is the main disadvantage of pairwise discarding?,It causes varying instance counts across analyses,It removes entire features,It introduces bias,It causes varying instance counts across analyses,It duplicates data,,,,,,
What imputation method replaces missing data with the average of the feature?,Mean imputation,Hot-deck imputation,Cold-deck imputation,Regression imputation,Mean imputation,,,,,,
What term describes data values that are much larger or smaller than most values in a feature?,Outlier data,Missing data,Duplicate data,Outlier data,Imputed data,,,,,,
Why should duplicate instances usually be discarded from a dataset?,They cause bias by weighting repeated values too heavily,They reduce dataset size unnecessarily,They cause bias by weighting repeated values too heavily,They remove important features,They increase missing data,,,,,,
When is discarding instances a suitable method to handle dirty data?,"When dirty instances comprise a small, random percentage of the dataset",When dirty instances affect more than 60% of features,When dirty instances are correlated with other features,"When dirty instances comprise a small, random percentage of the dataset",When features contain many missing values,,,,,,
"Fill in the blank: _____ imputation replaces missing values with the mean of a feature, excluding missing and outlier values.",Mean,Hot-deck,Regression,Mean,Cold-deck,,,,,,
"In pandas, which method removes duplicate rows from a DataFrame?",df.drop_duplicates(),df.drop(),df.dropna(),df.drop_duplicates(),df.fillna(),,,,,,
What type of dirty data is a missing value represented as a blank or NaN?,Missing data,Outlier,Duplicate,Missing data,Invalid data,,,,,,
Why should outlier data typically be removed or corrected in a dataset?,They cause bias and skew analysis results,They decrease the number of instances,They cause bias and skew analysis results,They reduce data storage requirements,They are harder to identify than duplicates,,,,,,
When is discarding an entire feature recommended in data cleaning?,When the feature has 60% or more missing values,When the feature contains many duplicate values,When the feature has 60% or more missing values,When the feature has a few outlier values,When the feature has correlated instances,,,,,,
How does pairwise discarding handle dirty data during analysis?,Retains dirty instances for some analyses and discards only when a dirty feature is used,Discards all dirty instances regardless of analysis,Retains dirty instances for some analyses and discards only when a dirty feature is used,Removes dirty features from the dataset entirely,Replaces missing values with mean values,,,,,,
Which pandas method replaces missing values with a specified value?,fillna(),drop_duplicates(),dropna(),fillna(),duplicated(),,,,,,
What term describes data values that are much larger or smaller than most in the same feature?,Outlier data,Duplicate data,Missing data,Outlier data,Dirty instance,,,,,,
"Dirty data includes missing, outlier, and _____ data.",Duplicate,Corrupted,Duplicate,Normal,Imputed,,,,,,
When should discarding dirty instances be avoided?,When dirty instances correlate with other features,When dirty instances are random,When duplicates are present,When dirty instances correlate with other features,When dirty instances are a small dataset percentage,,,,,,
What is the effect of pairwise discarding on dataset analysis?,It causes varying instance counts per analysis,It simplifies data comparison,It discards features with any missing values,It causes varying instance counts per analysis,It removes all duplicates from the dataset,,,,,,
Which pandas method replaces missing values with a specified value?,fillna(),drop_duplicates(),fillna(),dropna(),duplicated(),,,,,,
