text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Which data type stores a single character value like 'm'?,char,int,float,char,string,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the escape sequence '\n' represent in output?,newline character,tab character,single quote,newline character,backslash,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does the compiler treat System.out.print(let1 + let2) if let1 and let2 are chars?,Outputs the sum of their ASCII values,Outputs concatenated characters,Outputs the sum of their ASCII values,Outputs both characters separated by a space,Causes a compiler error,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The ASCII code 97 corresponds to which character?,'a','A','a','0','Z',,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A _char_ variable stores _____.,a number representing a character,a string of characters,a number representing a character,multiple letters,only numeric digits,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In Java, to read a single character from input, use _____.",scnr.next().charAt(0),scnr.nextChar(),scnr.charAt(0),scnr.next().charAt(0),scnr.getChar(),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"Why does System.out.print("""" + c1 + c2) output characters, not their sum?",""""" converts output to a string, concatenating characters",""""" converts output to a string, concatenating characters",It automatically converts characters to numbers,It adds ASCII values before printing,It prints only the first character,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The escape sequence for a tab character is _____.,\t,\t,\n,\',\\,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A char variable stores a single _____.,character,string,integer,character,boolean,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the escape sequence \n represent in output?,newline character,tab character,newline character,backslash character,double quote character,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In ASCII, the character 'A' is stored as the number _____.",65,97,65,48,32,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To output multiple char variables as characters in one statement, start the print with _____.",""""" +","+ """"","""""",""""" +",' ' +,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
A _char_ variable stores a/an _____ internally.,integer corresponding to a character,string,floating-point number,integer corresponding to a character,Boolean value,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which escape sequence represents a tab character in output?,\t,\n,\t,\',\\,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What does the statement System.out.print("""" + c1 + c2); do in Java when c1 and c2 are chars?",Prints the two chars concatenated as a string,Adds ASCII values of c1 and c2 and prints sum,Prints the two chars concatenated as a string,Causes a compile error,Prints only the first character,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ASCII encoding uses exactly _____ bits to represent characters.,8,7,8,16,32,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
