text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Why are tuples used instead of lists in Python?,They provide immutable sequences for fixed data.,They allow adding and removing elements easily.,They are unordered collections of elements.,They provide immutable sequences for fixed data.,They allow duplicate elements to be stored.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which container type in Python is unordered and unindexed?,Set,List,Tuple,Set,Dictionary,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does a dictionary access its elements?,By unique keys of any immutable type.,By integer indices starting at 0.,By unique keys of any immutable type.,By position using negative indexing.,By order of insertion only.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which container type allows changing individual elements after creation?,List,Tuple,Set,Dictionary,List,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A dictionary element is removed using the statement _____.,"del dict[""key""]",dict.pop(0),"del dict[""key""]","dict.remove(""key"")","dict.delete(""key"")",,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is a tuple used instead of a list in Python?,Because tuples are immutable and prevent element modification,Because tuples allow elements to be changed after creation,Because tuples can contain duplicate values,Because tuples are immutable and prevent element modification,Because tuples are unordered collections,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which container type in Python is ordered, indexed, and mutable?",List,Tuple,Set,List,Dictionary,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does a Python set differ from a list regarding element order and duplicates?,Sets are unordered and disallow duplicates,Sets are ordered and allow duplicates,Sets are unordered and disallow duplicates,Sets are indexed and allow duplicates,Sets maintain insertion order and allow duplicates,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"In a Python dictionary, what is used to access a value?",A unique key,An integer index,A unique key,The element's position,A numeric index starting at zero,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,"ordered, mutable","unordered, immutable","ordered, mutable","unordered, mutable","ordered, immutable",,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
"Which container type in Python is ordered, indexed, and immutable?",tuple,list,dictionary,tuple,set,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why does a set not support indexing or ordering of elements?,Because it is unordered and unindexed,Because it is mutable,Because elements must be unique,Because it is unordered and unindexed,Because it uses key-value pairs,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can a new key-value pair be added to a Python dictionary?,Using dictionary[key] = value,"Using dictionary.append(key, value)",Using dictionary[key] = value,"Using dictionary.add(key, value)","Using dictionary.insert(key, value)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens when two lists are concatenated with the + operator in Python?,A new list with elements of both lists combined,A new list with elements of both lists combined,The second list replaces the first list,An error occurs because lists cannot be added,The first list is duplicated,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"A Python list is _____, meaning elements can be changed after creation.",mutable,indexed only,immutable,mutable,unordered,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which container type is ordered, indexed, and mutable in Python?",list,tuple,set,list,dictionary,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A tuple differs from a list because it is _____.,immutable,unordered,mutable,indexed,immutable,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which container type allows elements to be accessed using keys instead of integer indices?,dictionary,list,dictionary,tuple,set,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
