text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the Python interpreter do?,Executes code written in Python,Translates code into human language,Edits code for syntax errors,Executes code written in Python,Stores code files permanently,,,,,,
The interactive interpreter is best described as a tool that _____.,executes one line of code at a time,runs an entire program at once,executes one line of code at a time,automatically writes code for the user,compiles Python code into machine code,,,,,,
"In Python, a variable is used to _____.",store a value for later use,perform calculations automatically,store a value for later use,display output on the screen,comment on the code for readers,,,,,,
What is the role of the print() function in Python?,To display variables or expressions,To assign values to variables,To execute arithmetic operations,To display variables or expressions,To mark comments in code,,,,,,
What is the primary role of the Python interpreter?,To execute Python code,To edit Python code files,To execute Python code,To compile Python into machine code,To format Python code,,,,,,
"In Python, what does a variable do?",Stores a value for later use,Executes a program instruction,Displays output on the screen,Stores a value for later use,Adds comments to code,,,,,,
What indicates the Python interactive interpreter is ready to accept code?,"The prompt "">>>""","The word ""Ready""","The prompt "">>>""",The print() function,A blinking cursor only,,,,,,
What is an expression in Python?,A piece of code that evaluates to a value,A line of text that performs an action,A piece of code that evaluates to a value,A comment explaining the code,A function that prints output,,,,,,
What does the Python interpreter do?,Executes code written in the Python programming language,Converts Python code into machine language for the CPU,Executes code written in the Python programming language,Edits Python code for syntax errors,Displays graphical output from Python programs,,,,,,
The interactive interpreter allows the user to _____.,execute one line of code at a time,execute an entire program file at once,execute one line of code at a time,write comments that the interpreter runs,automatically save code to a file,,,,,,
"In Python, a variable is used to _____.",store a value for later use,perform calculations automatically,store a value for later use,display output on the screen,indicate a comment in code,,,,,,
What is the main advantage of writing Python code in a file instead of the interactive interpreter?,Files can be saved and executed repeatedly,Files allow code to run faster,Files can be saved and executed repeatedly,Files automatically include comments,"Files show the prompt symbol "">>>""",,,,,,
What does the Python interpreter do?,Executes code written in Python,Translates Python code into machine language,Executes code written in Python,Provides a graphical user interface for coding,Compiles Python code into an executable file,,,,,,
"The interactive interpreter prompt "">>>>"" indicates _____.",the interpreter is ready to accept code,an error in the code,the interpreter is ready to accept code,the program has finished running,a comment line in the code,,,,,,
"In Python, a variable stores _____.",a value for later use,a function definition,a value for later use,a code comment,an error message,,,,,,
What is the role of the print() function in Python?,To display output on the screen,To assign values to variables,To display output on the screen,To comment the code for readability,To perform arithmetic calculations,,,,,,
