=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,2,9
1,3,1,0,9
1,4,1,1,9
2,3,0,2,9
2,4,1,2,9
3,4,1,1,9

Summary
Total Comparisons,66
Duplicates (≥85%),4
Similar (70-85%),8

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which discipline primarily designs experiments and derives new models?,1,2,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.989,duplicate
q2,Which discipline primarily designs experiments and derives new models?,1,2,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.976,duplicate
q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.972,duplicate
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.969,duplicate
q1,"When was the term ""data science"" first introduced?",1,1,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.846,similar
q1,Data science is best defined as a field that _____.,2,1,q1,Data science is best described as a field focused on _____.,4,1,0.837,similar
q1,"When was the term ""data science"" first introduced?",1,1,q2,"The phrase ""data science"" was first introduced in the _____.",2,2,0.829,similar
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,q1,Data science is best described as a field focused on _____.,4,1,0.786,similar
q1,Data science is best defined as a field that _____.,2,1,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.768,similar
q2,Which discipline primarily designs experiments and derives new models?,1,2,q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,0.721,similar
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.719,similar
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.714,similar
q3,When did businesses first begin using data science to analyze customer behavior?,3,3,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.678,low
q1,"When was the term ""data science"" first introduced?",1,1,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.674,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.67,low
q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,q1,Data science is best described as a field focused on _____.,4,1,0.638,low
q1,Data science is best described as a field focused on _____.,4,1,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.63,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q1,Data science is best described as a field focused on _____.,4,1,0.626,low
q1,Data science is best defined as a field that _____.,2,1,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.59,low
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.578,low
q1,Data science is best defined as a field that _____.,2,1,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.577,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q1,Data science is best defined as a field that _____.,2,1,0.571,low
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.563,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.559,low
q1,"When was the term ""data science"" first introduced?",1,1,q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,0.513,low
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q1,Data science is best described as a field focused on _____.,4,1,0.508,low
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.501,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q2,"The phrase ""data science"" was first introduced in the _____.",2,2,0.495,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.482,low
q1,"When was the term ""data science"" first introduced?",1,1,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.474,low
q1,"When was the term ""data science"" first introduced?",1,1,q1,Data science is best described as a field focused on _____.,4,1,0.47,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q1,Data science is best described as a field focused on _____.,4,1,0.47,low
q1,"When was the term ""data science"" first introduced?",1,1,q2,Which discipline primarily designs experiments and derives new models?,1,2,0.467,low
q1,Data science is best described as a field focused on _____.,4,1,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.463,low
q3,When did businesses first begin using data science to analyze customer behavior?,3,3,q1,Data science is best described as a field focused on _____.,4,1,0.461,low
q1,"When was the term ""data science"" first introduced?",1,1,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.46,low
q1,Data science is best defined as a field that _____.,2,1,q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,0.459,low
q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.458,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.453,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q1,Data science is best described as a field focused on _____.,4,1,0.452,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.445,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.444,low
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.442,low
q1,"When was the term ""data science"" first introduced?",1,1,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.438,low
q1,"When was the term ""data science"" first introduced?",1,1,q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,0.437,low
q3,When did businesses first begin using data science to analyze customer behavior?,3,3,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.434,low
q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.427,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.422,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.419,low
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.417,low
q1,"When was the term ""data science"" first introduced?",1,1,q1,Data science is best defined as a field that _____.,2,1,0.415,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q2,"The phrase ""data science"" was first introduced in the _____.",2,2,0.414,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,0.407,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,2,0.402,low
q2,Which discipline primarily designs experiments and derives new models?,1,2,q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,0.4,low
q1,Data science is best defined as a field that _____.,2,1,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.4,low
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.398,low
q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,q3,"The term ""data science"" was first introduced in the _____.",4,3,0.396,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,3,0.395,low
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.394,low
q1,Data science is best defined as a field that _____.,2,1,q2,"The phrase ""data science"" was first introduced in the _____.",2,2,0.393,low
q1,Data science is best defined as a field that _____.,2,1,q3,When did businesses first begin using data science to analyze customer behavior?,3,3,0.392,low
q2,"The phrase ""data science"" was first introduced in the _____.",2,2,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.388,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,1,0.385,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,2,0.378,low
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,3,q1,Data science is best defined as a field that _____.,2,1,0.356,low


=== LEARNING OBJECTIVE ALIGNMENT ===

Inferred Learning Objectives:
"Define data science and explain its interdisciplinary nature involving computer science and statistics.  
Compare and contrast the roles and tasks of data scientists, computer scientists, and statisticians.  
Identify key historical milestones and developments in the evolution of data science from the 1960s to the present.  
Describe the emergence and impact of programming languages and tools that advanced data science.  
Recognize current methods and future directions in data science, including statistics, machine learning, and artificial intelligence."

Question Alignment Analysis
Question ID,Question Text,Run Number,Aligned (Yes/No),Explanation
q1,"When was the term ""data science"" first introduced?",1,error,Could not parse response
q2,Which discipline primarily designs experiments and derives new models?,1,error,Could not parse response
q3,What caused Python and R to increase data science accessibility in the 1990s?,1,error,Could not parse response
q1,Data science is best defined as a field that _____.,2,error,Could not parse response
q2,"The phrase ""data science"" was first introduced in the _____.",2,error,Could not parse response
q3,Which method discipline originally includes hypothesis testing and confidence intervals?,2,error,Could not parse response
q1,Data science is best defined as a/an _____ field focused on discovering patterns using data.,3,error,Could not parse response
q2,Which discipline primarily designs experiments and derives new models for analyzing data?,3,error,Could not parse response
q3,When did businesses first begin using data science to analyze customer behavior?,3,error,Could not parse response
q1,Data science is best described as a field focused on _____.,4,error,Could not parse response
q2,Which discipline primarily focuses on designing experiments and deriving new models?,4,error,Could not parse response
q3,"The term ""data science"" was first introduced in the _____.",4,error,Could not parse response
