text,answer,a,b,c,d,e,f,g,h,hint,feedback
The intersection \(A \cap B\) consists of elements that are in _____.,both \(A\) and \(B\),\(A\) or \(B\),neither \(A\) nor \(B\),both \(A\) and \(B\),\(A\) but not \(B\),,,,,,
The union \(A \cup B\) contains all elements that are in _____.,\(A\) or \(B\) or both,\(A\) and \(B\),\(A\) or \(B\) or both,neither \(A\) nor \(B\),\(A\) only,,,,,,
"If \(A\) = multiples of 2 and \(B\) = multiples of 3, then \(A \cap B\) is multiples of _____.",6,5,6,1,2,,,,,,
The expression \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because _____.,the order of operations changes the result,union and intersection are associative,the order of operations changes the result,both are always equal,parentheses do not affect set operations,,,,,,
"The notation \(\bigcap_{i=1}^n A_i\) means the _____ of sets \(A_1, A_2, \ldots, A_n\).",intersection,union,complement,intersection,difference,,,,,,
The union \(\bigcup_{i=1}^n A_i\) contains elements that are in _____ of the sets \(A_i\).,at least one set,every set,none of the sets,at least one set,only the first set,,,,,,
"The set \(C \cup D\), where \(C\) is evens and \(D\) is odds, equals _____.",all integers,empty set,even numbers only,odd numbers only,all integers,,,,,,
Which set operation is used to find elements common to all sets in a sequence?,intersection,union,intersection,difference,complement,,,,,,
A Venn diagram shading the overlap of two sets represents the _____.,intersection,union,difference,intersection,complement,,,,,,
The intersection \(A \cap B\) contains elements that are in _____ sets.,both \(A\) and \(B\),either \(A\) or \(B\),only \(A\),both \(A\) and \(B\),neither \(A\) nor \(B\),,,,,,
The union \(A \cup B\) includes all elements that are in _____.,either \(A\) or \(B\) or both,both \(A\) and \(B\),either \(A\) or \(B\) or both,only \(A\),only \(B\),,,,,,
"For infinite sets, the intersection of multiples of 2 and multiples of 3 is the set of multiples of _____.",6,2,3,6,1,,,,,,
"Which notation represents the union of a sequence of sets \(A_1, A_2, \ldots, A_n\)?",\(\bigcup_{i=1}^n A_i\),\(\bigcap_{i=1}^n A_i\),\(\bigcup_{i=1}^n A_i\),\(A_1 \cap A_2 \cap \cdots \cap A_n\),\(A_1 \setminus A_2\),,,,,,
The set \(A \cup (B \cap C)\) differs from \((A \cup B) \cap C\) because:,parentheses change the order of operations,union and intersection are commutative,parentheses change the order of operations,both sets are always equal,parentheses have no effect here,,,,,,
The expression \(A \cap B \cap C \cap D\) is well-defined because:,intersection is associative,intersection is associative,"sets \(A\), \(B\), \(C\), \(D\) are disjoint",union distributes over intersection,sets are all finite,,,,,,
The union of the set of even integers \(C\) and odd integers \(D\) equals:,the set of all integers,empty set,integers divisible by 2 or 3,the set of all integers,only even integers,,,,,,
"In the example where students skip finals if they got an A on midterm 1 or 2, the set of eligible students is \(A \cup B\) because it contains students who received an A on:",midterm 1 or midterm 2 or both,both midterms,neither midterm,midterm 1 or midterm 2 or both,only midterm 2,,,,,,
The intersection \(A \cap (B \cup C)\) means:,elements in \(A\) and in \(B\) or \(C\),elements in \(A\) or in both \(B\) and \(C\),elements in \(A\) and in \(B\) or \(C\),elements only in \(B\) and \(C\),elements only in \(A\) and \(B\) and \(C\),,,,,,
