text,answer,a,b,c,d,e,f,g,h,hint,feedback
"If two propositions are logically equivalent, substitution in a compound proposition results in _____.",a logically equivalent proposition,a different truth value,a logically equivalent proposition,an unrelated proposition,an invalid expression,,,,,,
The law \(p \rightarrow q \equiv \neg p \lor q\) is called the _____.,Conditional identity,De Morgan's law,Conditional identity,Distributive law,Complement law,,,,,,
Which law justifies \(\neg (p \lor q) \equiv \neg p \land \neg q\)?,De Morgan's law,Absorption law,Commutative law,De Morgan's law,Identity law,,,,,,
The law that states \(p \lor p \equiv p\) is the _____.,Idempotent law,Associative law,Idempotent law,Domination law,Complement law,,,,,,
How does the double negation law simplify \(\neg \neg p\)?,\(p\),\(\neg p\),\(p\),\(\text{F}\),\(\text{T}\),,,,,,
Which law allows rearranging \(p \land q\) to \(q \land p\) without changing meaning?,Commutative law,Commutative law,Distributive law,Identity law,Absorption law,,,,,,
The equivalence \((p \land (q \lor r)) \equiv ((p \land q) \lor (p \land r))\) is an example of the _____.,Distributive law,Distributive law,Idempotent law,Complement law,Conditional identity,,,,,,
"The converse of a conditional \(p \rightarrow q\) is \(q \rightarrow p\), which is _____ logically equivalent to \(p \rightarrow q\).",not,always,sometimes,not,only if \(p\) and \(q\) are true,,,,,,
The law that allows substituting \(\neg p \lor q\) for \(p \rightarrow q\) is called the _____.,Conditional identity,Commutative law,Conditional identity,Distributive law,De Morgan's law,,,,,,
"According to De Morgan's laws, \(\neg (p \lor q)\) is equivalent to _____.",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(\neg p \rightarrow \neg q\),,,,,,
The law that justifies \((p \land p) \equiv p\) is the _____.,Idempotent law,Idempotent law,Absorption law,Domination law,Identity law,,,,,,
Which law states that \(p \lor (q \land r) \equiv (p \lor q) \land (p \lor r)\)?,Distributive law,Distributive law,Associative law,Commutative law,Absorption law,,,,,,
What law allows rewriting \(\neg \neg p\) as \(p\)?,Double negation law,Complement law,Double negation law,Identity law,Domination law,,,,,,
The expression \(p \lor \text{F}\) is equivalent to _____.,\(p\),\(p \land \text{F}\),\(\text{F}\),\(p\),\(\text{T}\),,,,,,
Why is \(p \rightarrow q\) logically equivalent to \(\neg q \rightarrow \neg p\)?,Due to the conditional identity and double negation law,Because of the complement law,Due to the conditional identity and double negation law,Because of the absorption law,Due to the domination law,,,,,,
Which law justifies that \((p \land (p \lor q)) \equiv p\)?,Absorption law,Idempotent law,Distributive law,Absorption law,Commutative law,,,,,,
What law justifies substituting \(p \rightarrow q\) with \(\neg p \lor q\)?,Conditional identity,De Morgan's law,Double negation law,Conditional identity,Distributive law,,,,,,
"Using the law of propositional logic, \(\neg (p \lor q) \equiv _____\).",\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(p \land q\),\(p \lor q\),,,,,,
Which law states that \(p \lor \text{F} \equiv p\)?,Identity law,Domination law,Identity law,Absorption law,Complement law,,,,,,
Which law allows rearranging \(\neg p \wedge q\) to \(q \wedge \neg p\)?,Commutative law,Associative law,Commutative law,Distributive law,Idempotent law,,,,,,
What is the purpose of using the laws of propositional logic in proofs?,To show two propositions are logically equivalent,To prove a proposition is true or false,To show two propositions are logically equivalent,To simplify arithmetic expressions,To convert propositions to natural language,,,,,,
Which law justifies that \(\neg \neg p \equiv p\)?,Double negation law,Complement law,Double negation law,Conditional identity,Absorption law,,,,,,
The expression \((p \land \neg p)\) is equivalent to _____.,\(\text{F}\),\(\text{T}\),\(p\),\(\text{F}\),\(\neg p\),,,,,,
How does De Morgan's law transform \(\neg (p \land q)\)?,\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(p \lor q\),\(p \land q\),,,,,,
The law that justifies \(p \rightarrow q \equiv \neg p \lor q\) is the _____.,Conditional identity,De Morgan's law,Complement law,Conditional identity,Distributive law,,,,,,
Which law allows substitution of \(\neg p \lor q\) for \(p \rightarrow q\) in a compound proposition?,Conditional identity,Absorption law,Conditional identity,Identity law,Commutative law,,,,,,
The equivalence \(\neg (p \lor q) \equiv \neg p \land \neg q\) is an example of _____.,De Morgan's law,Complement law,De Morgan's law,Distributive law,Associative law,,,,,,
Which law states that \(p \land p \equiv p\)?,Idempotent law,Idempotent law,Identity law,Domination law,Absorption law,,,,,,
The law that justifies \((p \lor q) \land (p \lor r) \equiv p \lor (q \land r)\) is the _____.,Distributive law,Distributive law,Associative law,Commutative law,Conditional identity,,,,,,
What does the double negation law state?,\(\neg \neg p \equiv p\),\(\neg p \equiv p\),\(\neg \neg p \equiv p\),\(p \lor \neg p \equiv \text{T}\),\(p \land \neg p \equiv \text{F}\),,,,,,
The law that shows \(p \lor \text{F} \equiv p\) is the _____.,Identity law,Domination law,Identity law,Complement law,Absorption law,,,,,,
Why is the contrapositive \(\neg q \rightarrow \neg p\) logically equivalent to \(p \rightarrow q\)?,By the conditional identity and double negation law,By De Morgan's law,By the conditional identity and double negation law,By the distributive law,Because inverse and converse are equivalent,,,,,,
