text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What should a programmer do after fixing the first compiler error message?,Compile the program again,Ignore the rest of the errors,Compile the program again,Check later lines for errors,Restart the computer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A compiler warning indicates _____.,a possible logic error but does not stop compilation,a syntax error that stops compilation,an error that crashes the program immediately,a possible logic error but does not stop compilation,the program is ready to run without issues,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"When a compiler reports an error on line 10, the actual error is usually on line _____.",9 or earlier,11 or later,10 only,9 or earlier,12 only,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should a programmer focus on fixing the first compiler error before others?,Because later errors often result from the first error,Because later errors are usually unrelated,Because the first error is always the easiest to fix,Because later errors often result from the first error,Because fixing the first error will fix all errors automatically,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass
What is the main difference between a syntax error and a logic error?,Syntax errors prevent compilation; logic errors occur during program execution,Syntax errors occur at runtime; logic errors occur at compile-time,Syntax errors prevent compilation; logic errors occur during program execution,Syntax errors are caused by bugs; logic errors are caused by hardware faults,Syntax errors are easier to fix than logic errors,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A compiler warning means _____ .,"a possible issue exists, but compilation proceeds",the program cannot be created until fixed,the program has a definite logic error,"a possible issue exists, but compilation proceeds",the program will run correctly without changes,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should a programmer focus on fixing the first compiler error message first?,The first error often causes subsequent confusing errors,Later errors are always caused by new code,The first error often causes subsequent confusing errors,The first error is usually a logic error,Fixing all errors simultaneously is more efficient,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",Earlier lines before line 10,Only line 10,Lines after line 10,Earlier lines before line 10,Ignore the error if line 10 looks correct,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the purpose of compiler warnings?,To indicate possible logic errors without stopping compilation,To stop compilation entirely,To indicate possible logic errors without stopping compilation,To confirm the program has no errors,To show syntax errors only,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",9,11,10,9,12,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should a programmer focus on fixing the first compiler error before others?,The first error often causes subsequent error messages,Later errors are always unrelated,The first error often causes subsequent error messages,Fixing all errors at once is faster,The compiler does not show all errors,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a compiler warning indicate?,"A possible logic error, but compilation succeeds",The program will not compile,"A possible logic error, but compilation succeeds",The program runs without any errors,The compiler crashed during compilation,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
