=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,0
3,10,0,0
4,10,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,4,100
1,3,1,3,100
1,4,0,5,100
2,3,2,4,100
2,4,0,5,100
3,4,0,5,100

Summary
Total Comparisons,780
Duplicates (≥85%),3
Similar (70-85%),27

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,"In a pandas DataFrame, what is the term for the set of row labels?",2,3,q3,What is the term for the set of row labels in a pandas DataFrame?,3,3,0.957,duplicate
q1,What does the pandas DataFrame object represent?,2,1,q1,What does a pandas DataFrame primarily represent?,3,1,0.905,duplicate
q9,"To filter a DataFrame for rows where the ""Population"" column is greater than 100000, which expression is correct?",1,9,q7,"Which statement correctly filters rows where a column ""Population"" is greater than 100000?",3,7,0.89,duplicate
q10,Which logical operator in pandas returns True if both operands are True?,2,10,q8,"What logical operator represents ""and"" when subsetting pandas DataFrames?",3,8,0.846,similar
q8,"What logical operator represents ""and"" when subsetting pandas DataFrames?",3,8,q7,Which logical operator returns True if both operands are True when subsetting dataframes?,4,7,0.846,similar
q2,Which of the following is a key difference between pandas DataFrames and NumPy arrays?,2,2,q3,How do pandas dataframes differ from NumPy arrays?,4,3,0.837,similar
q2,How do a pandas DataFrame and a NumPy array differ in data types?,3,2,q3,How do pandas dataframes differ from NumPy arrays?,4,3,0.835,similar
q10,Which logical operator in pandas returns True if both operands are True?,2,10,q7,Which logical operator returns True if both operands are True when subsetting dataframes?,4,7,0.827,similar
q2,How do pandas DataFrame columns differ from NumPy array columns?,1,2,q3,How do pandas dataframes differ from NumPy arrays?,4,3,0.815,similar
q2,Which of the following is a key difference between pandas DataFrames and NumPy arrays?,2,2,q2,How do a pandas DataFrame and a NumPy array differ in data types?,3,2,0.806,similar
q1,What data structure does pandas use to represent datasets?,1,1,q1,What type does the pandas package use to represent datasets?,4,1,0.802,similar
q2,How do pandas DataFrame columns differ from NumPy array columns?,1,2,q2,How do a pandas DataFrame and a NumPy array differ in data types?,3,2,0.801,similar
q2,How do pandas DataFrame columns differ from NumPy array columns?,1,2,q2,Which of the following is a key difference between pandas DataFrames and NumPy arrays?,2,2,0.786,similar
q3,What are the labels identifying DataFrame rows called?,1,3,q3,"In a pandas DataFrame, what is the term for the set of row labels?",2,3,0.782,similar
q4,Which pandas method selects rows and columns by integer location?,1,4,q4,Which method selects rows by integer location and columns by integer location in a dataframe?,4,4,0.782,similar
