=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,4,36
1,3,1,6,36
1,4,2,4,36
2,3,2,3,36
2,4,2,2,36
3,4,0,6,36

Summary
Total Comparisons,276
Duplicates (≥85%),7
Similar (70-85%),26

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What is the purpose of the inductive hypothesis in a proof by induction?,1,1,q1,What is the purpose of the inductive hypothesis in a proof by induction?,4,1,0.963,duplicate
q5,What is the inductive hypothesis in the generalized De Morgan’s law for sets?,1,5,q6,What is the inductive hypothesis in the proof of the generalized De Morgan’s law for sets?,4,6,0.961,duplicate
q4,What does the inductive hypothesis assume in the generalized De Morgan's law proof for \(k\) sets?,2,4,q4,"In the inductive proof for generalized De Morgan's law for sets, what does the inductive hypothesis assume?",3,4,0.957,duplicate
q2,Which expression represents the inductive hypothesis in the proof that 3 divides \(2^{2n} - 1\)?,2,2,q2,"In the inductive step for proving \(3\) divides \(2^{2n} - 1\), which expression is used to represent the inductive hypothesis?",4,2,0.92,duplicate
q5,"In the inductive proof for the sum of an arithmetic sequence, what is the inductive hypothesis?",2,5,q5,"In the inductive proof for the sum of a geometric sequence, what is the inductive hypothesis?",4,5,0.862,duplicate
q5,"In the inductive proof for the sum of an arithmetic sequence, what is the inductive hypothesis?",2,5,q3,Which expression correctly represents the inductive hypothesis for the sum of the first \(k\) terms of an arithmetic sequence?,3,3,0.86,duplicate
q6,Why does the inductive proof for sums of arithmetic sequences separate the last term in the summation?,1,6,q6,Why does an inductive proof separate the last term from a summation in the inductive step?,3,6,0.851,duplicate
q2,"In the inductive step for proving \(3\) divides \(2^{2n} - 1\), which expression is used to represent the inductive hypothesis?",4,2,q3,How does the inductive step prove that \(3\) divides \(2^{2(k+1)} - 1\)?,4,3,0.847,similar
q2,Which expression represents the inductive hypothesis in the proof that 3 divides \(2^{2n} - 1\)?,2,2,q3,How does the inductive step prove that \(3\) divides \(2^{2(k+1)} - 1\)?,4,3,0.836,similar
q2,"In the divisibility proof for \(3\) dividing \(2^{2n} - 1\), what key algebraic step shows divisibility for \(k+1\)?",1,2,q3,How does the inductive step prove that \(3\) divides \(2^{2(k+1)} - 1\)?,4,3,0.831,similar
q4,Which expression correctly represents the inductive step for the sum of a geometric sequence?,1,4,q5,"In the inductive proof for the sum of a geometric sequence, what is the inductive hypothesis?",4,5,0.82,similar
q2,"In the divisibility proof for \(3\) dividing \(2^{2n} - 1\), what key algebraic step shows divisibility for \(k+1\)?",1,2,q2,Which expression represents the inductive hypothesis in the proof that 3 divides \(2^{2n} - 1\)?,2,2,0.815,similar
q4,Which expression correctly represents the inductive step for the sum of a geometric sequence?,1,4,q3,Which expression correctly represents the inductive hypothesis for the sum of the first \(k\) terms of an arithmetic sequence?,3,3,0.81,similar
q2,"In the divisibility proof for \(3\) dividing \(2^{2n} - 1\), what key algebraic step shows divisibility for \(k+1\)?",1,2,q2,"In the inductive step for proving \(3\) divides \(2^{2n} - 1\), which expression is used to represent the inductive hypothesis?",4,2,0.807,similar
q2,"In the divisibility proof for \(3\) dividing \(2^{2n} - 1\), what key algebraic step shows divisibility for \(k+1\)?",1,2,q1,"In a divisibility proof by induction, why express \(2^{2k} - 1\) as \(3m\)?",3,1,0.797,similar
q2,Which expression represents the inductive hypothesis in the proof that 3 divides \(2^{2n} - 1\)?,2,2,q1,"In a divisibility proof by induction, why express \(2^{2k} - 1\) as \(3m\)?",3,1,0.796,similar
q1,"In a divisibility proof by induction, why express \(2^{2k} - 1\) as \(3m\)?",3,1,q2,"In the inductive step for proving \(3\) divides \(2^{2n} - 1\), which expression is used to represent the inductive hypothesis?",4,2,0.792,similar
q4,What does the inductive hypothesis assume in the generalized De Morgan's law proof for \(k\) sets?,2,4,q6,What is the inductive hypothesis in the proof of the generalized De Morgan’s law for sets?,4,6,0.79,similar
q1,"In a divisibility proof by induction, why express \(2^{2k} - 1\) as \(3m\)?",3,1,q3,How does the inductive step prove that \(3\) divides \(2^{2(k+1)} - 1\)?,4,3,0.786,similar
q5,What is the inductive hypothesis in the generalized De Morgan’s law for sets?,1,5,q4,What does the inductive hypothesis assume in the generalized De Morgan's law proof for \(k\) sets?,2,4,0.777,similar
q4,"In the inductive proof for generalized De Morgan's law for sets, what does the inductive hypothesis assume?",3,4,q6,What is the inductive hypothesis in the proof of the generalized De Morgan’s law for sets?,4,6,0.765,similar
q3,"In the inductive step for the recurrence \(g_n = 3g_{n-1} + 2n\), which equation correctly expresses \(g_{k+1}\)?",2,3,q2,"In proving \(g_n = \frac{5}{2} \cdot 3^n - n - \frac{3}{2}\), what is the inductive step?",3,2,0.763,similar
