=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,25
1,3,2,0,25
1,4,3,2,25
2,3,1,1,25
2,4,1,2,25
3,4,2,1,25

Summary
Total Comparisons,190
Duplicates (≥85%),10
Similar (70-85%),8

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which command imports the function read_csv from pandas?,1,2,q4,Which command imports the function read_csv from the pandas package?,3,4,0.985,duplicate
q2,Which command imports the function read_csv from pandas?,1,2,q2,Which command imports the function read_csv directly from the pandas package?,4,2,0.963,duplicate
q4,Which command imports the function read_csv from the pandas package?,3,4,q2,Which command imports the function read_csv directly from the pandas package?,4,2,0.962,duplicate
q4,Which package is best for creating data visualizations in Python?,1,4,q4,Which package is best suited for creating advanced data visualizations in Python?,4,4,0.908,duplicate
q5,Which package is best for creating customized data visualizations using pandas DataFrames?,2,5,q5,Which Python package is best suited to create and customize data visualizations?,3,5,0.906,duplicate
q4,Which package is best for creating data visualizations in Python?,1,4,q5,Which package is best for creating customized data visualizations using pandas DataFrames?,2,5,0.891,duplicate
q4,Which package is best for creating data visualizations in Python?,1,4,q5,Which Python package is best suited to create and customize data visualizations?,3,5,0.885,duplicate
q5,Which package is best for creating customized data visualizations using pandas DataFrames?,2,5,q4,Which package is best suited for creating advanced data visualizations in Python?,4,4,0.882,duplicate
q5,Which Python package is best suited to create and customize data visualizations?,3,5,q4,Which package is best suited for creating advanced data visualizations in Python?,4,4,0.871,duplicate
q1,"A Python _____ is a collection of related functions, classes, and objects.",1,1,q1,A Python _____ is a collection of related functions and classes extending Python's capabilities.,4,1,0.864,duplicate
q1,What is the purpose of aliasing a Python package during import?,2,1,q5,Why do users use aliases when importing packages in Python?,4,5,0.825,similar
q5,Why use an alias when importing a package?,1,5,q5,Why do users use aliases when importing packages in Python?,4,5,0.824,similar
q5,Why use an alias when importing a package?,1,5,q1,What is the purpose of aliasing a Python package during import?,2,1,0.823,similar
q3,The role of a package manager is to _____.,1,3,q2,A package manager is used to _____.,2,2,0.81,similar
q3,The role of a package manager is to _____.,1,3,q3,What is the role of a package manager like pip in Python?,4,3,0.769,similar
q3,What is the main purpose of a package manager like pip or conda?,3,3,q3,What is the role of a package manager like pip in Python?,4,3,0.763,similar
q2,A package manager is used to _____.,2,2,q3,What is the role of a package manager like pip in Python?,4,3,0.716,similar
q2,A package manager is used to _____.,2,2,q3,What is the main purpose of a package manager like pip or conda?,3,3,0.705,similar
q3,The role of a package manager is to _____.,1,3,q3,What is the main purpose of a package manager like pip or conda?,3,3,0.643,low
q1,What does a Python package primarily provide?,3,1,q3,What is the main purpose of a package manager like pip or conda?,3,3,0.623,low
q1,What does a Python package primarily provide?,3,1,q1,A Python _____ is a collection of related functions and classes extending Python's capabilities.,4,1,0.623,low
q1,"A Python _____ is a collection of related functions, classes, and objects.",1,1,q1,What does a Python package primarily provide?,3,1,0.616,low
q1,What does a Python package primarily provide?,3,1,q3,What is the role of a package manager like pip in Python?,4,3,0.601,low
q4,Why must some packages be installed separately from the Python interpreter?,2,4,q2,How does the Python interpreter find a package during import?,3,2,0.59,low
q2,A package manager is used to _____.,2,2,q1,What does a Python package primarily provide?,3,1,0.587,low
q3,The role of a package manager is to _____.,1,3,q1,What does a Python package primarily provide?,3,1,0.575,low
q2,A package manager is used to _____.,2,2,q1,A Python _____ is a collection of related functions and classes extending Python's capabilities.,4,1,0.57,low
q1,"A Python _____ is a collection of related functions, classes, and objects.",1,1,q2,A package manager is used to _____.,2,2,0.566,low
q4,Why must some packages be installed separately from the Python interpreter?,2,4,q3,What is the role of a package manager like pip in Python?,4,3,0.551,low
q3,Which command imports only the function StandardScaler from sklearn.preprocessing?,2,3,q4,Which command imports the function read_csv from the pandas package?,3,4,0.543,low
q3,Which command imports only the function StandardScaler from sklearn.preprocessing?,2,3,q2,Which command imports the function read_csv directly from the pandas package?,4,2,0.539,low
q2,Which command imports the function read_csv from pandas?,1,2,q3,Which command imports only the function StandardScaler from sklearn.preprocessing?,2,3,0.538,low
q4,Why must some packages be installed separately from the Python interpreter?,2,4,q5,Why do users use aliases when importing packages in Python?,4,5,0.53,low
q4,Why must some packages be installed separately from the Python interpreter?,2,4,q3,What is the main purpose of a package manager like pip or conda?,3,3,0.526,low
q2,A package manager is used to _____.,2,2,q4,Why must some packages be installed separately from the Python interpreter?,2,4,0.524,low
q4,Why must some packages be installed separately from the Python interpreter?,2,4,q1,What does a Python package primarily provide?,3,1,0.522,low
q1,What is the purpose of aliasing a Python package during import?,2,1,q4,Why must some packages be installed separately from the Python interpreter?,2,4,0.517,low
q1,A Python _____ is a collection of related functions and classes extending Python's capabilities.,4,1,q3,What is the role of a package manager like pip in Python?,4,3,0.512,low
