text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
\nSelect the mathematical expression that is equivalent to the sum\n$\sum\limits_{j = -2}^{n-4} j^{j+7}$\n.,$\sum\limits_{j = -2}^{n-5} \left(j^{j+7}\right) + (n-4)^{n+3}$,$\sum\limits_{j = -2}^{n-3}\left( j^{j+7}\right) + (n-4)^{n+3}$,$\sum\limits_{j = -2}^{n-5} \left(j^{j+7}\right) + (n-4)^{n+3}$,$\sum\limits_{j = -2}^{n-3}\left( j^{j+7} + j^{n+3}\right)$,$\sum\limits_{j = -2}^{n-5} \left(j^{j+7} + j^{n+3}\right)$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the summation expression that is equivalent to the sum\n$4^3 + 6^3 + 8^3 + \cdots + 28^3$\n.,$\sum\limits_{j = 2}^{14} (2j)^3$,$\sum\limits_{j = 4}^{28} (2j)^3$,$\sum\limits_{j = 4}^{14} (2j)^3$,$\sum\limits_{j = 2}^{28} (2j)^3$,$\sum\limits_{j = 2}^{14} (2j)^3$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the value of the sum\n$\sum\limits_{k = -2}^3 k^2$\n.,$19$,$3$,$9$,$14$,$19$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$\sum\limits_{j = 0}^{n-2} 2^{j+1}$\n.,$\sum\limits_{k = 1}^{n - 1} 2^{k}$,$\sum\limits_{k = 0}^{n-2} 2^{k}$,$\sum\limits_{k = 1}^{n - 1} 2^{k+1}$,$\sum\limits_{k = 1}^{n - 1} 2^{k}$,$\sum\limits_{k = 1}^{n-2} 2^{k+1}$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$2 + 6 + 18 + 54 + \cdots + 2 \cdot 3^{15}$\n.,$3^{16}-1$,$3^{16}-1$,$\frac{3^{16}-1}{2}$,$3^{13}-1$,$\frac{3^{15}-1}{2}$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$2 + 5 + 8 + 11 + \cdots + (2+ 3 \cdot 22))$\n.,$\frac{3 \cdot 22 \cdot 23}{2} + 2 \cdot 23$,$\frac{3 \cdot 22 \cdot 23}{2} + 2 \cdot 22$,$\frac{3 \cdot 22 \cdot 23}{2} + 2 \cdot 23$,$\frac{3 \cdot 23 \cdot 24}{2} + 2 \cdot 22$,$\frac{3 \cdot 23 \cdot 24}{2} + 2 \cdot 23$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$4 + 20 + 100 + 500 + \cdots + 4 \cdot 5^{47}$\n.,$5^{48}-1$,$5^{48}-1$,$\frac{5^{48}-1}{4}$,$5^{47}-1$,$\frac{5^{47}-1}{4}$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$\sum\limits_{j = 2}^{n - 1} (j+1)^3$\n.,$\sum\limits_{k = 4}^{n+1} (k-1)^3$,$\sum\limits_{k = 4}^{n+1} (k-1)^3$,$\sum\limits_{k = 4}^{n+1} k^3$,$\sum\limits_{k = 0}^{n-2} (k-1)^3$,$\sum\limits_{k = 0}^{n-2} k^3$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the summation expression that  is equivalent to the sum\n$5^2 + 7^2 + 9^2 + \cdots + 201^2$\n.,$\sum\limits_{j = 2}^{100} (2j+1)^2$,$\sum\limits_{j = 2}^{100} (2j+1)^2$,$\sum\limits_{j = 1}^{100} (2j+1)^2$,$\sum\limits_{j = 1}^{201} j^2$,$\sum\limits_{j = 1}^{201} (j+1)^2$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the mathematical expression that is equivalent to the sum\n$\sum\limits_{j =0}^{n+2} 3^{j-3}$\n.,$\sum\limits_{j =0}^{n+1} \left(3^{j-3}\right) + 3^{n - 1}$,$\sum\limits_{j =0}^{n}\left( 3^{j-3}\right) + 3^{n+1}$,$\sum\limits_{j =0}^{n} \left(3^{j-3} \right)+ 3^{n - 1}$,$\sum\limits_{j =0}^{n+1} \left(3^{j-3}\right) + 3^{n+1}$,$\sum\limits_{j =0}^{n+1} \left(3^{j-3}\right) + 3^{n - 1}$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
