text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
"In a compound proposition without parentheses, which operations are evaluated first?","\(\land\), \(\lor\), and \(\neg\)",\(\rightarrow\) and \(\leftrightarrow\),"\(\land\), \(\lor\), and \(\neg\)",\(\rightarrow\) only,\(\leftrightarrow\) only,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
"The statement ""You will mow Mr. Smith's lawn only if he pays you"" translates to which conditional expression?",\(p \rightarrow q\),\(p \rightarrow q\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
A conditional statement is always true if the hypothesis is _____,false regardless of conclusion's truth value,true and conclusion is false,false regardless of conclusion's truth value,true regardless of conclusion's truth value,false and conclusion is true,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Which of the following is the inverse of \(p \rightarrow q\)?,\(\neg p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow \neg q\),\(p \rightarrow \neg q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The contrapositive of ""If the patient took the medicine, then she had side effects"" is","If the patient did not have side effects, then she did not take the medicine.","If the patient had side effects, then she took the medicine.","If the patient did not take the medicine, then she did not have side effects.","If the patient did not have side effects, then she did not take the medicine.","If the patient took the medicine, then she did not have side effects.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Which truth table row makes the conditional proposition \(p \rightarrow q\) false?,"\(p = \text{T}, q = \text{F}\)","\(p = \text{F}, q = \text{F}\)","\(p = \text{T}, q = \text{T}\)","\(p = \text{F}, q = \text{T}\)","\(p = \text{T}, q = \text{F}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
The conditional statement \(p \rightarrow q\) is false when _____.,\(p\) is true and \(q\) is false,\(p\) and \(q\) are both true,\(p\) is false and \(q\) is true,\(p\) is true and \(q\) is false,\(p\) and \(q\) are both false,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The contrapositive of \(p \rightarrow q\) is _____.,\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),\(\neg q \rightarrow \neg p\),\(q \rightarrow p\),\(\neg p \rightarrow q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which English sentence correctly expresses \(p \rightarrow q\)?,"If \(p\), then \(q\)",\(q\) only if \(p\),\(p\) if and only if \(q\),"If \(p\), then \(q\)",\(p\) unless \(q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The biconditional \(p \leftrightarrow q\) is true when _____.,\(p\) and \(q\) have the same truth value,\(p\) is true and \(q\) is false,\(p\) and \(q\) have the same truth value,\(p\) is false and \(q\) is true,either \(p\) or \(q\) is true but not both,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
The inverse of \(p \rightarrow q\) is _____.,\(\neg p \rightarrow \neg q\),\(\neg p \rightarrow \neg q\),\(q \rightarrow p\),\(\neg q \rightarrow \neg p\),\(p \rightarrow \neg q\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which expression represents ""Me sharing my cookie with you is sufficient for you to share your soda with me""?",\(p \rightarrow q\),\(q \rightarrow p\),\(p \rightarrow q\),\(\neg p \rightarrow \neg q\),\(p \leftrightarrow q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For the conditional \(p \rightarrow q\), the proposition \(p\) is called the _____.",hypothesis,conclusion,hypothesis,converse,inverse,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which is equivalent to ""You will mow Mr. Smith's lawn only if he pays you""?",\(p \rightarrow q\),\(q \rightarrow p\),\(p \rightarrow q\),\(\neg p \rightarrow \neg q\),\(p \leftrightarrow q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
The truth table for \(p \rightarrow q\) shows the statement is true when _____.,\(p\) is false regardless of \(q\),\(p\) is true and \(q\) is false,\(p\) is false regardless of \(q\),\(p\) and \(q\) are both false only,\(q\) is true only,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
How is the biconditional \(p \leftrightarrow q\) expressed in English?,\(p\) if and only if \(q\),"If \(p\), then \(q\)",\(p\) only if \(q\),\(p\) if and only if \(q\),\(p\) implies \(q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
A conditional proposition can be false only if _____.,the hypothesis is true and the conclusion is false,the conclusion is true and the hypothesis is false,the hypothesis is true and the conclusion is false,both hypothesis and conclusion are false,both hypothesis and conclusion are true,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The converse of ""If it rains, the game is cancelled"" is _____.","If the game is cancelled, then it rains","If the game is cancelled, then it rains","If it does not rain, the game is not cancelled","If the game is not cancelled, then it does not rain","If it does not rain, the game is cancelled",,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
