text,answer,a,b,c,d,e,f,g,h,hint,feedback
"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",operators,comments,operators,functions,strings,,,,,,
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,division (/),multiplication (*),addition (+),division (/),parentheses ( ),,,,,,
"In programming, the multiplication symbol is _____, not the × symbol.",×,x,*,&times;,×,,,,,,
"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",parentheses,semicolons,brackets,parentheses,curly braces,,,,,,
An _expression_ in programming is a combination of _____ that produces a value.,"variables, literals, operators, and parentheses",variables and functions,"variables, literals, operators, and parentheses",only literals and functions,operators and comments,,,,,,
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,( ),*,+,( ),/,,,,,,
"In programming, the multiplication operator is _____, not the × symbol.",&times;,x,*,×,&times;,,,,,,
Which is the correct way to write the negative of a variable user_val in an expression?,-user_val,user_val -,-user_val,user_val *,!user_val,,,,,,
What does an _expression_ in programming always produce?,A value,A sequence of instructions,A value,A variable name,A comment,,,,,,
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,Division (/),Multiplication (*),Addition (+),Division (/),Parentheses are not operators,,,,,,
Why must multiplication be explicitly indicated with * in code like 2 * x?,Because abutment is not allowed in programming syntax,Because 2x is a valid variable name,Because abutment is not allowed in programming syntax,Because * has lower precedence than variables,Because multiplication is not supported in most languages,,,,,,
"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",unary minus operator,decrement operator,unary minus operator,binary operator,negation function,,,,,,
"An _expression_ is a combination of variables, literals, _____, and parentheses.",operators,functions,loops,operators,comments,,,,,,
Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,division (/),multiplication (*),addition (+),division (/),parentheses ( ),,,,,,
Why should programmers use parentheses in arithmetic expressions?,To make order of evaluation explicit,To add extra operations,To improve code speed,To make order of evaluation explicit,To replace operators,,,,,,
"In Python, the exponent operator is represented by _____.",^^,^,**,pow(),^^,,,,,,
