text,answer,a,b,c,d,e,f,g,h,hint,feedback
Why do programmers use functions to group statements?,To reduce repeated code and simplify the program,To increase program redundancy,To confuse the main program,To reduce repeated code and simplify the program,To avoid using variables,,,,,,
What does a function call do in a program?,Executes the function’s predefined statements,Defines a new function,Executes the function’s predefined statements,Deletes the function from memory,Creates a new variable,,,,,,
Which keyword is used to define a new function in Python?,def,func,function,def,return,,,,,,
What does a return statement in a function do?,Returns control to the function’s caller with an optional value,Stops the program permanently,Returns control to the function’s caller with an optional value,Prints the function’s name,Calls another function automatically,,,,,,
What is a parameter in a function definition?,An input variable specified in the function header,A value passed during the function call,A variable defined outside the function,An input variable specified in the function header,A function’s output value,,,,,,
"Given def calc_area(length, width):, what are length and width?",Parameters,Function calls,Arguments,Parameters,Return values,,,,,,
What happens when a function has multiple parameters?,Parameters are separated by commas in the definition,Parameters are separated by commas in the definition,Parameters are separated by semicolons,Parameters are combined into one variable,Parameters must all be integers,,,,,,
What is a hierarchical function call?,Calling a function inside another function’s statements,Calling a function inside another function’s statements,Calling multiple functions at once,Calling a function without parameters,Defining a function inside a loop,,,,,,
What is the main benefit of defining a function in a program?,To reduce redundancy and simplify code,To increase program size,To reduce redundancy and simplify code,To avoid using variables,To make the program run faster,,,,,,
What keyword starts a function definition in Python?,def,function,def,func,return,,,,,,
What does a function call do in a program?,Executes the function's statements,Defines a new function,Executes the function's statements,Returns a value immediately,Declares variables inside the function,,,,,,
How many values can a Python function return directly?,One,One,Two,Multiple values without a container,None,,,,,,
What is a parameter in a function definition?,A variable specified inside the function's parentheses,A value passed during a function call,A variable specified inside the function's parentheses,The function's return value,A function's name,,,,,,
How are multiple parameters specified in a Python function definition?,"Separated by commas (,)",Separated by semicolons (;),"Separated by commas (,)",Separated by spaces,Enclosed in square brackets [],,,,,,
"In hierarchical function calls, what happens when a function call is used inside another function call?",The inner function is called and returns a value used by the outer function,The outer function executes first,The inner function is called and returns a value used by the outer function,Both functions run in parallel,The inner function is ignored,,,,,,
"In the function call print(calc_pizza_area(12.0)), what is 12.0?",An argument,A parameter,A return value,An argument,A function name,,,,,,
Why do programmers use functions in a program?,To group repeated statements for reuse,To increase program redundancy,To make programs run faster,To group repeated statements for reuse,To remove all comments from code,,,,,,
What keyword does Python use to define a new function?,def,func,function,def,define,,,,,,
"When a function is called, what happens to the execution of the program?",Execution jumps to the function’s statements,Execution stops permanently,Execution jumps to the function’s statements,Execution skips the function’s statements,Execution restarts the program,,,,,,
What does the return statement do inside a function?,Sends a value back to the caller and resumes execution after the call,Ends the program,Prints a value to the console,Sends a value back to the caller and resumes execution after the call,Defines a new variable,,,,,,
What is a parameter in a function definition?,A variable specified to accept input inside the function,A value passed during a function call,A variable specified to accept input inside the function,The function’s return value,A function’s name,,,,,,
How are multiple parameters specified in a function definition?,"Separated by commas (,)",Separated by semicolons (;),"Separated by commas (,)",Separated by spaces,Enclosed in square brackets [],,,,,,
Which is a valid function call with two arguments x and y?,"func(x, y)",func(x; y),"func(x, y)","func x, y",func(x y),,,,,,
What is a hierarchical (nested) function call?,Calling one function inside another function’s statements,A function that calls itself recursively,A function passing its name as an argument,Calling one function inside another function’s statements,Calling multiple functions in sequence without nesting,,,,,,
Why do programmers use functions in a program?,To group statements for reuse and reduce redundancy,To increase redundant code,To make the main program larger,To group statements for reuse and reduce redundancy,To avoid using parameters,,,,,,
What happens when a function call is executed in a program?,The program jumps to execute the function's statements,The program skips the function statements,The program jumps to execute the function's statements,The program ends immediately,The program duplicates the function definition,,,,,,
What keyword is used in Python to define a new function?,def,function,def,func,define,,,,,,
Which of the following is a valid function definition header with two parameters x and y?,"def func(x, y):",def func(x; y):,def func(x y):,"def func(x, y):",def func(x|y):,,,,,,
What is the difference between a function parameter and an argument?,A parameter is in the function definition; an argument is passed during a call,A parameter is given during a call; an argument is in the definition,A parameter is in the function definition; an argument is passed during a call,Both are the same and interchangeable,Arguments define the function; parameters call the function,,,,,,
What value does a Python function return if there is no return statement?,None,0,None,Empty string,False,,,,,,
What is the purpose of the return statement in a function?,To cause execution to jump back to the caller and return a value,To end the program,To cause execution to jump back to the caller and return a value,To call another function,To print output to the console,,,,,,
"In hierarchical function calls, what happens when one function calls another inside its statements?",The inner function executes and returns a value for the outer function to use,The inner function executes and returns a value for the outer function to use,Both functions execute simultaneously,The outer function pauses and never resumes,The inner function is ignored during execution,,,,,,
