text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the modulo operator (%) return when dividing two integers?,The remainder of the division,The quotient as a float,The quotient as an integer,The remainder of the division,The result rounded to the nearest integer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator rounds down the division result to the nearest smaller whole number?,/,/,%,//,**,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What causes a division by zero error in an expression like 100 / 0?,The divisor being zero is mathematically undefined,Zero divided by any number is undefined,The divisor being zero is mathematically undefined,The dividend being zero,Zero modulo any number is zero,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"To extract the tens digit of a number x, which expression is correct?",(x // 10) % 10,x % 10,(x // 10) % 10,x // 10,x % 100,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operator returns the remainder of integer division?,%,//,/,%,*,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What result does floor division 5 // 2 produce?,2,2.5,3,2,1,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens if a division by zero occurs in an expression like 10 / 0?,Program terminates with Error,Result is infinity,Result is zero,Program terminates with Error,Result is undefined but no error,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
How can the tens digit of a number x be obtained using modulo and floor division?,(x // 10) % 10,x % 10,(x // 10) % 10,x // 100,x % 100,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the floor division operator // return when both operands are integers?,The quotient rounded down to the nearest integer,A floating-point number,The remainder of the division,The quotient rounded down to the nearest integer,The quotient rounded up to the nearest integer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the result of the expression 27 % 4 in Python?,3,6,3,4,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is division by zero using / or // not allowed in Python?,It is mathematically undefined and causes a runtime error,It returns zero incorrectly,It causes an infinite loop,It is mathematically undefined and causes a runtime error,It returns the dividend unchanged,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Given a non-negative integer x, which expression yields the tens digit of x? Ex: If x=693, result should be 9.",(x // 10) % 10,x % 10,(x // 10) % 10,x % 100,x // 100,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the modulo operator (%) return when applied to two integers?,The remainder of the division,The integer division result,The floating-point division result,The remainder of the division,The quotient rounded up,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the result type of the division operator (/) in Python when dividing two integers?,Float,Integer,String,Float,Boolean,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does floor division (//) differ from regular division (/) in Python?,It rounds the result down to the nearest whole number,It rounds the result up,It returns the remainder,It rounds the result down to the nearest whole number,It always returns a float,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
You want a random number from 5 to 10 using modulo on x. Which expression is correct?,(x % 6) + 5,(x % 11) + 5,(x % 6) + 5,(x % 5),(x % 10),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
