=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,0
2,10,0,1
3,10,0,0
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,100
1,3,1,3,100
1,4,1,4,100
2,3,1,5,100
2,4,0,3,100
3,4,0,4,100

Summary
Total Comparisons,780
Duplicates (≥85%),4
Similar (70-85%),24

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q9,Convert the mathematical expression 5 × (x + 1) to a correct Python expression.,1,9,q9,Convert the mathematical expression 5 × (x + 1) to a valid Python expression:,4,9,0.959,duplicate
q2,Which operator raises a number to a power in Python?,1,2,q2,Which operator in Python raises a number to a power?,2,2,0.952,duplicate
q4,What symbol is used for multiplication in programming expressions?,1,4,q2,Which symbol represents multiplication in most programming languages?,3,2,0.904,duplicate
q10,Why is it good practice to use parentheses explicitly in expressions?,2,10,q9,Why is it good practice to use parentheses in expressions?,3,9,0.856,duplicate
q7,Why are parentheses used in programming expressions?,1,7,q9,Why is it good practice to use parentheses in expressions?,3,9,0.846,similar
q10,Why is it good practice to use parentheses explicitly in expressions?,2,10,q8,Why should parentheses be used even if precedence rules exist?,4,8,0.839,similar
q7,Why are parentheses used in programming expressions?,1,7,q4,What is the purpose of parentheses in an arithmetic expression?,2,4,0.805,similar
q2,Which operator in Python raises a number to a power?,2,2,q2,Which operator is used for exponentiation in Python?,4,2,0.797,similar
q1,What does an arithmetic expression typically combine to produce a value?,2,1,q1,What is an arithmetic expression in programming?,3,1,0.795,similar
q2,Which operator raises a number to a power in Python?,1,2,q2,Which operator is used for exponentiation in Python?,4,2,0.784,similar
q9,Why is it good practice to use parentheses in expressions?,3,9,q8,Why should parentheses be used even if precedence rules exist?,4,8,0.783,similar
q7,Why are parentheses used in programming expressions?,1,7,q8,Why should parentheses be used even if precedence rules exist?,4,8,0.782,similar
q3,"In the expression 3 + 4 * 5, which operation is evaluated first?",1,3,q3,"In the expression y = 3 + 2 * x, which operation is evaluated first?",2,3,0.774,similar
q7,Fill in the blank: The exponent operator in Python is _____.,3,7,q2,Which operator is used for exponentiation in Python?,4,2,0.771,similar
q7,Why are parentheses used in programming expressions?,1,7,q10,Why is it good practice to use parentheses explicitly in expressions?,2,10,0.77,similar
q2,Which operator raises a number to a power in Python?,1,2,q7,Fill in the blank: The exponent operator in Python is _____.,3,7,0.768,similar
q4,What is the purpose of parentheses in an arithmetic expression?,2,4,q10,Why is it good practice to use parentheses explicitly in expressions?,2,10,0.761,similar
q2,Which operator in Python raises a number to a power?,2,2,q7,Fill in the blank: The exponent operator in Python is _____.,3,7,0.76,similar
q3,"In the expression y = 3 + 2 * x, which operation is evaluated first?",2,3,q4,"In the expression y = 2 * (x + 1), what does the parentheses enforce?",3,4,0.76,similar
q3,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,3,q3,"In the expression 3 * (x + 10 / w), which operation is evaluated first?",4,3,0.757,similar
q5,Which operator has the highest precedence in Python arithmetic expressions?,2,5,q3,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,3,0.756,similar
q4,What is the purpose of parentheses in an arithmetic expression?,2,4,q9,Why is it good practice to use parentheses in expressions?,3,9,0.752,similar
q8,Which of the following is a valid expression in programming?,1,8,q7,Which of the following is a valid Python expression?,2,7,0.748,similar
q1,"An _expression_ in programming is a combination of variables, literals, operators, and _____.",1,1,q1,What is an arithmetic expression in programming?,3,1,0.744,similar
q4,What is the purpose of parentheses in an arithmetic expression?,2,4,q8,Why should parentheses be used even if precedence rules exist?,4,8,0.743,similar
q1,"An _expression_ in programming is a combination of variables, literals, operators, and _____.",1,1,q1,What does an _expression_ in programming always do?,4,1,0.741,similar
q2,Which symbol represents multiplication in most programming languages?,3,2,q4,What is the correct way to write multiplication in most programming languages?,4,4,0.714,similar
q4,What symbol is used for multiplication in programming expressions?,1,4,q4,What is the correct way to write multiplication in most programming languages?,4,4,0.702,similar
q3,"In the expression 3 + 4 * 5, which operation is evaluated first?",1,3,q3,"In the expression 3 * (x + 10 / w), which operation is evaluated first?",4,3,0.698,low
q5,Which expression correctly shows the order of evaluation for y + 2 * z?,1,5,q3,"In the expression y = 3 + 2 * x, which operation is evaluated first?",2,3,0.697,low
q3,"In the expression y = 3 + 2 * x, which operation is evaluated first?",2,3,q3,"In the expression 3 * (x + 10 / w), which operation is evaluated first?",4,3,0.696,low
q8,What is the correct Python operator to represent multiplication?,2,8,q2,Which operator is used for exponentiation in Python?,4,2,0.695,low
q1,"An _expression_ in programming is a combination of variables, literals, operators, and _____.",1,1,q1,What does an arithmetic expression typically combine to produce a value?,2,1,0.692,low
q5,Which operator has the highest precedence in Python arithmetic expressions?,2,5,q5,"In arithmetic expressions, what is the precedence order of these operators: +, *, ()?",4,5,0.685,low
q8,Which of the following is a valid expression in programming?,1,8,q4,"In the expression y = 2 * (x + 1), what does the parentheses enforce?",3,4,0.684,low
q6,Which operator has equal precedence and is evaluated left to right?,3,6,q7,"How does evaluation proceed when two operators of equal precedence appear, like x * y / z?",4,7,0.684,low
