=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,2,9
1,3,0,2,9
1,4,1,1,9
2,3,2,1,9
2,4,2,1,9
3,4,3,0,9

Summary
Total Comparisons,66
Duplicates (≥85%),8
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why should programmers use constant variables instead of literal numbers in code?,3,1,q1,Why should programmers use constant variables instead of literal numbers in code?,4,1,0.955,duplicate
q1,Why use constant variables instead of literal numbers in code?,2,1,q1,Why should programmers use constant variables instead of literal numbers in code?,3,1,0.949,duplicate
q1,Why use constant variables instead of literal numbers in code?,2,1,q1,Why should programmers use constant variables instead of literal numbers in code?,4,1,0.922,duplicate
q2,Which keyword declares a constant variable in Java?,1,2,q2,Which keyword declares a constant variable in Java?,4,2,0.911,duplicate
q2,A constant variable is declared using the keyword _____ in Java.,2,2,q2,Which keyword declares a constant variable in Java?,4,2,0.897,duplicate
q2,Which keyword in Java declares a variable whose value cannot be changed after initialization?,3,2,q2,Which keyword declares a constant variable in Java?,4,2,0.894,duplicate
q3,What happens if a program tries to assign a new value to a constant variable?,2,3,q3,What happens if a program tries to assign a new value to a constant variable?,3,3,0.889,duplicate
q3,What happens if a program tries to assign a new value to a constant variable?,3,3,q3,What happens if a program tries to assign a new value to a constant variable?,4,3,0.875,duplicate
q2,A constant variable is declared using the keyword _____ in Java.,2,2,q2,Which keyword in Java declares a variable whose value cannot be changed after initialization?,3,2,0.849,similar
q3,What happens if a program tries to assign a new value to a constant variable?,2,3,q3,What happens if a program tries to assign a new value to a constant variable?,4,3,0.844,similar
q2,Which keyword declares a constant variable in Java?,1,2,q2,A constant variable is declared using the keyword _____ in Java.,2,2,0.83,similar
