text,answer,a,b,c,d,e,f,g,h,hint,feedback
A set is defined by listing its elements in _____ notation.,roster,list,bracket,roster,parenthesis,,,,,,
"Which symbol means ""element of"" a set?",\(\in\),\(\notin\),\(\subseteq\),\(\in\),\(\subset\),,,,,,
The empty set is denoted by \(\emptyset\) or _____.,\(\{\}\),\(\{0\}\),\(\{\}\),\(\{ \emptyset \}\),\(\{1\}\),,,,,,
"If every element of set \(A\) is in set \(B\), then \(A\) is a _____ of \(B\).",subset,proper subset,element,subset,union,,,,,,
Which of the following is a proper subset of \(\mathbb{Z}\)?,\(\mathbb{N}\),\(\mathbb{N}\),\(\mathbb{R}\),\(\mathbb{Q}\),\(\mathbb{Z}^{+} \cup \mathbb{Z}^{-}\),,,,,,
"The cardinality of set \(A = \{2, 4, 6, 10\}\) is _____.",4,3,4,5,6,,,,,,
The set \(C = \{x \in \mathbb{Z} : 0 < x < 100 \text{ and } x \text{ is prime}\}\) is best described by:,set builder notation,roster notation listing all primes,set builder notation,empty set,an infinite set,,,,,,
The statement \(A = B\) means:,\(A\) and \(B\) have exactly the same elements,\(A\) is a subset of \(B\),\(B\) is a proper subset of \(A\),\(A\) and \(B\) have exactly the same elements,\(A\) and \(B\) have no common elements,,,,,,
"In a Venn diagram, if circle \(A\) is completely inside circle \(B\), then:",\(A \subseteq B\),\(A \subseteq B\),\(B \subseteq A\),\(A = B\),\(A \not\subseteq B\),,,,,,
Which set is infinite?,"\(\{3, 6, 9, \ldots\}\)","\(\{2, 4, 6, \ldots, 20\}\)",\(\emptyset\),"\(\{1, 2, 3, 4\}\)","\(\{3, 6, 9, \ldots\}\)",,,,,,
A set is defined as a/an _____ of objects.,collection,sequence,collection,function,equation,,,,,,
"In roster notation, repeating an element _____ the set.",does not change,changes,removes,does not change,doubles,,,,,,
The symbol \(\in\) means an element _____ a set.,is in,is not in,is in,is equal to,is a subset of,,,,,,
The cardinality \(|A|\) of a finite set \(A\) is the _____ of distinct elements in \(A\).,number,sum,number,product,average,,,,,,
The empty set \(\emptyset\) contains _____ elements.,zero,one,infinite,zero,two,,,,,,
Which statement is true about the sets \(\mathbb{N}\) and \(\mathbb{Z}\)?,\(\mathbb{N} \subseteq \mathbb{Z}\),\(\mathbb{N} \subseteq \mathbb{Z}\),\(\mathbb{Z} \subseteq \mathbb{N}\),\(\mathbb{N} = \mathbb{Z}\),\(\mathbb{N} \not\subseteq \mathbb{Z}\),,,,,,
The notation \(\{ x \in \mathbb{Z} : x \text{ is even} \}\) defines a set by:,describing elements in a larger set satisfying a condition,listing elements explicitly,describing elements in a larger set satisfying a condition,counting elements,excluding elements,,,,,,
"For sets \(A\) and \(B\), \(A \subseteq B\) means:",every element of \(A\) is in \(B\),\(A\) has more elements than \(B\),\(A\) is equal to \(B\),every element of \(A\) is in \(B\),\(B\) is a proper subset of \(A\),,,,,,
"If \(A \subset B\), then:",\(A\) is a proper subset of \(B\),\(A\) and \(B\) are equal,\(A\) is a proper subset of \(B\),\(B\) is a proper subset of \(A\),\(A\) is empty,,,,,,
"In a Venn diagram, if the circle for \(A\) is entirely inside the circle for \(B\), then:",\(A \subseteq B\),\(A \subseteq B\),\(B \subseteq A\),\(A\) and \(B\) are disjoint,\(A = B\),,,,,,
