text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the order of operations without parentheses in logical expressions?,"Negation, conjunction, disjunction","Conjunction, negation, disjunction","Disjunction, negation, conjunction","Negation, conjunction, disjunction","Disjunction, conjunction, negation",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"In a truth table with three variables, how many rows should it have?",8,6,8,9,12,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When filling a truth table column for the rightmost variable, what is the pattern of truth values?",Alternating Ts and Fs,"Alternating two Ts, two Fs",Alternating Ts and Fs,"Four Ts, four Fs","Two Ts, one F, two Ts",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which operation is evaluated first in the compound proposition \(p \lor \neg q \land r\) without parentheses?,Negation,Disjunction,Conjunction,Negation,Evaluation order does not matter,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"The compound proposition \(p \land \neg (q \lor r)\) evaluates to false when \(p\) is true, \(q\) is false, and \(r\) is true because:",\(\neg (q \lor r)\) is false,\(\neg (q \lor r)\) is false,\(p\) is false,\(q \lor r\) is false,\(p \land q\) is false,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a truth table, how are the values filled in the second-rightmost variable column for three variables?",Alternating pairs of Ts and Fs,Alternating single Ts and Fs,Alternating pairs of Ts and Fs,Alternating quadruples of Ts and Fs,Randomly,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the number of rows in a truth table for a proposition with four propositional variables?,16,8,12,16,24,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is it good practice to use parentheses in compound propositions?,To specify order of operations explicitly,To indicate negation precedence,To specify order of operations explicitly,To avoid using conjunction,Parentheses are not recommended in logic expressions,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
What is the order of operations in evaluating \(p \lor \neg q \land r\) without parentheses?,"Negation, conjunction, disjunction","Disjunction, negation, conjunction","Conjunction, negation, disjunction","Negation, conjunction, disjunction","Negation, disjunction, conjunction",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Which logical operator is applied first in a compound proposition without parentheses?,Negation,Conjunction,Disjunction,Negation,Exclusive or,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The expression \(p \lor q \land r\) is equivalent to:,\(p \lor (q \land r)\),\((p \lor q) \land r\),\(p \lor (q \land r)\),\((p \land q) \lor r\),\((p \land r) \lor q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In a truth table for three variables, how many rows are there?",8,3,6,8,9,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In filling a truth table, how are the truth values arranged in the column for the rightmost variable?",Alternating True and False starting with True,"All true values first, then false",Alternating True and False starting with True,Two True values then two False values,Alternating False and True starting with False,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How is the truth value of a compound proposition determined using intermediate columns?,By evaluating smaller parts step-by-step using intermediate columns,By evaluating the full expression at once,By evaluating smaller parts step-by-step using intermediate columns,By guessing based on variable values,By ignoring negations,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
