text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the main purpose of comments in source code?,To provide explanations for human readers,To increase the program's execution speed,To help the compiler optimize machine code,To provide explanations for human readers,To add extra functionality to the program,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which symbol correctly starts a single-line comment in Java?,/*,/*,//,<!--,##,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
How does a compiler treat whitespace in source code?,It ignores most whitespace except inside string literals,It converts whitespace into machine code,It ignores most whitespace except inside string literals,It treats whitespace as syntax errors,It requires whitespace for variable declarations,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a compiler do with comments in source code?,Ignores them during compilation,Converts them into machine code,Ignores them during compilation,Treats them as syntax errors,Executes them as instructions,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A multi-line comment in Java starts with _____ and ends with _____.,"/*, */","//, //","/*, */","<!--, -->","#, #",,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Which is a good whitespace practice in code formatting?,Align operators and indent consistently,Put multiple statements on the same line,Align operators and indent consistently,Avoid spaces around operators like =,Remove all blank lines between statements,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the purpose of comments in code?,To help humans understand the code,To increase program execution speed,To be read by the compiler,To help humans understand the code,To replace whitespace in code,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A single-line comment in Java starts with _____.,##,/*,//,-->,##,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
How does a compiler treat whitespace in code?,It ignores most whitespace except in string literals,It treats whitespace as syntax errors,It ignores most whitespace except in string literals,It converts all whitespace to semicolons,It requires no whitespace for code to compile,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does a single-line comment start with in Java?,//,/*,#,--,//,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Which is a good use of whitespace in code?,Using spaces before and after operators,Multiple statements on the same line without spaces,Indenting lines unevenly,Using spaces before and after operators,No spaces between operators and operands,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The compiler ignores _____ and comments when converting code to machine code.,whitespace,string literals,whitespace,variables,semicolons,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
