=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,16
1,3,0,2,16
1,4,2,1,16
2,3,0,0,16
2,4,1,0,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),5
Similar (70-85%),5

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why is data anonymization used in data science?,1,1,q1,What is the main reason data anonymization is used in data science?,4,1,0.951,duplicate
q2,Algorithmic bias occurs when a model _____.,1,2,q2,Algorithmic bias occurs when a model _____.,4,2,0.935,duplicate
q1,What is the main purpose of data anonymization in datasets?,2,1,q1,What is the main reason data anonymization is used in data science?,4,1,0.875,duplicate
q1,Why is data anonymization used in data science?,1,1,q1,What is the main purpose of data anonymization in datasets?,2,1,0.869,duplicate
q3,Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,3,3,q3,Cambridge Analytica used psychological profiles combined with _____ to target political ads.,4,3,0.866,duplicate
q3,Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,1,3,q3,Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,3,3,0.844,similar
q3,Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,1,3,q3,Cambridge Analytica used psychological profiles combined with _____ to target political ads.,4,3,0.841,similar
q4,What major environmental impact is caused by data centers?,1,4,q4,What is a major environmental concern related to data centers?,2,4,0.816,similar
q2,Algorithmic bias occurs when models produce _____ outcomes.,3,2,q2,Algorithmic bias occurs when a model _____.,4,2,0.781,similar
q2,Algorithmic bias occurs when a model _____.,1,2,q2,Algorithmic bias occurs when models produce _____ outcomes.,3,2,0.725,similar
q2,Algorithmic bias occurs when a model _____.,1,2,q2,Which factor most commonly causes algorithmic bias in data science models?,2,2,0.695,low
q1,What is the main purpose of data anonymization in datasets?,2,1,q1,Data anonymization protects privacy by _____ in datasets.,3,1,0.678,low
q1,Why is data anonymization used in data science?,1,1,q1,Data anonymization protects privacy by _____ in datasets.,3,1,0.649,low
q2,Which factor most commonly causes algorithmic bias in data science models?,2,2,q2,Algorithmic bias occurs when a model _____.,4,2,0.623,low
q1,Data anonymization protects privacy by _____ in datasets.,3,1,q1,What is the main reason data anonymization is used in data science?,4,1,0.616,low
q4,What major environmental impact is caused by data centers?,1,4,q4,What percentage of global energy is approximately used by data centers?,4,4,0.58,low
q4,What major environmental impact is caused by data centers?,1,4,q4,Data centers require large energy amounts mainly for servers and _____.,3,4,0.559,low
q4,What is a major environmental concern related to data centers?,2,4,q4,Data centers require large energy amounts mainly for servers and _____.,3,4,0.558,low
q4,Data centers require large energy amounts mainly for servers and _____.,3,4,q4,What percentage of global energy is approximately used by data centers?,4,4,0.534,low
q4,What is a major environmental concern related to data centers?,2,4,q4,What percentage of global energy is approximately used by data centers?,4,4,0.53,low
q2,Which factor most commonly causes algorithmic bias in data science models?,2,2,q2,Algorithmic bias occurs when models produce _____ outcomes.,3,2,0.518,low
q2,Which factor most commonly causes algorithmic bias in data science models?,2,2,q1,What is the main reason data anonymization is used in data science?,4,1,0.431,low
q1,What is the main purpose of data anonymization in datasets?,2,1,q3,Why is ethical conduct critical when handling electronic health records (EHRs)?,2,3,0.424,low
q1,Why is data anonymization used in data science?,1,1,q2,Which factor most commonly causes algorithmic bias in data science models?,2,2,0.412,low
q3,Why is ethical conduct critical when handling electronic health records (EHRs)?,2,3,q1,What is the main reason data anonymization is used in data science?,4,1,0.407,low
q1,Why is data anonymization used in data science?,1,1,q3,Why is ethical conduct critical when handling electronic health records (EHRs)?,2,3,0.406,low
q3,Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,1,3,q1,Data anonymization protects privacy by _____ in datasets.,3,1,0.372,low
