=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,0,16
1,3,1,1,16
1,4,2,0,16
2,3,1,1,16
2,4,2,0,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),10
Similar (70-85%),3

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,1,duplicate
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.972,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.963,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.963,duplicate
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,0.961,duplicate
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.961,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.95,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.95,duplicate
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.93,duplicate
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.911,duplicate
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q1,What does an _expression_ in programming always produce?,3,1,0.804,similar
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q1,What does an _expression_ in programming always produce?,3,1,0.794,similar
q1,What does an _expression_ in programming always produce?,3,1,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.748,similar
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.672,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,0.653,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.645,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.642,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.641,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,0.614,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.597,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.597,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.594,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.573,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.557,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,0.55,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.55,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q4,"In Python, the exponent operator is represented by _____.",4,4,0.55,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.543,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.541,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.54,low
q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.539,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.534,low
q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.528,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.527,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q4,"In Python, the exponent operator is represented by _____.",4,4,0.521,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.519,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.517,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.51,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.51,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q1,What does an _expression_ in programming always produce?,3,1,0.509,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,0.502,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.502,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.502,low
q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.501,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.5,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.497,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.493,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.489,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q4,"In Python, the exponent operator is represented by _____.",4,4,0.489,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.489,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,q4,"In Python, the exponent operator is represented by _____.",4,4,0.489,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.483,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.482,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,0.48,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.479,low
q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.479,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q4,"In Python, the exponent operator is represented by _____.",4,4,0.474,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.473,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.471,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,0.468,low
q1,What does an _expression_ in programming always produce?,3,1,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.467,low
q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.467,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,0.466,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.466,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.464,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.464,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.464,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,0.462,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.462,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,0.461,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.459,low
q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.459,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.458,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.458,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.457,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.456,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q4,"In Python, the exponent operator is represented by _____.",4,4,0.453,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,0.45,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.449,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.448,low
q1,What does an _expression_ in programming always produce?,3,1,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.436,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.435,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.43,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.429,low
q1,What does an _expression_ in programming always produce?,3,1,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.426,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.425,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,0.422,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.422,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.413,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q1,What does an _expression_ in programming always produce?,3,1,0.41,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.408,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q1,What does an _expression_ in programming always produce?,3,1,0.407,low
q1,What does an _expression_ in programming always produce?,3,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.406,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q1,What does an _expression_ in programming always produce?,3,1,0.403,low
q1,What does an _expression_ in programming always produce?,3,1,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.403,low
q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.4,low
q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.397,low
q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,0.388,low
q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,q4,"In Python, the exponent operator is represented by _____.",4,4,0.387,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,2,2,q1,What does an _expression_ in programming always produce?,3,1,0.382,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q4,"In Python, the exponent operator is represented by _____.",4,4,0.381,low
q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,1,2,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.38,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,4,2,0.38,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q4,"In Python, the exponent operator is represented by _____.",4,4,0.378,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q2,Which operator has the highest precedence in the expression 3 * (x + 10 / w)?,3,2,0.373,low
q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,q4,"In Python, the exponent operator is represented by _____.",4,4,0.372,low
q3,"In programming, the multiplication operator is _____, not the × symbol.",2,3,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.368,low
q3,Why should programmers use parentheses in arithmetic expressions?,4,3,q4,"In Python, the exponent operator is represented by _____.",4,4,0.367,low
q3,"In programming, the multiplication symbol is _____, not the × symbol.",1,3,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.361,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q4,"In Python, the exponent operator is represented by _____.",4,4,0.353,low
q4,"Fill in the blank: In programming, the subtraction operator _-_, when placed before a variable, is called a/an _____.",3,4,q4,"In Python, the exponent operator is represented by _____.",4,4,0.349,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q3,Why must multiplication be explicitly indicated with * in code like 2 * x?,3,3,0.338,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q1,What does an _expression_ in programming always produce?,3,1,0.335,low
q1,An _expression_ in programming is a combination of _____ that produces a value.,2,1,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.321,low
q1,What does an _expression_ in programming always produce?,3,1,q4,"In Python, the exponent operator is represented by _____.",4,4,0.313,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q1,"An _expression_ is a combination of variables, literals, _____, and parentheses.",4,1,0.301,low
q1,"An _expression_ in programming is a combination of variables, literals, _____, and parentheses.",1,1,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.3,low
q4,"To explicitly control evaluation order in arithmetic expressions, programmers use _____.",1,4,q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,0.289,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q4,"In Python, the exponent operator is represented by _____.",4,4,0.273,low
q4,Which is the correct way to write the negative of a variable user_val in an expression?,2,4,q3,Why should programmers use parentheses in arithmetic expressions?,4,3,0.271,low


=== LEARNING OBJECTIVE ALIGNMENT ===

Inferred Learning Objectives:
