=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,16
1,3,2,1,16
1,4,0,0,16
2,3,2,1,16
2,4,0,1,16
3,4,1,1,16

Summary
Total Comparisons,120
Duplicates (≥85%),6
Similar (70-85%),5

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why does the float data type exist in programming languages?,1,1,q1,Why does the float data type exist in programming languages?,2,1,0.947,duplicate
q3,What causes an OverflowError when working with floats in Python?,1,3,q3,What causes an OverflowError when working with floats in Python?,3,3,0.897,duplicate
q1,Why does the float data type exist in programming languages?,1,1,q1,Why is the float data type used instead of int?,3,1,0.876,duplicate
q4,How does Python output a float with exactly two digits after the decimal point?,3,4,q4,How does Python output a floating-point number rounded to two digits after the decimal?,4,4,0.869,duplicate
q1,Why does the float data type exist in programming languages?,2,1,q1,Why is the float data type used instead of int?,3,1,0.865,duplicate
q4,Which Python code correctly outputs the float variable my_float with three digits after the decimal point?,2,4,q4,How does Python output a float with exactly two digits after the decimal point?,3,4,0.851,duplicate
q4,"How does print(f""{my_float:.2f}"") manipulate floating-point output?",1,4,q4,How does Python output a float with exactly two digits after the decimal point?,3,4,0.773,similar
q4,Which Python code correctly outputs the float variable my_float with three digits after the decimal point?,2,4,q4,How does Python output a floating-point number rounded to two digits after the decimal?,4,4,0.724,similar
q3,What happens if a floating-point value exceeds the maximum representable range in Python?,2,3,q3,What causes an OverflowError when working with floats in Python?,3,3,0.717,similar
q3,What causes an OverflowError when working with floats in Python?,3,3,q3,What does an OverflowError in floating-point operations indicate?,4,3,0.715,similar
q4,"How does print(f""{my_float:.2f}"") manipulate floating-point output?",1,4,q4,Which Python code correctly outputs the float variable my_float with three digits after the decimal point?,2,4,0.708,similar
q2,How is the floating-point literal 6.02e23 interpreted in Python?,1,2,q2,"What does the ""e"" in a floating-point literal like 6.02e23 represent?",3,2,0.692,low
q3,What causes an OverflowError when working with floats in Python?,1,3,q3,What does an OverflowError in floating-point operations indicate?,4,3,0.679,low
q2,How does scientific notation represent the floating-point number 3.2e5?,2,2,q2,"What does the ""e"" in a floating-point literal like 6.02e23 represent?",3,2,0.676,low
q3,What causes an OverflowError when working with floats in Python?,1,3,q3,What happens if a floating-point value exceeds the maximum representable range in Python?,2,3,0.669,low
q4,"How does print(f""{my_float:.2f}"") manipulate floating-point output?",1,4,q4,How does Python output a floating-point number rounded to two digits after the decimal?,4,4,0.657,low
q3,What happens if a floating-point value exceeds the maximum representable range in Python?,2,3,q3,What does an OverflowError in floating-point operations indicate?,4,3,0.632,low
q1,Why is the float data type used instead of int?,3,1,q1,A floating-point number is used to represent a number with a/an _____.,4,1,0.607,low
q1,Why does the float data type exist in programming languages?,2,1,q1,A floating-point number is used to represent a number with a/an _____.,4,1,0.597,low
q2,Which Python function converts input strings to floating-point numbers?,4,2,q4,How does Python output a floating-point number rounded to two digits after the decimal?,4,4,0.584,low
q4,How does Python output a float with exactly two digits after the decimal point?,3,4,q2,Which Python function converts input strings to floating-point numbers?,4,2,0.583,low
q2,How is the floating-point literal 6.02e23 interpreted in Python?,1,2,q4,How does Python output a floating-point number rounded to two digits after the decimal?,4,4,0.582,low
q1,Why does the float data type exist in programming languages?,1,1,q1,A floating-point number is used to represent a number with a/an _____.,4,1,0.575,low
q2,How is the floating-point literal 6.02e23 interpreted in Python?,1,2,q2,How does scientific notation represent the floating-point number 3.2e5?,2,2,0.566,low
q1,Why does the float data type exist in programming languages?,2,1,q2,"What does the ""e"" in a floating-point literal like 6.02e23 represent?",3,2,0.562,low
q4,Which Python code correctly outputs the float variable my_float with three digits after the decimal point?,2,4,q2,Which Python function converts input strings to floating-point numbers?,4,2,0.543,low
q2,How is the floating-point literal 6.02e23 interpreted in Python?,1,2,q4,How does Python output a float with exactly two digits after the decimal point?,3,4,0.541,low
q2,How is the floating-point literal 6.02e23 interpreted in Python?,1,2,q2,Which Python function converts input strings to floating-point numbers?,4,2,0.531,low
q3,What causes an OverflowError when working with floats in Python?,1,3,q1,Why does the float data type exist in programming languages?,2,1,0.525,low
q2,"What does the ""e"" in a floating-point literal like 6.02e23 represent?",3,2,q1,A floating-point number is used to represent a number with a/an _____.,4,1,0.522,low
q1,Why does the float data type exist in programming languages?,1,1,q2,"What does the ""e"" in a floating-point literal like 6.02e23 represent?",3,2,0.521,low
