=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,0,9
1,3,0,0,9
1,4,0,0,9
2,3,0,2,9
2,4,0,2,9
3,4,2,0,9

Summary
Total Comparisons,66
Duplicates (≥85%),2
Similar (70-85%),4

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why do computer programs use variables like x and y?,3,1,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.907,duplicate
q2,Which instruction type gets data from a user or file in a program?,3,2,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.875,duplicate
q2,Which instruction type performs computations on input data in a program?,2,2,q2,Which instruction type gets data from a user or file in a program?,3,2,0.83,similar
q1,What is the main purpose of variables in a computer program?,2,1,q1,Why do computer programs use variables like x and y?,3,1,0.781,similar
q1,What is the main purpose of variables in a computer program?,2,1,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.767,similar
q2,Which instruction type performs computations on input data in a program?,2,2,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.735,similar
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q2,Which instruction type performs computations on input data in a program?,2,2,0.686,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q2,Which instruction type gets data from a user or file in a program?,3,2,0.638,low
q3,Why is an algorithm important in computational thinking?,2,3,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.617,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.594,low
q2,"In a program, a variable is used because its value can _____ during execution.",1,2,q1,What is the main purpose of variables in a computer program?,2,1,0.589,low
q1,"Why do computer programs use variables like x, y, and z?",4,1,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.582,low
q1,What is the main purpose of variables in a computer program?,2,1,q3,Why is an algorithm important in computational thinking?,2,3,0.563,low
q2,"In a program, a variable is used because its value can _____ during execution.",1,2,q1,Why do computer programs use variables like x and y?,3,1,0.558,low
q2,"In a program, a variable is used because its value can _____ during execution.",1,2,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.558,low
q2,Which instruction type performs computations on input data in a program?,2,2,q3,Why is an algorithm important in computational thinking?,2,3,0.547,low
q1,Why do computer programs use variables like x and y?,3,1,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.547,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q1,What is the main purpose of variables in a computer program?,2,1,0.526,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.512,low
q3,Why is an algorithm important in computational thinking?,2,3,q1,Why do computer programs use variables like x and y?,3,1,0.506,low
q1,What is the main purpose of variables in a computer program?,2,1,q2,Which instruction type performs computations on input data in a program?,2,2,0.503,low
q3,Why is an algorithm important in computational thinking?,2,3,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.483,low
q1,What is the main purpose of variables in a computer program?,2,1,q2,Which instruction type gets data from a user or file in a program?,3,2,0.48,low
q1,What is the main purpose of variables in a computer program?,2,1,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.474,low
q2,Which instruction type performs computations on input data in a program?,2,2,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.474,low
q1,What is the main purpose of variables in a computer program?,2,1,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.467,low
q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.466,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q3,Why is an algorithm important in computational thinking?,2,3,0.462,low
q3,Why is an algorithm important in computational thinking?,2,3,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.452,low
q2,Which instruction type performs computations on input data in a program?,2,2,q1,Why do computer programs use variables like x and y?,3,1,0.448,low
q2,Which instruction type performs computations on input data in a program?,2,2,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.446,low
q2,"In a program, a variable is used because its value can _____ during execution.",1,2,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.444,low
q1,What is the main purpose of variables in a computer program?,2,1,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.438,low
q3,Why is an algorithm important in computational thinking?,2,3,q2,Which instruction type gets data from a user or file in a program?,3,2,0.436,low
q2,Which instruction type performs computations on input data in a program?,2,2,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.429,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q2,"In a program, a variable is used because its value can _____ during execution.",1,2,0.427,low
q2,Which instruction type gets data from a user or file in a program?,3,2,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.419,low
q3,Why is an algorithm important in computational thinking?,2,3,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.417,low
q1,Why do computer programs use variables like x and y?,3,1,q2,Which instruction type gets data from a user or file in a program?,3,2,0.417,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q1,Why do computer programs use variables like x and y?,3,1,0.416,low
q1,"A computer program executes instructions of type _____, process, and output.",1,1,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.413,low
q1,Why do computer programs use variables like x and y?,3,1,q2,Which instruction type in a program obtains data from a user or file?,4,2,0.411,low
q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.409,low
q2,Which instruction type in a program obtains data from a user or file?,4,2,q3,What does the instruction 'z = x + y' do in a program?,4,3,0.408,low
q2,Which instruction type gets data from a user or file in a program?,3,2,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.404,low
q1,Why do computer programs use variables like x and y?,3,1,q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,0.402,low
q3,A sequence of instructions that solves a problem is called a/an _____.,3,3,q1,"Why do computer programs use variables like x, y, and z?",4,1,0.398,low
