=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,2,0,0
2,2,0,0
3,2,0,0
4,2,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,1,4
1,3,1,1,4
1,4,1,1,4
2,3,0,2,4
2,4,0,2,4
3,4,2,0,4

Summary
Total Comparisons,28
Duplicates (≥85%),5
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why can a programmer not use a reserved word as an identifier?,3,1,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.957,duplicate
q2,An identifier in Java must start with a/an _____.,3,2,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.924,duplicate
q1,An identifier must start with a/an _____.,1,1,q2,An identifier in Java must start with a/an _____.,3,2,0.921,duplicate
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,0.91,duplicate
q1,An identifier must start with a/an _____.,1,1,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.907,duplicate
q1,Which symbol is allowed as the first character of a Java identifier?,2,1,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.828,similar
q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,q1,Why can a programmer not use a reserved word as an identifier?,3,1,0.827,similar
q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.813,similar
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q1,Why can a programmer not use a reserved word as an identifier?,3,1,0.807,similar
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.792,similar
q1,Which symbol is allowed as the first character of a Java identifier?,2,1,q2,An identifier in Java must start with a/an _____.,3,2,0.789,similar
q1,An identifier must start with a/an _____.,1,1,q1,Which symbol is allowed as the first character of a Java identifier?,2,1,0.714,similar
q1,Why can a programmer not use a reserved word as an identifier?,3,1,q2,An identifier in Java must start with a/an _____.,3,2,0.613,low
q2,An identifier in Java must start with a/an _____.,3,2,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.603,low
q1,Which symbol is allowed as the first character of a Java identifier?,2,1,q1,Why can a programmer not use a reserved word as an identifier?,3,1,0.573,low
q1,Why can a programmer not use a reserved word as an identifier?,3,1,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.571,low
q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,q2,An identifier in Java must start with a/an _____.,3,2,0.567,low
q1,Why can't a programmer use a reserved word as an identifier?,4,1,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.559,low
q1,An identifier must start with a/an _____.,1,1,q1,Why can a programmer not use a reserved word as an identifier?,3,1,0.55,low
q1,Which symbol is allowed as the first character of a Java identifier?,2,1,q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,0.548,low
q1,An identifier must start with a/an _____.,1,1,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.546,low
q1,Which symbol is allowed as the first character of a Java identifier?,2,1,q1,Why can't a programmer use a reserved word as an identifier?,4,1,0.546,low
q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.535,low
q1,An identifier must start with a/an _____.,1,1,q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,2,0.521,low
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q2,An identifier in Java must start with a/an _____.,3,2,0.501,low
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q2,An identifier must start with a/an _____ to be valid in Java.,4,2,0.476,low
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,q1,Which symbol is allowed as the first character of a Java identifier?,2,1,0.471,low
q1,An identifier must start with a/an _____.,1,1,q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,2,0.454,low


=== LEARNING OBJECTIVE ALIGNMENT ===

Inferred Learning Objectives:
"Define what an identifier is.  
Differentiate between valid and invalid identifiers based on given rules.  
Recognize reserved words and understand why they cannot be used as identifiers.  
Correctly use naming conventions and style guidelines for identifiers."

Question Alignment Analysis
Question ID,Question Text,Run Number,Aligned (Yes/No),Explanation
q1,An identifier must start with a/an _____.,1,yes,"Yes, this question directly assesses the learning objective of differentiating between valid and invalid identifiers based on given rules, as it requires knowledge of the specific requirements for starting an identifier."
q2,"Why can a reserved word like ""int"" not be used as an identifier?",1,yes,"Yes, the question directly assesses the objective of recognizing reserved words and understanding why they cannot be used as identifiers, as it specifically asks about the reason a reserved word cannot be used."
q1,Which symbol is allowed as the first character of a Java identifier?,2,yes,"Yes, this question directly assesses the objective of differentiating between valid and invalid identifiers based on given rules, as it requires knowledge of the specific rules governing the first character of a Java identifier."
q2,"Why can't a reserved word like ""int"" be used as an identifier?",2,yes,"Yes, the question directly assesses the learning objective of recognizing reserved words and understanding why they cannot be used as identifiers, as it specifically asks about the reason a reserved word like ""int"" cannot be used."
q1,Why can a programmer not use a reserved word as an identifier?,3,yes,"Yes, the question directly assesses the learning objective of recognizing reserved words and understanding why they cannot be used as identifiers, as it specifically asks for the reason behind the restriction on using reserved words."
q2,An identifier in Java must start with a/an _____.,3,yes,"Yes, this question directly assesses the learning objective of differentiating between valid and invalid identifiers based on given rules, as it requires knowledge of what characters can be used to start an identifier in Java."
q1,Why can't a programmer use a reserved word as an identifier?,4,yes,"Yes, the question directly assesses the learning objective of recognizing reserved words and understanding why they cannot be used as identifiers, as it specifically asks about the reason for this restriction."
q2,An identifier must start with a/an _____ to be valid in Java.,4,yes,"Yes, this question directly assesses the objective of differentiating between valid and invalid identifiers based on given rules, as it requires knowledge of what constitutes a valid starting character for an identifier in Java."
