text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the print() function output by default at the end of its output?,A newline character,A space character,A tab character,A newline character,No additional character,,,,,,
How can a program read a user-entered value into a variable named user_input?,user_input = input(),user_input = print(),user_input = input(),input = user_input(),input(user_input),,,,,,
"Which statement converts a string ""25"" into an integer and assigns it to variable num?","num = int(""25"")",num = str(25),"num = int(""25"")",num = float(25),"num = ""25""",,,,,,
How can multiple values be printed on the same line with spaces automatically added between them?,"print(""Hello"", ""World"")","print(""Hello"" + ""World"")","print(""Hello"", ""World"")","print(""Hello""""World"")","print(""Hello"" ""World"")",,,,,,
"To keep the next print output on the same line separated by a space, what syntax is used?","print(""text"", end="" "")","print(""text"", join="" "")","print(""text"", end="" "")","print(""text"", stay=True)","print(""text"", space=True)",,,,,,
"What is the purpose of the newline character ""\n"" in a string?",To move output to the next line,To add a space,To insert a tab,To move output to the next line,To comment out a line,,,,,,
What does the print() function output by default at the end of its output?,A newline character,A tab character,No extra character,A space character,A newline character,,,,,,
Which Python code correctly prints the string Hello on one line and World on the next line?,"print(""Hello\nWorld"")","print(""Hello World"")","print(""Hello\nWorld"")","print(""Hello\\nWorld"")","print(""Hello World\n"")",,,,,,
"How does using print(""Hello"", end="" "") affect subsequent print outputs?",It keeps the next output on the same line separated by a space,It adds a newline after Hello,It keeps the next output on the same line separated by a space,It prints Hello twice,It causes an error in Python,,,,,,
Which statement correctly reads a user input string into the variable user_name?,user_name = input,user_name = input,input = user_name(),user_name = input(),input(user_name),,,,,,
Why is int() used with input() when reading numbers?,To convert the input string to an integer for calculations,To display numbers with commas,To convert the input string to an integer for calculations,To read multiple inputs at once,To add 1 to the input value,,,,,,
"What is the output of print(""Age:"", age) if age = 20?",Age: 20,Age 20,Age=20,Age: 20,"""Age: age""",,,,,,
What does the print() function automatically add at the end of its output?,A newline character,A space character,A tab character,A newline character,No extra character,,,,,,
Which escape sequence moves output to the next line within a string?,\n,\t,\\,\n,\r,,,,,,
How can a program read a string input from a user and store it in a variable named user_input?,user_input = input(),user_input = print(),input() = user_input,user_input = input(),user_input = get_input(),,,,,,
"After reading input with input(), which function converts a numeric string to an integer for calculations?",int(),str(),int(),float(),convert(),,,,,,
"What is the effect of adding end="" "" inside a print() function?",It keeps the next output on the same line with a space after this output,It adds a newline at the end,It keeps the next output on the same line with a space after this output,It adds a tab at the end,It clears the line before printing,,,,,,
"When printing multiple items separated by commas, what does Python automatically insert between them?",A space character,No separator,A newline character,A space character,A comma character,,,,,,
What does the print() function output by default after printing a string?,A newline character,A tab character,A space character,A newline character,Nothing,,,,,,
Which escape sequence inserts a newline inside a string in Python?,\n,\t,\n,\\,\r,,,,,,
"How does print(""A"", ""B"") display the output?",A B,AB,A B,"A,B","""A"" ""B""",,,,,,
What is the purpose of int() when used with input()?,To convert input string to integer,To convert input to uppercase,To convert input string to integer,To read input without a prompt,To print integers only,,,,,,
How can a programmer keep two print statements output on the same line?,"Use print() with end="" """,Use print() without arguments,"Use print() with end="" """,Use print() with \n inside string,Use input() instead of print(),,,,,,
"What does input(""Enter value: "") do in Python?","Outputs ""Enter value:"" and waits for user input","Outputs ""Enter value:"" and waits for user input",Reads input but does not display prompt,Converts input to integer automatically,Prints user input without storing it,,,,,,
