text,answer,a,b,c,d,e,f,g,h,hint,feedback
Why does the float data type exist in programming languages?,To store real numbers with decimal points,To store only whole numbers,To store very large integers,To store real numbers with decimal points,To store text data,,,,,,
How is the floating-point literal 6.02e23 interpreted in Python?,6.02 multiplied by 10^23,6.02 divided by 10^23,6.02 multiplied by 10^23,6.02 plus 23,6.02 minus 23,,,,,,
What causes an OverflowError when working with floats in Python?,Assigning a value too large for float to store,Using float() on a string input,Assigning a value too large for float to store,Dividing a float by zero,Using scientific notation incorrectly,,,,,,
"How does print(f""{my_float:.2f}"") manipulate floating-point output?",Rounds and outputs the float with two digits after the decimal,Outputs the float with two digits before the decimal,Rounds and outputs the float with two digits after the decimal,Truncates the float without rounding,Converts the float to an integer before output,,,,,,
Why does the float data type exist in programming languages?,To store real numbers with fractional parts,To store only whole numbers,To represent very large integers,To store real numbers with fractional parts,To handle only scientific notation numbers,,,,,,
How does scientific notation represent the floating-point number 3.2e5?,3.2 × 10⁵,320.0,3.2 × 10⁵,3.2 / 10⁵,0.000032,,,,,,
What happens if a floating-point value exceeds the maximum representable range in Python?,An OverflowError is raised,The value wraps around to zero,An OverflowError is raised,The value is truncated to the maximum,The program continues without error,,,,,,
Which Python code correctly outputs the float variable my_float with three digits after the decimal point?,"print(f""{my_float:.3f}"")","print(f""{my_float:3f}"")","print(f""{my_float:.3f}"")","print(f""{my_float:3.f}"")","print(f""{my_float:.f3}"")",,,,,,
Why is the float data type used instead of int?,To represent real numbers with decimal points,To store exact whole numbers only,To represent real numbers with decimal points,To store numbers as strings,To save memory when storing integers,,,,,,
"What does the ""e"" in a floating-point literal like 6.02e23 represent?",The power of 10 exponent,The number of decimal places,The base of the number,The power of 10 exponent,The number of significant digits,,,,,,
What causes an OverflowError when working with floats in Python?,Storing a value too large for float range,Dividing by zero,Using invalid syntax,Storing a value too large for float range,Converting float to int,,,,,,
How does Python output a float with exactly two digits after the decimal point?,"print(f""{my_float:.2f}"")","print(f""{my_float:2f}"")","print(f""{my_float:.2f}"")","print(f""{my_float:2.d}"")","print(f""{my_float:.f2}"")",,,,,,
A floating-point number is used to represent a number with a/an _____.,decimal point that can appear anywhere,integer value only,fixed decimal point,decimal point that can appear anywhere,whole number count,,,,,,
Which Python function converts input strings to floating-point numbers?,float(),int(),str(),float(),double(),,,,,,
What does an OverflowError in floating-point operations indicate?,A value is too large to store,A value is too small to store,A value is too large to store,A value is not a number,A value is negative,,,,,,
How does Python output a floating-point number rounded to two digits after the decimal?,"print(f""{num:.2f}"")","print(f""{num:2f}"")","print(f""{num:.2f}"")","print(f""{num:2.d}"")","print(f""{num:2.0f}"")",,,,,,
