=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,0
3,10,0,0
4,10,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,5,100
1,3,0,2,100
1,4,0,5,100
2,3,0,4,100
2,4,1,5,100
3,4,0,2,100

Summary
Total Comparisons,780
Duplicates (≥85%),1
Similar (70-85%),24

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What is the scope of a variable defined inside a function?,2,1,q4,What is the scope of a variable defined inside a function?,4,4,0.954,duplicate
q3,What does a function return if it has no return statement?,2,3,q7,What value does a Python function return if it has no return statement?,4,7,0.822,similar
q2,How are arguments matched to parameters when using keyword arguments in Python?,2,2,q5,How does Python assign arguments to parameters in a function call without keywords?,4,5,0.82,similar
q5,What happens when a mutable object is passed as an argument to a function?,2,5,q6,What happens if a mutable object like a list is passed to a function and modified inside it?,4,6,0.816,similar
q10,What type of object is a function in Python?,1,10,q10,What type of object is a Python function itself?,4,10,0.78,similar
q3,What happens if a function has no return statement?,1,3,q3,What does a function return if it has no return statement?,2,3,0.777,similar
q4,Which statement best describes the scope of a local variable?,1,4,q1,What is the scope of a local variable in Python?,3,1,0.776,similar
q2,How are arguments assigned to parameters during a function call?,1,2,q5,How does Python assign arguments to parameters in a function call without keywords?,4,5,0.775,similar
q8,What is the effect of pass-by-assignment when a mutable object is passed as an argument?,1,8,q5,What happens when a mutable object is passed as an argument to a function?,2,5,0.768,similar
q10,What type of Python object is a function itself?,2,10,q10,What type of object is a Python function itself?,4,10,0.765,similar
q4,Which statement correctly declares a global variable inside a function?,2,4,q2,Which statement declares a global variable inside a function?,3,2,0.762,similar
q2,How are arguments assigned to parameters during a function call?,1,2,q2,How are arguments matched to parameters when using keyword arguments in Python?,2,2,0.742,similar
q5,Which is a valid way to call a function using keyword arguments?,3,5,q3,Which of the following is a correct way to call a function with keyword arguments?,4,3,0.741,similar
q6,What happens to a global variable passed as an argument if the function modifies a mutable argument object?,3,6,q6,What happens if a mutable object like a list is passed to a function and modified inside it?,4,6,0.724,similar
q6,What is a keyword argument in a function call?,1,6,q2,How are arguments matched to parameters when using keyword arguments in Python?,2,2,0.723,similar
q4,Which statement best describes the scope of a local variable?,1,4,q1,What is the scope of a variable defined inside a function?,2,1,0.722,similar
q8,What is the effect of pass-by-assignment when a mutable object is passed as an argument?,1,8,q8,What does pass-by-assignment mean for function parameters?,3,8,0.722,similar
q8,What is the effect of pass-by-assignment when a mutable object is passed as an argument?,1,8,q6,What happens if a mutable object like a list is passed to a function and modified inside it?,4,6,0.721,similar
q9,What is the mechanism called when function parameters are assigned with argument objects in Python?,2,9,q8,What does pass-by-assignment mean for function parameters?,3,8,0.72,similar
q3,What happens if a function has no return statement?,1,3,q7,What value does a Python function return if it has no return statement?,4,7,0.718,similar
q8,What is the correct syntax to define a function with default parameters x=1 and y=2?,2,8,q8,Which statement correctly defines a function parameter with a default value?,4,8,0.718,similar
q5,What happens when a mutable object is passed as an argument to a function?,2,5,q6,What happens to a global variable passed as an argument if the function modifies a mutable argument object?,3,6,0.713,similar
q4,Which statement best describes the scope of a local variable?,1,4,q4,What is the scope of a variable defined inside a function?,4,4,0.71,similar
q1,What is the scope of a variable defined inside a function?,2,1,q1,What is the scope of a local variable in Python?,3,1,0.71,similar
q2,How are arguments assigned to parameters during a function call?,1,2,q6,What is a keyword argument in a function call?,1,6,0.701,similar
q1,What is the scope of a local variable in Python?,3,1,q4,What is the scope of a variable defined inside a function?,4,4,0.697,low
