text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A variable \(x\) in \(\forall x P(x) \land Q(x)\) is _____.,bound only in \(P(x)\),bound only in \(Q(x)\),free in \(P(x)\),bound only in \(P(x)\),bound in both \(P(x)\) and \(Q(x)\),,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The statement \(\forall x (P(x) \rightarrow Q(x))\) means:,Every \(x\) that satisfies \(P\) also satisfies \(Q\).,"If any \(x\) satisfies \(P\), then some \(x\) satisfies \(Q\).",All \(x\) satisfy both \(P\) and \(Q\).,Every \(x\) that satisfies \(P\) also satisfies \(Q\).,Some \(x\) satisfy \(P\) or \(Q\).,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which expression correctly means ""Some \(x\) is \(P\) and \(Q\)""?",\(\exists x (P(x) \land Q(x))\),\(\exists x (P(x) \lor Q(x))\),\(\exists x (P(x) \land Q(x))\),\(\forall x (P(x) \land Q(x))\),\(\forall x (P(x) \lor Q(x))\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"For the domain of employees, if all new employees met the deadline, which is true?",\(\forall x (N(x) \rightarrow D(x))\),\(\forall x (N(x) \land D(x))\),\(\exists x (N(x) \rightarrow D(x))\),\(\forall x (N(x) \rightarrow D(x))\),\(\exists x (N(x) \land D(x))\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is \(\exists x (P(x) \land Q(x))\) true when \(P(x)\) is true for some \(x\)?,Because there is at least one \(x\) where both \(P\) and \(Q\) are true.,Because \(P(x)\) is true for all \(x\).,Because there is at least one \(x\) where both \(P\) and \(Q\) are true.,Because \(Q(x)\) is false everywhere.,Because \(P(x)\) is false for all \(x\).,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
What is the scope of the quantifier in \(\forall x (P(x) \land Q(x))\)?,Both \(P(x)\) and \(Q(x)\),Only \(P(x)\),Only \(Q(x)\),Both \(P(x)\) and \(Q(x)\),Neither \(P(x)\) nor \(Q(x)\),,,,,,,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
Which predicate variable is free in the statement \((\exists x P(x)) \land Q(x)\)?,\(x\) in \(Q(x)\),\(x\) in \(P(x)\),\(x\) in \(Q(x)\),\(x\) in both \(P(x)\) and \(Q(x)\),No free variables,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
"Translate ""Everyone was not sick"" into a logical expression.",\(\forall x \lnot S(x)\),\(\exists x \lnot S(x)\),\(\forall x S(x)\),\(\forall x \lnot S(x)\),\(\exists x S(x)\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
Which of the following is a counterexample to \(\forall x (P(x) \rightarrow Q(x))\) being true?,An \(x\) where \(P(x)\) is true and \(Q(x)\) is false,An \(x\) where \(P(x)\) is false and \(Q(x)\) is true,An \(x\) where \(P(x)\) is true and \(Q(x)\) is false,An \(x\) where both \(P(x)\) and \(Q(x)\) are true,An \(x\) where both \(P(x)\) and \(Q(x)\) are false,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which variable is bound in \(\forall x P(x)\)?,\(x\) in \(P(x)\),\(x\) in \(P(x)\),\(x\) in a different predicate,\(x\) in an unrelated expression,\(x\) outside any quantifier,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
