text,answer,a,b,c,d,e,f,g,h,hint,feedback
What function returns the number of characters in a string?,len(),count(),size(),len(),length(),,,,,,
How does Python access the last character of a string s?,s[-1],s[0],s[-1],s[len(s)],s[last],,,,,,
"Why is the statement s[2] = ""a"" invalid for a string s?",Strings are immutable and cannot be changed by index,Strings use parentheses not brackets,Strings are immutable and cannot be changed by index,The index 2 is out of range,Only numbers can be assigned to strings,,,,,,
"What is the result of concatenating ""Data"" + ""Science"" in Python?",DataScience,Data Science,DataScience,Data+Science,"[""Data"", ""Science""]",,,,,,
What is the index of the first character in a string?,0,-1,1,0,None,,,,,,
Why are strings considered immutable in Python?,They cannot be changed after creation,They can be changed by index assignment,They cannot be changed after creation,They can be sorted easily,They support addition with numbers,,,,,,
Which expression concatenates two strings first and last with a space in between?,"first + "" "" + last",first + last,"first + "" "" + last",first * last,first - last,,,,,,
"What does len(""Python"") return?",6,5,6,7,0,,,,,,
What does the len() function return when used on a string variable?,The number of characters in the string,The number of words in the string,The number of characters in the string,The first character of the string,The string converted to lowercase,,,,,,
Which of the following indexing expressions accesses the last character in a string s?,s[-1],s[len(s)],s[-1],s[0],s[length(s)],,,,,,
Why are strings in Python considered immutable?,Because individual characters cannot be changed after creation,Because they can only contain numbers,Because their length cannot change,Because individual characters cannot be changed after creation,Because they use less memory than lists,,,,,,
"What happens when two strings, a and b, are concatenated with a + operator?",A new string combining a and b is created,a and b are modified and joined in place,A new string combining a and b is created,An error occurs if a and b have different lengths,The strings are converted to numbers before joining,,,,,,
What does the len() function return when called on a string?,The number of characters in the string,The number of spaces in the string,The number of characters in the string,The first character of the string,The last character of the string,,,,,,
Which index refers to the last character in a Python string?,-1,0,1,-1,The length of the string,,,,,,
"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",Strings are immutable objects,Strings are mutable sequences,Strings are immutable objects,Indexing only works with numbers,Python does not support string variables,,,,,,
What is the result of concatenating two strings with the + operator?,A new string combining both strings,A list of both strings,A new string combining both strings,Both strings printed on separate lines,An error if either string is empty,,,,,,
